segment,segment_display,count,example_occurrences
 ,' ',2890,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 4, ""text"": ""Местные СМИ сообщают, что в аэропорту по пути на вызов перевернулась пожарная машина.""}]"
в ,'в ',1318,"[{""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 2, ""text"": ""Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.""}, {""sentence_id"": 4, ""text"": ""Местные СМИ сообщают, что в аэропорту по пути на вызов перевернулась пожарная машина.""}]"
н,'н',1105,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 2, ""text"": ""Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.""}]"
о ,'о ',1060,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 2, ""text"": ""Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.""}, {""sentence_id"": 9, ""text"": ""В 11:20 полиция попросила митингующих вернуться на тротуар, заявив, что им необходимо соблюдать баланс между правом протестовать и задержкой дорожного движения.""}]"
,'',956,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 3, ""text"": ""Личность пилота была установлена. Им оказался командир эскадрильи Дилокрит Паттави.""}]"
ен,'ен',629,"[{""sentence_id"": 2, ""text"": ""Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.""}, {""sentence_id"": 7, ""text"": ""Протест начался около 11:00 по местному времени (UTC+1) на улице Уайтхолл напротив охраняемого полицией въезда на Даунинг-стрит, официальную резиденцию премьер-министра.""}, {""sentence_id"": 10, ""text"": ""Около 11:29 протестующие двинулись вверх по Уайтхолл, мимо Трафальгарской площади, вдоль Стрэнда, мимо Олдвича и вверх по Кингсуэй в сторону района Холборн, где Консервативная партия проводила свой Весенний форум в гостинице Grand Connaught Rooms.""}]"
а ,'а ',623,"[{""sentence_id"": 3, ""text"": ""Личность пилота была установлена. Им оказался командир эскадрильи Дилокрит Паттави.""}, {""sentence_id"": 5, ""text"": ""28-летний Алеш Видаль перешел в \""Барсу\"" из \""Севильи\"" три сезона назад.""}, {""sentence_id"": 10, ""text"": ""Около 11:29 протестующие двинулись вверх по Уайтхолл, мимо Трафальгарской площади, вдоль Стрэнда, мимо Олдвича и вверх по Кингсуэй в сторону района Холборн, где Консервативная партия проводила свой Весенний форум в гостинице Grand Connaught Rooms.""}]"
на ,'на ',618,"[{""sentence_id"": 2, ""text"": ""Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.""}, {""sentence_id"": 4, ""text"": ""Местные СМИ сообщают, что в аэропорту по пути на вызов перевернулась пожарная машина.""}, {""sentence_id"": 7, ""text"": ""Протест начался около 11:00 по местному времени (UTC+1) на улице Уайтхолл напротив охраняемого полицией въезда на Даунинг-стрит, официальную резиденцию премьер-министра.""}]"
ой ,'ой ',612,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 9, ""text"": ""В 11:20 полиция попросила митингующих вернуться на тротуар, заявив, что им необходимо соблюдать баланс между правом протестовать и задержкой дорожного движения.""}]"
ие ,'ие ',602,"[{""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 8, ""text"": ""Сразу после 11:00 протестующие перекрыли движение в северном направлении по Уайтхоллу.""}, {""sentence_id"": 10, ""text"": ""Около 11:29 протестующие двинулись вверх по Уайтхолл, мимо Трафальгарской площади, вдоль Стрэнда, мимо Олдвича и вверх по Кингсуэй в сторону района Холборн, где Консервативная партия проводила свой Весенний форум в гостинице Grand Connaught Rooms.""}]"
ан,'ан',586,"[{""sentence_id"": 3, ""text"": ""Личность пилота была установлена. Им оказался командир эскадрильи Дилокрит Паттави.""}, {""sentence_id"": 15, ""text"": ""\""Панамские документы\"" — это собирательное название приблизительно десяти миллионов документов панамской юридической фирмы Mossack Fonseca, просочившихся в прессу весной 2016 г.""}, {""sentence_id"": 16, ""text"": ""Документы показали, что четырнадцать банков помогли состоятельным клиентам спрятать миллиарды долларов США, чтобы избежать уплаты налогов и выполнения прочих нормативных требований.""}]"
и ,'и ',510,"[{""sentence_id"": 2, ""text"": ""Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.""}, {""sentence_id"": 7, ""text"": ""Протест начался около 11:00 по местному времени (UTC+1) на улице Уайтхолл напротив охраняемого полицией въезда на Даунинг-стрит, официальную резиденцию премьер-министра.""}, {""sentence_id"": 39, ""text"": ""Каждое шоу также даст рекомендацию по поводу книги, которую стоит искать детям, когда они пойдут в библиотеку.""}]"
е ,'е ',480,"[{""sentence_id"": 19, ""text"": ""Ма родился в Гонконге, учился в Нью-Йоркском университете и Гарвардской юридической школе. Он также когда-то имел постоянный вид на жительство в Америке (\""грин-карту\"").""}, {""sentence_id"": 21, ""text"": ""Се также утверждал, что фотогеничный Ма больше выделялся внешностью, чем харизмой.""}, {""sentence_id"": 26, ""text"": ""Его второй целью в этот вечер был его 60-й гол в сезоне, в результате чего он становился первым игроком забившим 60 или больше голов в сезоне с 1995-96 гг., когда Джаромир Джагр  и Марио Лемьо оба добились этого достижения.""}]"
он,'он',475,"[{""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 10, ""text"": ""Около 11:29 протестующие двинулись вверх по Уайтхолл, мимо Трафальгарской площади, вдоль Стрэнда, мимо Олдвича и вверх по Кингсуэй в сторону района Холборн, где Консервативная партия проводила свой Весенний форум в гостинице Grand Connaught Rooms.""}, {""sentence_id"": 12, ""text"": ""Недавно он проиграл Раоничу на турнире в Брисбене.""}]"
ов,'ов',475,"[{""sentence_id"": 3, ""text"": ""Личность пилота была установлена. Им оказался командир эскадрильи Дилокрит Паттави.""}, {""sentence_id"": 15, ""text"": ""\""Панамские документы\"" — это собирательное название приблизительно десяти миллионов документов панамской юридической фирмы Mossack Fonseca, просочившихся в прессу весной 2016 г.""}, {""sentence_id"": 16, ""text"": ""Документы показали, что четырнадцать банков помогли состоятельным клиентам спрятать миллиарды долларов США, чтобы избежать уплаты налогов и выполнения прочих нормативных требований.""}]"
ы ,'ы ',466,"[{""sentence_id"": 16, ""text"": ""Документы показали, что четырнадцать банков помогли состоятельным клиентам спрятать миллиарды долларов США, чтобы избежать уплаты налогов и выполнения прочих нормативных требований.""}, {""sentence_id"": 18, ""text"": ""По всему миру происходили протесты, было несколько уголовных преследований, а главы правительств Исландии и Пакистана ушли в отставку.""}, {""sentence_id"": 32, ""text"": ""Когда машины впереди Алонсо отправились за топливом под машину безопасности, он двинулся вверх, чтобы взять победу.""}]"
