segment,segment_display,count,example_occurrences
 ,' ',2576,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 1, ""text"": ""Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.""}, {""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}]"
і ,'і ',1889,"[{""sentence_id"": 1, ""text"": ""Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.""}, {""sentence_id"": 4, ""text"": ""Місцеві ЗМІ повідомляють, що пожежна машина аеропорту перекинулася під час виклику.""}, {""sentence_id"": 8, ""text"": ""Відразу після 11:00 протестувальники заблокували рух у північному напрямку вулиці Вайтголл.""}]"
,'',1338,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 1, ""text"": ""Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.""}, {""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}]"
у ,'у ',1200,"[{""sentence_id"": 1, ""text"": ""Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.""}, {""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}, {""sentence_id"": 5, ""text"": ""28-річний Відаль прийшов у Барселону три сезону тому із Севільї.""}]"
и ,'и ',1059,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 11, ""text"": ""Особистий рекорд Надаля проти канадця складає 7–2.""}, {""sentence_id"": 15, ""text"": ""\""Панамські документи\"" – це узагальнюючий термін для приблизно десяти мільйонів документів з панамської юридичної фірми \""Моссак Фонсека\"", які потрапили до преси навесні 2016 року.""}]"
н,'н',979,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 1, ""text"": ""Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.""}, {""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}]"
а ,'а ',960,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 3, ""text"": ""Пілота пізніше опізнали як майора авіації Ділокріта Паттаві.""}, {""sentence_id"": 4, ""text"": ""Місцеві ЗМІ повідомляють, що пожежна машина аеропорту перекинулася під час виклику.""}]"
о ,'о ',819,"[{""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}, {""sentence_id"": 9, ""text"": ""Об 11:20 поліція попросила протестувальників відступити на тротуар, заявивши, що їм потрібно врівноважити право на протест і пожвавлення дорожнього руху.""}]"
як,'як',750,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 1, ""text"": ""Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.""}, {""sentence_id"": 3, ""text"": ""Пілота пізніше опізнали як майора авіації Ділокріта Паттаві.""}]"
на ,'на ',681,"[{""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}, {""sentence_id"": 9, ""text"": ""Об 11:20 поліція попросила протестувальників відступити на тротуар, заявивши, що їм потрібно врівноважити право на протест і пожвавлення дорожнього руху.""}]"
