language,analysis_unit,text,count,bpe_unique_signatures,fxt_unique_signatures,fxt_seed_signature_count,has_fxt_seed_variation,most_common_bpe,most_common_fxt,seed_signatures
es,whitespace_word,frecuencia,13,1,5,5,True,f|re|cuencia,f|r|ec|u|en c|ia,"{""42"": ""f|r|ec|u|en c|ia"", ""43"": ""f|r|ecu|en c|i|a"", ""44"": ""f|r|ec|u en c|ia"", ""45"": ""f|r|ecu en c|i|a"", ""46"": ""f|r|ecu|en c|ia""}"
es,whitespace_word,organización,8,1,5,5,True,organ|izaciÃ³n,or|gan|ización,"{""42"": ""or|gan|ización"", ""43"": ""o|r|gan|ización"", ""44"": ""o|r|gan|iz|ación"", ""45"": ""or|gan|iz|ación"", ""46"": ""o|r|g|an|iz|ación""}"
es,whitespace_word,Océano,7,1,5,5,True,O|cÃ©|ano,Oc|éano,"{""42"": ""Oc|éano"", ""43"": ""Oc|é|an|o"", ""44"": ""Oc||ano"", ""45"": ""Oc|éan|o"", ""46"": ""O|c|éano""}"
es,whitespace_word,diferencias,6,1,5,5,True,d|ifer|encias,d|ifer|en cias,"{""42"": ""d|ifer|en cias"", ""43"": ""d|if|er|en cias"", ""44"": ""d|if|er|en c|ias"", ""45"": ""d|if|er|en ci|as"", ""46"": ""d|ifer|en c|ias""}"
es,whitespace_word,independencia,6,1,5,5,True,in|depend|encia,in|d|ep en d|en c|i|a,"{""42"": ""in|d|ep en d|en c|i|a"", ""43"": ""in|dep en d en c|ia"", ""44"": ""in|dep|en d en c|ia"", ""45"": ""in|d|ep en d en c|ia"", ""46"": ""in|dep en d en c|i|a""}"
es,whitespace_word,antigüedad,4,1,5,5,True,ant|ig|Ã¼|edad,an|t|igü|ed|ad,"{""42"": ""an|t|igü|ed|ad"", ""43"": ""an|t|igüed|ad"", ""44"": ""an|t|ig|üed|ad"", ""45"": ""an|t|igüedad"", ""46"": ""an|t|igü|edad""}"
es,whitespace_word,considerado,4,1,5,5,True,cons|ider|ado,c|on|si|d|er|ado,"{""42"": ""c|on|si|d|er|ado"", ""43"": ""c|on|sid|er|ad|o"", ""44"": ""c|on|sid|er|ado"", ""45"": ""c|onsid|er|ado"", ""46"": ""c|on|sider|ado""}"
es,whitespace_word,económica,4,1,5,5,True,e|conÃ³m|ica,e|c|on|m|ica,"{""42"": ""e|c|on|m|ica"", ""43"": ""e|c|on|óm|ic|a"", ""44"": ""e|c|onó|m|ica"", ""45"": ""e|c|on|óm|ica"", ""46"": ""e|c|onóm|ica""}"
es,whitespace_word,"octubre,",4,1,5,5,True,"o|ct|ubre|,","o|c|t|ub|r|e,","{""42"": ""o|c|t|ub|r|e,"", ""43"": ""o|c|t|ubr|e,"", ""44"": ""o|c|t|ub|re,"", ""45"": ""o|c|t|ubre,"", ""46"": ""oc|t|ub|re,""}"
es,whitespace_word,sospechoso,4,1,5,5,True,s|os|pe|chos|o,s|os|p|e|ch|oso,"{""42"": ""s|os|p|e|ch|oso"", ""43"": ""s|o|s|p|echoso"", ""44"": ""s|os|p|ech|oso"", ""45"": ""s|osp|ec|h|os|o"", ""46"": ""s|osp|ec|h|oso""}"
es,whitespace_word,trabajadores,4,1,5,5,True,tra|baj|adores,t|rab|ajad|or|es,"{""42"": ""t|rab|ajad|or|es"", ""43"": ""t|rabajad|or|es"", ""44"": ""t|r|ab|ajad|or|es"", ""45"": ""t|rab|aj|ad|or|es"", ""46"": ""t|r|ab|ajador|es""}"
es,whitespace_word,"Alemania,",3,1,5,5,True,"A|le|mania|,","Al|eman|ia,","{""42"": ""Al|eman|ia,"", ""43"": ""Al|em|ania,"", ""44"": ""Al|e|m|an|ia,"", ""45"": ""Al|em|an|ia,"", ""46"": ""Al|e|m|ania,""}"
es,whitespace_word,consecuencia,3,1,5,5,True,con|se|cuencia,c|on|sec|u|en c|ia,"{""42"": ""c|on|sec|u|en c|ia"", ""43"": ""c|on|s|e|c|u en c|ia"", ""44"": ""c|on|se|c|u|en c|i|a"", ""45"": ""c|on|se|cu|en c|ia"", ""46"": ""c|on|se|cu en c|ia""}"
es,whitespace_word,familiarizado,3,1,5,5,True,f|amil|iar|izado,f|am|il|iarizado,"{""42"": ""f|am|il|iarizado"", ""43"": ""f|amil|iar|iz|ad|o"", ""44"": ""f|am|il|iar|izad|o"", ""45"": ""f|am|il|iarizad|o"", ""46"": ""f|am|il|iar|izado""}"
es,whitespace_word,ferrocarriles,3,1,5,5,True,fer|rocar|r|iles,f|er|r|ocarr|il es,"{""42"": ""f|er|r|ocarr|il es"", ""43"": ""f|er|r|oc|arr|il|es"", ""44"": ""f|er|r|ocar|r|il es"", ""45"": ""fer|r|oc|ar|r|il es"", ""46"": ""f|err|oc|arr|il|es""}"
es,whitespace_word,iluminación.,3,1,5,5,True,il|umin|aciÃ³n|.,il|u|m|in|ación|.,"{""42"": ""il|u|m|in|ación|."", ""43"": ""il|uminación|."", ""44"": ""il|um|in|ación|."", ""45"": ""il|umin|ación."", ""46"": ""il|umin|ación|.""}"
es,whitespace_word,independiente,3,1,5,5,True,in|depend|iente,in|d|ep|en di en|te,"{""42"": ""in|d|ep|en di en|te"", ""43"": ""in|d|ep en d|i en|te"", ""44"": ""in|dep en di en|te"", ""45"": ""in|d|ep|en d|i en|te"", ""46"": ""in|d|ep en di en|te""}"
es,whitespace_word,"organización,",3,1,5,5,True,"organ|izaciÃ³n|,","o|r|ganiz|ación,","{""42"": ""o|r|ganiz|ación,"", ""43"": ""o|r|ganización,"", ""44"": ""or|ganiz|ación|,"", ""45"": ""o|r|gan|iz|ación|,"", ""46"": ""or|gan|iz|ación,""}"
es,whitespace_word,península,3,1,5,5,True,pen|ÃŃn|sula,p|en í|nsu|la,"{""42"": ""p|en í|nsu|la"", ""43"": ""p|en||n|su|la"", ""44"": ""p|en ínsu|l|a"", ""45"": ""p|en|ínsu|la"", ""46"": ""p|en ínsu|la""}"
es,whitespace_word,profundidad,3,1,5,5,True,pro|fund|idad,p|r|of|un|did|ad,"{""42"": ""p|r|of|un|did|ad"", ""43"": ""p|r|of|und|id|ad"", ""44"": ""p|r|of|u|n|d|id|ad"", ""45"": ""p|r|of|un|d|id|ad"", ""46"": ""p|r|of|un|d|idad""}"
es,whitespace_word,reducido,3,1,5,5,True,re|du|cido,r|ed|ucid|o,"{""42"": ""r|ed|ucid|o"", ""43"": ""r|ed|uc|ido"", ""44"": ""r|ed|ucido"", ""45"": ""r|educido"", ""46"": ""r|ed|u|cido""}"
es,whitespace_word,traducción,3,1,5,5,True,tr|adu|cciÃ³n,t|r|aducción,"{""42"": ""t|r|aducción"", ""43"": ""t|raducc|ión"", ""44"": ""t|raduc|ción"", ""45"": ""t|raducci|n"", ""46"": ""t|raducción""}"
es,whitespace_word,vinculado,3,1,5,5,True,vin|cul|ado,v|in|cu|lado,"{""42"": ""v|in|cu|lado"", ""43"": ""v|in|cul|ado"", ""44"": ""v|in|c|u|lado"", ""45"": ""v|in|cu|lad|o"", ""46"": ""v|in|c|ulado""}"
es,whitespace_word,2000).,2,1,5,5,True,200|0|).,2000).,"{""42"": ""2000)."", ""43"": ""2|00|0)."", ""44"": ""2|000)."", ""45"": ""20|00)."", ""46"": ""200|0).""}"
es,whitespace_word,"América,",2,1,5,5,True,"Am|Ã©rica|,","Am|ér|ica,","{""42"": ""Am|ér|ica,"", ""43"": ""Am|é|r|ic|a,"", ""44"": ""Am|é|r|ica,"", ""45"": ""Amé|r|ica,"", ""46"": ""Amér|ica,""}"
es,whitespace_word,"Bachmann,",2,1,5,5,True,"B|ach|mann|,","B|achm|an|n,","{""42"": ""B|achm|an|n,"", ""43"": ""B|achm|ann|,"", ""44"": ""B|ac|hm|an|n|,"", ""45"": ""B|achm|an|n|,"", ""46"": ""B|achmann|,""}"
es,whitespace_word,"Balasubramanian,",2,1,5,5,True,"B|al|as|ub|ram|an|ian|,","B|al|asu|b|r|aman|ian|,","{""42"": ""B|al|asu|b|r|aman|ian|,"", ""43"": ""B|al|asu|b|ramanian|,"", ""44"": ""B|al|asu|b|ram|anian|,"", ""45"": ""B|al|asub|raman|ian|,"", ""46"": ""Bal|asub|ramanian|,""}"
es,whitespace_word,Maroochydore,2,1,5,5,True,Mar|oo|ch|yd|ore,M|ar|oochydor|e,"{""42"": ""M|ar|oochydor|e"", ""43"": ""M|ar|ooc|h|yd|or|e"", ""44"": ""M|ar|ooc|hyd|or|e"", ""45"": ""M|ar|ooc|h|ydor|e"", ""46"": ""M|ar|ooc|h|yd|ore""}"
es,whitespace_word,Nyiragongo,2,1,5,5,True,N|y|ira|gon|go,N|yir|agon|go,"{""42"": ""N|yir|agon|go"", ""43"": ""N|yirag|ongo"", ""44"": ""N|yirag|on|go"", ""45"": ""N|yir|ag|on|go"", ""46"": ""N|yiragong|o""}"
es,whitespace_word,acontecimientos,2,1,5,5,True,ac|onte|cimientos,ac|on|te|cimi en t|os,"{""42"": ""ac|on|te|cimi en t|os"", ""43"": ""ac|on|te|c|imi en t|os"", ""44"": ""ac|on te|cim|i en t|os"", ""45"": ""ac|on te|c|imi en t|os"", ""46"": ""ac|on te|cimi en t|os""}"
es,whitespace_word,aminoácidos,2,1,5,5,True,am|ino|Ã¡|cidos,am|in|o|cidos,"{""42"": ""am|in|o|cidos"", ""43"": ""am|in|o|c|idos"", ""44"": ""am|in|oácid|os"", ""45"": ""am|in|oác|idos"", ""46"": ""am|in|o|cid|os""}"
es,whitespace_word,genérica,2,1,5,5,True,gen|Ã©rica,g|en|r|ica,"{""42"": ""g|en|r|ica"", ""43"": ""g|en||r|ica"", ""44"": ""g|en|ér|ic|a"", ""45"": ""g|en|érica"", ""46"": ""g|en||r|ic|a""}"
es,whitespace_word,genético,2,1,5,5,True,gen|Ã©tico,g|en||t|ico,"{""42"": ""g|en||t|ico"", ""43"": ""g|en|ét|ico"", ""44"": ""g|en|t|ico"", ""45"": ""g|en ét|ico"", ""46"": ""g|en|é|t|ico""}"
es,whitespace_word,geográficos,2,1,5,5,True,ge|ogrÃ¡|ficos,g|eog|r|áf|icos,"{""42"": ""g|eog|r|áf|icos"", ""43"": ""g|eog|ráf|ic|os"", ""44"": ""g|eog|ráf|icos"", ""45"": ""g|eog|r|áf|ic|os"", ""46"": ""g|eog|ráfic|os""}"
es,whitespace_word,guardaparques,2,1,5,5,True,guard|ap|ar|ques,g|u|ar|d|ap|ar|qu es,"{""42"": ""g|u|ar|d|ap|ar|qu es"", ""43"": ""g|u|ar|d|apar|qu|es"", ""44"": ""g|u|ard|ap|ar|qu|es"", ""45"": ""g|uar|d|apar|qu|es"", ""46"": ""g|u|ar|d|aparqu|es""}"
es,whitespace_word,impulsos,2,1,5,5,True,imp|uls|os,im|p|ul|s|os,"{""42"": ""im|p|ul|s|os"", ""43"": ""im|p|u|l|sos"", ""44"": ""i|m|p|ul|s|os"", ""45"": ""im|pul|s|os"", ""46"": ""im|pulsos""}"
es,whitespace_word,incendios,2,1,5,5,True,inc|end|ios,in|c|en d|ios,"{""42"": ""in|c|en d|ios"", ""43"": ""in|c en d|ios"", ""44"": ""i|n|c en d|ios"", ""45"": ""in|c|en dios"", ""46"": ""in|c en dios""}"
es,whitespace_word,juego.,2,1,5,5,True,j|uego|.,jueg|o.,"{""42"": ""jueg|o."", ""43"": ""j|ueg|o."", ""44"": ""j|u|eg|o."", ""45"": ""ju|eg|o."", ""46"": ""juego.""}"
es,whitespace_word,lograrse,2,1,5,5,True,lo|gr|arse,l|og|rar|se,"{""42"": ""l|og|rar|se"", ""43"": ""l|og|rarse"", ""44"": ""l|og|r|ars|e"", ""45"": ""l|og|r|ar|se"", ""46"": ""l|og|r|arse""}"
es,whitespace_word,organizado,2,1,5,5,True,organ|izado,or|ganizad|o,"{""42"": ""or|ganizad|o"", ""43"": ""o|r|g|an|izado"", ""44"": ""o|r|gan|iz|ad|o"", ""45"": ""or|ganiz|ad|o"", ""46"": ""o|r|gan|izad|o""}"
es,whitespace_word,supervivencia,2,1,5,5,True,sup|erv|iv|encia,s|u|p|er|viv|en|cia,"{""42"": ""s|u|p|er|viv|en|cia"", ""43"": ""s|up|er|v|iv|en|cia"", ""44"": ""s|u|p|er|viv en cia"", ""45"": ""s|u|p|e|r|v|iv|en|c|ia"", ""46"": ""s|u|p|er|viv|en c|ia""}"
es,whitespace_word,síntomas,2,1,5,5,True,s|ÃŃn|t|omas,s||n|t|om|as,"{""42"": ""s||n|t|om|as"", ""43"": ""s||nt|omas"", ""44"": ""s|ínt|om|as"", ""45"": ""s|ín|t|omas"", ""46"": ""s|ínt|omas""}"
es,whitespace_word,sísmicos,2,1,5,5,True,s|ÃŃs|m|icos,s|ís|m|ic|os,"{""42"": ""s|ís|m|ic|os"", ""43"": ""s||s|m|icos"", ""44"": ""s||s|m|ic|os"", ""45"": ""s||sm|ic|os"", ""46"": ""s|ísm|ic|os""}"
es,whitespace_word,"(1894-1895),",1,1,5,5,True,"(|189|4|-|189|5|),","(|1|89|4|-1895|),","{""42"": ""(|1|89|4|-1895|),"", ""43"": ""(|189|4-|1895),"", ""44"": ""(|1|8|9|4|-|1895),"", ""45"": ""(|189|4|-|1895|),"", ""46"": ""(|1|89|4-|1895),""}"
es,whitespace_word,"(FKP),",1,1,5,5,True,"(|F|K|P|),","(|F|KP),","{""42"": ""(|F|KP),"", ""43"": ""(|FKP)|,"", ""44"": ""(|F|KP|),"", ""45"": ""(|FKP),"", ""46"": ""(|F|KP)|,""}"
es,whitespace_word,(Kriegsmarine),1,1,5,5,True,(|K|rie|gs|mar|ine|),(|K|riegsm|arin|e),"{""42"": ""(|K|riegsm|arin|e)"", ""43"": ""(|Krieg|smarin|e)"", ""44"": ""(|K|rieg|sm|ar|ine)"", ""45"": ""(|K|riegsm|arine)"", ""46"": ""(|K|rieg|sm|arin|e)""}"
es,whitespace_word,"(MIP),",1,1,5,5,True,"(|M|IP|),","(|M|IP)|,","{""42"": ""(|M|IP)|,"", ""43"": ""(|MIP|)|,"", ""44"": ""(|M|IP|),"", ""45"": ""(|M|IP),"", ""46"": ""(|M|IP|)|,""}"
es,whitespace_word,(SANParks).,1,1,5,5,True,(|S|AN|Par|ks|).,(|S|AN|Parks).,"{""42"": ""(|S|AN|Parks)."", ""43"": ""(|SAN|Parks)|."", ""44"": ""(|SAN|P|arks)|."", ""45"": ""(|SAN|Parks)."", ""46"": ""(|S|AN|P|arks)|.""}"
es,whitespace_word,"(SWAPO),",1,1,5,5,True,"(|S|W|AP|O|),","(|S|WAPO)|,","{""42"": ""(|S|WAPO)|,"", ""43"": ""(|S|W|AP|O)|,"", ""44"": ""(|SWAPO)|,"", ""45"": ""(|S|WAP|O),"", ""46"": ""(|SWAP|O)|,""}"
es,whitespace_word,(XDR-TB),1,1,5,5,True,(|X|DR|-T|B|),(|XDR-|T|B),"{""42"": ""(|XDR-|T|B)"", ""43"": ""(|XDR|-|T|B)"", ""44"": ""(|X|DR-|T|B)"", ""45"": ""(|X|D|R|-|T|B)"", ""46"": ""(|X|DR|-|T|B)""}"
es,whitespace_word,(considerando,1,1,5,5,True,(|cons|ider|ando,(|c|ons|ider|ando,"{""42"": ""(|c|ons|ider|ando"", ""43"": ""(|c|onsider|and|o"", ""44"": ""(|c|onsider|ando"", ""45"": ""(|c|ons|id|er|and|o"", ""46"": ""(|c|onsid|er|and|o""}"
es,whitespace_word,(iluminación),1,1,5,5,True,(|il|umin|aciÃ³n|),(|i|l|uminación),"{""42"": ""(|i|l|uminación)"", ""43"": ""(|il|uminación)"", ""44"": ""(|il|umin|ación|)"", ""45"": ""(|il|umin|ación)"", ""46"": ""(|i|l|umin|ación|)""}"
es,whitespace_word,100-200,1,1,5,5,True,100|-|200,100|-|200,"{""42"": ""100|-|200"", ""43"": ""10|0|-|200"", ""44"": ""1|00-|200"", ""45"": ""10|0-|200"", ""46"": ""100-|200""}"
es,whitespace_word,1200,1,1,5,5,True,120|0,120|0,"{""42"": ""120|0"", ""43"": ""1|2|0|0"", ""44"": ""12|00"", ""45"": ""1|200"", ""46"": ""1200""}"
es,whitespace_word,"1624,",1,1,5,5,True,"162|4|,","1624,","{""42"": ""1624,"", ""43"": ""1|624,"", ""44"": ""16|24,"", ""45"": ""1|624|,"", ""46"": ""1624|,""}"
es,whitespace_word,"1930,",1,1,5,5,True,"193|0|,","1930|,","{""42"": ""1930|,"", ""43"": ""1930,"", ""44"": ""19|3|0,"", ""45"": ""193|0,"", ""46"": ""1|9|30,""}"
es,whitespace_word,"1964,",1,1,5,5,True,"196|4|,","1964,","{""42"": ""1964,"", ""43"": ""19|6|4,"", ""44"": ""1964|,"", ""45"": ""196|4|,"", ""46"": ""1|96|4,""}"
es,whitespace_word,1995.,1,1,5,5,True,199|5|.,1995|.,"{""42"": ""1995|."", ""43"": ""1|995|."", ""44"": ""199|5."", ""45"": ""19|95|."", ""46"": ""1|995.""}"
es,whitespace_word,"2005»,",1,1,5,5,True,"200|5|Â»,","2|00|5|,","{""42"": ""2|00|5|,"", ""43"": ""2005|,"", ""44"": ""20|0|5|,"", ""45"": ""2005||,"", ""46"": ""200|5|,""}"
es,whitespace_word,"2014,",1,1,5,5,True,"201|4|,","20|14,","{""42"": ""20|14,"", ""43"": ""2014,"", ""44"": ""2|0|14,"", ""45"": ""2|014,"", ""46"": ""2014|,""}"
es,whitespace_word,2400,1,1,5,5,True,240|0,2400,"{""42"": ""2400"", ""43"": ""2|400"", ""44"": ""240|0"", ""45"": ""24|00"", ""46"": ""2|4|00""}"
es,whitespace_word,241⁄2,1,1,5,5,True,24|1|â|ģ|Ħ|2,241⁄2,"{""42"": ""241⁄2"", ""43"": ""241||2"", ""44"": ""2|4|1|⁄2"", ""45"": ""24|1⁄2"", ""46"": ""2|41⁄2""}"
