sentence_id,split,row_index,text,segments,segment_count
0,dev,0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","[""On"","" "",""Mon"",""day, "",""sci en t"",""ist"",""s "",""from "",""t"",""he "",""St"",""anford "",""Univer"",""sit"",""y "",""School"","" "",""of "",""Med"",""icin"",""e "",""ann"",""ounc"",""ed "",""t"",""he "",""inv en t"",""ion "",""of "",""a "",""new "",""diag"",""n"",""ost"",""ic "",""t"",""ool "",""t"",""hat "",""can "",""sor"",""t"","" "",""cel"",""l"",""s "",""by "",""t"",""ype: "",""a "",""t"",""iny "",""print"",""able "",""c hi p "",""t"",""hat "",""can "",""be "",""man"",""uf"",""act"",""ured "",""using "",""st"",""andard"","" "",""inkjet "",""prin te r"",""s "",""for"","" "",""possib"",""ly "",""about"","" "",""one "",""U.S"","". "",""c en t"","" "",""each.""]",82
1,dev,1,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","[""L"",""ead"","" "",""r es ear"",""ch"",""er"",""s "",""say "",""t"",""hi s "",""may "",""bring "",""earl"",""y "",""de te ct"",""ion "",""of "",""canc"",""er"","", "",""t"",""uberculosis, "",""HIV "",""and "",""mal"",""aria "",""t"",""o "",""pat"",""i en ts "",""in "",""low-"",""income "",""count"",""ri es, "",""wher"",""e "",""t"",""he "",""sur"",""viv"",""al "",""ra te s "",""for"","" "",""ill"",""n es s"",""es  "",""such "",""as "",""breast"","" "",""canc"",""er"","" "",""can "",""be "",""hal"",""f "",""t"",""hose "",""of "",""richer"","" "",""count"",""ri es.""]",66
2,dev,2,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","[""T"",""he "",""JAS "",""39C"","" "",""Grip en  "",""crashed "",""ont"",""o "",""a "",""ru nway "",""at"","" "",""around"","" "",""9:3"",""0 "",""am "",""local"","" "",""t"",""ime "",""(0230 "",""UTC) "",""and "",""exploded, "",""closing "",""t"",""he "",""airport"","" "",""t"",""o "",""comm"",""er"",""cial"","" "",""flight"",""s.""]",39
3,dev,3,The pilot was identified as Squadron Leader Dilokrit Pattavee.,"[""T"",""he "",""pilot"","" "",""was "",""id en t"",""ified "",""as "",""Squadr"",""on "",""Leader"","" "",""Dilokrit"","" "",""Pat"",""tavee.""]",16
4,dev,4,Local media reports an airport fire vehicle rolled over while responding.,"[""L"",""oc"",""al"","" "",""med"",""ia "",""report"",""s "",""an "",""airport"","" "",""fire "",""ve hi cle "",""roll"",""ed "",""over"","" "",""w hi le "",""r es pon"",""din"",""g.""]",21
5,dev,5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","[""28-"",""year"",""-"",""old "",""Vidal "",""had "",""joined "",""Bar"",""ça "",""t"",""hree "",""season"",""s "",""ago, "",""fr"",""om "",""Sevill"",""a.""]",18
6,dev,6,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","[""S"",""in"",""ce "",""moving "",""t"",""o "",""t"",""he "",""Cat"",""alan-"",""cap"",""it"",""al, "",""Vidal "",""had "",""played "",""49 "",""gam es  "",""for"","" "",""t"",""he "",""club.""]",23
7,dev,7,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","[""T"",""he "",""pro te"",""st"","" "",""st"",""ar te d "",""around"","" "",""11:0"",""0 "",""local"","" "",""t"",""ime "",""(UT"",""C+1) "",""on "",""W hi te hall"","" "",""opposi te"","" "",""t"",""he "",""police-"",""guard"",""ed "",""en t"",""rance "",""t"",""o "",""Down"",""ing "",""St"",""reet"","", "",""t"",""he "",""Prime "",""Min"",""is te r"",""'"",""s "",""off"",""icial"","" "",""r es id en ce.""]",47
8,dev,8,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","[""Just"","" "",""af te r"","" "",""11:0"",""0, "",""pro te"",""s te"",""r"",""s "",""blocked "",""t"",""raff"",""ic "",""on "",""t"",""he "",""nor"",""t"",""hbound"","" "",""car"",""riag"",""e "",""in "",""W hi te hall"","".""]",27
9,dev,9,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","[""At"","" "",""11:2"",""0, "",""t"",""he "",""pol"",""ice "",""asked "",""t"",""he "",""pro te"",""s te"",""r"",""s "",""t"",""o "",""move "",""back"","" "",""on "",""t"",""o "",""t"",""he "",""pavem en t"","", "",""st"",""ating "",""t"",""hat "",""t"",""hey "",""needed "",""t"",""o "",""balanc"",""e "",""t"",""he "",""right"","" "",""t"",""o "",""pro te"",""st"","" "",""wit"",""h "",""t"",""he "",""t"",""raff"",""ic "",""buildin"",""g "",""up.""]",57
10,dev,10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","[""Ar"",""ou"",""nd"","" "",""11:2"",""9, "",""t"",""he "",""pro te"",""st"","" "",""moved "",""up "",""W hi te hall"","", "",""past"","" "",""T"",""rafalgar "",""Square, "",""alon"",""g "",""t"",""he "",""St"",""rand, "",""pass"",""in"",""g "",""by "",""Aldw"",""ych "",""and "",""up "",""Kin"",""gsway "",""t"",""owards "",""Hol"",""bor"",""n "",""wher"",""e "",""t"",""he "",""Conser"",""vat"",""ive "",""Part"",""y "",""were "",""hol"",""din"",""g "",""t"",""heir "",""Sprin"",""g "",""Fo ru m "",""in "",""t"",""he "",""Gran"",""d"","" "",""Conn"",""aug"",""h"",""t"","" "",""Rooms "",""ho te l.""]",72
11,dev,11,Nadal's head to head record against the Canadian is 7–2.,"[""N"",""adal"",""'"",""s "",""head "",""t"",""o "",""head "",""recor"",""d "",""against"","" "",""t"",""he "",""Canadian"","" "",""is "",""7–"",""2.""]",19
12,dev,12,He recently lost against Raonic in the Brisbane Open.,"[""H"",""e "",""rec en t"",""ly "",""lost"","" "",""against"","" "",""Raonic "",""in "",""t"",""he "",""Brisb"",""ane "",""Op en.""]",15
13,dev,13,Nadal bagged 88% net points in the match winning 76 points in the first serve.,"[""N"",""adal"","" "",""bagged "",""88% "",""net"","" "",""point"",""s "",""in "",""t"",""he "",""mat"",""ch "",""winn"",""ing "",""76 "",""point"",""s "",""in "",""t"",""he "",""first"","" "",""ser"",""ve.""]",26
14,dev,14,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","[""Af"",""te r"","" "",""t"",""he "",""mat"",""ch, "",""Kin"",""g "",""of "",""Clay "",""said, "",""\"""",""I "",""am "",""just"","" "",""exc"",""i te d "",""about"","" "",""being "",""back"","" "",""in "",""t"",""he "",""fin"",""al "",""round"",""s "",""of "",""t"",""he "",""most"","" "",""import"",""ant "",""ev en t"",""s. "",""I "",""am "",""her"",""e "",""t"",""o "",""t"",""ry "",""t"",""o "",""win "",""t"",""hi s.\""""]",53
15,dev,15,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","[""\"""",""P"",""an"",""ama "",""Paper"",""s\"""","" "",""is "",""an "",""umbr"",""el"",""l"",""a "",""te rm "",""for"","" "",""rough"",""l"",""y "",""te n "",""mil"",""lion"","" "",""docum en t"",""s "",""from "",""Panaman"",""ian"","" "",""law "",""firm "",""Mossack "",""Fonseca, "",""leaked "",""t"",""o "",""t"",""he "",""pr es s "",""in "",""sprin"",""g "",""2016.""]",43
16,dev,16,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,"[""T"",""he "",""docum en t"",""s "",""show"",""ed "",""four"",""te"",""en  "",""banks "",""hel"",""ped "",""wealt"",""hy "",""cli en t"",""s "",""hi de "",""bill"",""ion"",""s "",""of "",""US "",""dollars "",""of "",""wealt"",""h "",""t"",""o "",""avoid "",""t"",""ax es  "",""and "",""ot"",""her "",""regul"",""at"",""ion"",""s.""]",38
