language,text,count,bpe_unique_signatures,fxt_unique_signatures,fxt_seed_signature_count,has_fxt_seed_variation,most_common_bpe,most_common_fxt,seed_signatures
es,"A bordo de un bote es la mejor forma de contemplar los lugares y la vida silvestre de Galápagos, al igual que lo hizo Charles Darwin en 1835.",1,1,5,5,True,"A|Ġbor|do|Ġde|Ġun|Ġb|ote|Ġes|Ġla|Ġmejor|Ġforma|Ġde|Ġcontemp|lar|Ġlos|Ġlugares|Ġy|Ġla|Ġvida|Ġsil|vest|re|Ġde|ĠGal|Ã¡p|agos|,|Ġal|Ġigual|Ġque|Ġlo|Ġhizo|ĠCharles|ĠDar|win|Ġen|Ġ|183|5|.","A|bor|do|de|un|bo te|es  la|mejor||for|ma|de|con te|mp|lar|los|lugar es|y|la|vida|sil|v es t|re|de|Gal|ápag|os,|al|igual|que|lo  hi zo|Char|l|es|Darwin||en|1835.","{""42"": ""A|bor|do|de|un|bo te|es  la|mejor||for|ma|de|con te|mp|lar|los|lugar es|y|la|vida|sil|v es t|re|de|Gal|ápag|os,|al|igual|que|lo  hi zo|Char|l|es|Darwin||en|1835."", ""43"": ""A|bor|do|de|un|bo te|es  la|mejor||for|ma|de|con te m|p|l|ar|los|lugar es|y|la|vida|silv es t|re|de|Gal|ápag|os,|al|igual||que|lo  hi zo|Char|l|es|Darwin||en|1835."", ""44"": ""A|bor|do|de|un|bo te|es  la|mejor||for|ma|de|con te|mp|l|ar|los|lugar es|y|la|vida|sil|v es t|re|de|Gal|ápag|os,|al|igual||que|lo  hi zo|Char|l|es|Darwin||en|1835."", ""45"": ""A|bor|do|de|un|bo te|es  la|mejor||for|ma|de|con te|mp|l|ar|los|lugar es|y|la|vida|silv es t|re|de|Gal|ápag|os,|al|igual||que|lo  hi zo|Char|l|es|Darwin||en|1835."", ""46"": ""A|bor|do|de|un|bo te|es  la|mejor||for|ma|de|con te|m|p|l|ar|los|lugar es|y|la|vida|sil|v es t|re|de|Gal|ápag|os,|al|igual||que|lo  hi zo|Char|l|es|Darw|in||en|1835|.""}"
es,"A causa de la topología submarina, el flujo de retorno se reúne en ciertas zonas de mayor profundidad y allí puede originarse una corriente rápida con dirección a aguas profundas.",1,1,5,5,True,"A|Ġcausa|Ġde|Ġla|Ġtop|ologÃŃa|Ġsub|mar|ina|,|Ġel|Ġflujo|Ġde|Ġret|orno|Ġse|Ġre|Ãºne|Ġen|Ġciertas|Ġzonas|Ġde|Ġmayor|Ġprofundidad|Ġy|ĠallÃŃ|Ġpuede|Ġorigin|arse|Ġuna|Ġcorriente|ĠrÃ¡pida|Ġcon|ĠdirecciÃ³n|Ġa|Ġaguas|Ġprofund|as|.","A|causa|de|la|t|opología|sub|marina,|el|flujo|de|ret|orno|se|reú|ne|en|ciert|as|zonas|de|mayor||profundidad|y|all|í|pued|e|origin|arse|una|cor|ri en te|rápid|a|con|dirección|a|aguas|profund|as.","{""42"": ""A|causa|de|la|t|opología|sub|marina,|el|flujo|de|ret|orno|se|reú|ne|en|ciert|as|zonas|de|mayor||profundidad|y|all|í|pued|e|origin|arse|una|cor|ri en te|rápid|a|con|dirección|a|aguas|profund|as."", ""43"": ""A|causa|de|la|t|opología|sub|mar|ina,|el|flujo|de|ret|orno|se|reú|ne|en|ciert|as|zonas|de|mayor||prof|un|d|id|ad|y|all|í|pued|e|origin|ar|se|una|cor|ri en te|rápida|con|dirección|a|aguas|profund|as."", ""44"": ""A|causa|de|la|t|opología|sub|marina,|el|flujo|de|ret|orno|se|reú|ne|en|ciert|as|zonas|de|mayor||profundidad|y|all|í|puede|origin|arse|una|cor|ri en te|rápida|con|dirección||a|aguas|prof|und|as."", ""45"": ""A||causa|de|la|t|opologí|a|sub|marina,|el|flujo|de|ret|orno|se|reú|ne|en|ciert|as|zonas|de|mayor||profundid|ad|y|all|í|pued|e|origin|arse|una|cor|ri en te|rápida|con|dirección|a|aguas|profundas."", ""46"": ""A|causa|de|la|t|opología|sub|marina,|el|flujo|de|ret|orno|se|reú|ne|en|ciert|as|zonas|de|mayor||profund|id|ad|y|all|í|pued|e|origin|ars|e|una|cor|ri en te|rápida|con|dirección|a|aguas|prof|undas.""}"
es,"A diferencia de lo que ocurre con automóviles de mayor porte, es probable que usted ya se encuentre familiarizado con la conducción de su rodado y esté al tanto de sus limitaciones.",1,1,5,5,True,"A|Ġdiferencia|Ġde|Ġlo|Ġque|Ġocurre|Ġcon|ĠautomÃ³|viles|Ġde|Ġmayor|Ġpor|te|,|Ġes|Ġprobable|Ġque|Ġusted|Ġya|Ġse|Ġencuentre|Ġfamiliar|izado|Ġcon|Ġla|ĠconducciÃ³n|Ġde|Ġsu|Ġrod|ado|Ġy|ĠestÃ©|Ġal|Ġtanto|Ġde|Ġsus|Ġlimit|aciones|.","A|difer|en cia|de|lo que|ocurre|con|aut|omóvil es|de|mayor||por te,|es  probable|que|us te d|ya|se|en cu en t|re|famil|iarizado|con|la|condu|cción|de|su|rodado|y|es t|é|al|t|anto|de|sus|limitacion|es.","{""42"": ""A|difer|en cia|de|lo que|ocurre|con|aut|omóvil es|de|mayor||por te,|es  probable|que|us te d|ya|se|en cu en t|re|famil|iarizado|con|la|condu|cción|de|su|rodado|y|es t|é|al|t|anto|de|sus|limitacion|es."", ""43"": ""A|difer en cia|de|lo que|ocurre|con|aut|omóvil|es|de|mayor||por te,|es  probab|le|que|us te d|ya|se|en cu en t|re|famil|iar|izado|con|la|conducción||de|su|rodado|y|es t|é|al|t|anto|de|sus|limitacion|es."", ""44"": ""A|difer en cia|de|lo que|ocurre|con|aut|omóvil|es|de|mayor||por te|,|es  probab|le|que|us te d|ya|se|en cu en t|re|famil|iar|izado|con|la|conducción||de|su|rodado|y|es t|é|al|t|anto|de|sus|limitacion|es."", ""45"": ""A|difer en cia|de|lo que|ocurre|con|aut|omóvil|es|de|mayor||por te|,|es  probable|que|us te d|ya|se|en cu en tre|famil|iar|izado|con|la|conducción||de|su|rodado|y|es t|é|al|t|anto|de|sus|limitacion|es."", ""46"": ""A|difer en cia|de|lo que|ocurr|e|con|aut|omóvil|es|de|mayor||por te|,|es  probable|que|us te d|ya|se|en cu en t|re|famil|iar|izado|con|la|conducción|de|su|rodado|y|es t|é|al|t|anto|de|sus|limitacion|es.""}"
es,"A dos años del final de la guerra, los que eran aliados ahora eran enemigos y la Guerra Fría comenzó.",1,1,5,5,True,"A|Ġdos|ĠaÃ±os|Ġdel|Ġfinal|Ġde|Ġla|Ġguerra|,|Ġlos|Ġque|Ġeran|Ġal|iados|Ġahora|Ġeran|Ġenemigos|Ġy|Ġla|ĠGuerra|ĠF|rÃŃa|ĠcomenzÃ³|.","A|dos|años|del|fin|al|de|la|guerra,|los|que|eran|aliados|ahor|a|eran|en emigos|y|la|Guerra|Fr|ía|com en zó.","{""42"": ""A|dos|años|del|fin|al|de|la|guerra,|los|que|eran|aliados|ahor|a|eran|en emigos|y|la|Guerra|Fr|ía|com en zó."", ""43"": ""A|dos|años|del|fin|al|de|la|guerra,|los|que|eran|aliad|os|ahor|a|eran|en emigos|y|la|Guer|ra|Fr|ía|com en z|ó."", ""44"": ""A|dos|años|del|fin|al|de|la|guerra,|los|que|eran|aliados|ahora|eran|en emigos|y|la|Guerra|Fr|ía|com en zó."", ""45"": ""A|dos|años|del||fin|al|de|la|guerra,|los|que|eran|aliados|ahor|a|eran|en emigos|y|la|Guerra|Fría|com en z|ó."", ""46"": ""A|dos|años|del|fin|al|de|la|guerra,|los|que|eran|aliados|ahora|eran|en emigos|y|la|Guer|ra|Fr|ía|com en zó.""}"
es,"A estos niños se los apoda «salvajes». Algunos niños salvajes son confinados por personas, en general sus padres. En algunos casos, el abandono de un niño se debe al rechazo de los padres a la discapacidad intelectual o física grave que tenga el niño.",1,1,5,5,True,"A|Ġestos|ĠniÃ±os|Ġse|Ġlos|Ġap|oda|ĠÂ«|sal|v|ajes|Â».|ĠAlgunos|ĠniÃ±os|Ġsalv|ajes|Ġson|Ġconf|in|ados|Ġpor|Ġpersonas|,|Ġen|Ġgeneral|Ġsus|Ġpadres|.|ĠEn|Ġalgunos|Ġcasos|,|Ġel|Ġaband|ono|Ġde|Ġun|ĠniÃ±o|Ġse|Ġdebe|Ġal|Ġrechazo|Ġde|Ġlos|Ġpadres|Ġa|Ġla|Ġdiscapacidad|Ġintelectual|Ġo|ĠfÃŃsica|Ġgrave|Ġque|Ġtenga|Ġel|ĠniÃ±o|.","A|es t|os|niños|se|los|apod|a|||sal|vaj es ».|Algun|os|niños|sal|vaj es|son||conf|in|ados|por|person|as,|en|g en er|al|sus|padr es.|En|algun|os|casos,|el|abandon|o|de|un|niño|se|deb|e|al|rech|azo|de|los|padr es|a|la|disc|ap|acidad|in te lect|ual|o física|grav|e|que|te nga|el|niño.","{""42"": ""A|es t|os|niños|se|los|apod|a|||sal|vaj es ».|Algun|os|niños|sal|vaj es|son||conf|in|ados|por|person|as,|en|g en er|al|sus|padr es.|En|algun|os|casos,|el|abandon|o|de|un|niño|se|deb|e|al|rech|azo|de|los|padr es|a|la|disc|ap|acidad|in te lect|ual|o física|grav|e|que|te nga|el|niño."", ""43"": ""A|es t|os|niños|se|los|apoda|||sal|vaj es ».|Algun|os|niños|sal|vaj es|son||conf|in|ados|por|person|as,|en|g en er|al|sus|padr es.|En|algun|os|casos,|el|aband|on|o|de|un|niño|se|debe|al|rech|az|o|de|los|padr es|a|la|disc|ap|acidad|in te lect|ual|o físic|a|grav|e|que|te nga|el|niño."", ""44"": ""A|es t|os|niños|se|los|apoda|||sal|vaj|es|.|Algun|os|niños|sal|vaj es|son||conf|in|ados|por|person|as,|en|g en er|al|sus|padr es.|En|algun|os|casos,|el|abandon|o|de|un|niño|se|deb|e|al|rech|azo|de|los|padr es|a|la|disc|ap|acidad|in te lect|ual|o física|grav|e|que|te nga|el|niño."", ""45"": ""A|es t|os|niños|se|los|apoda|«|sal|vaj|es|.|Algun|os|niños|sal|vaj|es|son||conf|in|ados|por|person|as,|en|g en er|al|sus|padr es.|En|algun|os|casos,|el|abandon|o|de|un|niño|se|debe|al|rech|az|o|de|los|padr es|a|la|disc|ap|acidad|in te lect|ual|o física|grav|e|que|te nga|el|niño."", ""46"": ""A|es t|os|niños|se|los|apoda|||sal|vaj es ».|Algun|os|niños|sal|vaj es|son||conf|in|ados|por|person|as,|en|g en er|al|sus|padr es.|En|algun|os|casos,|el|abandon|o|de|un|niño|se|deb|e|al|rech|azo|de|los|padr es|a|la|disc|apacidad|in te lect|ual|o física|grav|e|que|te nga|el|niño.""}"
es,"A la fecha de su deceso, aparte de haber sido medallista olímpico y mundial, Saito era director del comité de entrenamiento de la Federación de Judo japonesa.",1,1,5,5,True,"A|Ġla|Ġfecha|Ġde|Ġsu|Ġde|ceso|,|Ġaparte|Ġde|Ġhaber|Ġsido|Ġmed|all|ista|Ġol|ÃŃmp|ico|Ġy|Ġmundial|,|ĠSa|ito|Ġera|Ġdirector|Ġdel|Ġcom|itÃ©|Ġde|Ġentrenamiento|Ġde|Ġla|ĠFederaciÃ³n|Ġde|ĠJu|do|Ġjapones|a|.","A|la|fecha|de|su|dec|es o,|apar|te|de|haber||sid|o|med|all|ist|a|olímpico|y|mundial,|Sait|o|era|direct|or|del|comité|de|en t|r en ami en t|o|de|la|Feder|ación|de|Judo|japon es a.","{""42"": ""A|la|fecha|de|su|dec|es o,|apar|te|de|haber||sid|o|med|all|ist|a|olímpico|y|mundial,|Sait|o|era|direct|or|del|comité|de|en t|r en ami en t|o|de|la|Feder|ación|de|Judo|japon es a."", ""43"": ""A|la|fecha|de|su|dec|es o,|apar|te|de|haber||sido|med|all|ist|a|olímpico|y|mundial|,|Sait|o|era|direct|or|del|comité|de|en t|r en ami en t|o|de|la|Feder|ación|de|Judo|japon|es a."", ""44"": ""A|la|fecha|de|su|dec es o,|apar|te|de|haber||sido|med|all|ist|a|olímpico|y|mundial|,|Sait|o|era|direct|or|del|comité|de|en t|r en ami en to|de|la|Feder|ación||de|Judo|japon es a."", ""45"": ""A|la|fecha|de|su|dec|es o,|apar|te|de|haber||sid|o|med|all|ist|a|olímpico|y|mundial,|Sait|o|era|direct|or|del||comité|de|en t|r en ami en t|o|de|la|Feder|ación||de|Judo|japon|es a."", ""46"": ""A|la|fecha|de|su|dec|es o,|apar|te|de|haber||sid|o|med|all|ist|a|olímp|ico|y|mundial,|Sait|o|era|direct|or|del|comité|de|en t|r en ami en t|o|de|la|Feder|ación|de|Judo|japon es a.""}"
es,"A la vez, la armada alemana, empleando principalmente sumergibles, intentaba anular esta circulación.",1,1,5,5,True,"A|Ġla|Ġvez|,|Ġla|Ġarm|ada|Ġaleman|a|,|Ġemple|ando|Ġprincipalmente|Ġsumer|g|ibles|,|Ġintent|aba|Ġan|ular|Ġesta|ĠcirculaciÃ³n|.","A|la|vez,|la|armada|aleman|a,|emp|leando|princip|alm|en te|sumer|gib|l es,|in te n|t|aba|anular|es t|a|circul|ación.","{""42"": ""A|la|vez,|la|armada|aleman|a,|emp|leando|princip|alm|en te|sumer|gib|l es,|in te n|t|aba|anular|es t|a|circul|ación."", ""43"": ""A|la|vez,|la|armada|aleman|a,|emp|l|eand|o|princip|alm en te|sumer|gib|l es,|in te nt|ab|a|anular|es t|a|cir|cu|l|ación."", ""44"": ""A|la|vez,|la|armada|aleman|a,|emp|l|eand|o|princip|alm|en te|sumer|gib|l es,|in te nt|ab|a|anular|es t|a|circu|l|ación|."", ""45"": ""A||la|vez,|la|armada|aleman|a,|emp|lean|do|prin|cip|alm|en te|sumer|gib|l es,|in te nt|ab|a|anular|es t|a|circu|l|ación."", ""46"": ""A|la|vez,|la|armada|aleman|a,|emp|leand|o|princip|alm en te|sumergibl es,|in te nt|aba|anular||es t|a|circu|lación.""}"
es,"A las 11:20, la policía solicitó a los manifestantes que retrocedieran a la acera, señalando que era necesario equilibrar el derecho a manifestarse con la acumulación de tránsito.",1,1,5,5,True,"A|Ġlas|Ġ|11|:|20|,|Ġla|ĠpolicÃŃa|Ġsolicit|Ã³|Ġa|Ġlos|Ġmanifest|antes|Ġque|Ġretro|ced|ieran|Ġa|Ġla|Ġac|era|,|ĠseÃ±al|ando|Ġque|Ġera|Ġnecesario|Ġequilib|rar|Ġel|Ġderecho|Ġa|Ġmanifest|arse|Ġcon|Ġla|Ġacum|ulaciÃ³n|Ġde|ĠtrÃ¡nsito|.","A|las|11:2|0,|la|policía|sol|icitó|a|los|man|if|es t|an te s|que|ret|roced|ier|an|a|la|acer|a,|señal|ando|que|era|nec es ar|io|equilib|r|ar||el|der|ech|o|a|man|if|es t|arse|con|la|acumulación|de|t|ránsit|o.","{""42"": ""A|las|11:2|0,|la|policía|sol|icitó|a|los|man|if|es t|an te s|que|ret|roced|ier|an|a|la|acer|a,|señal|ando|que|era|nec es ar|io|equilib|r|ar||el|der|ech|o|a|man|if|es t|arse|con|la|acumulación|de|t|ránsit|o."", ""43"": ""A|las|11:2|0,|la|pol|icía|sol|icitó|a|los|man|if|es t|an te s|que|ret|rocedier|an||a|la|acer|a,|señal|an|do|que|era|nec es ar|io|equilib|r|ar|el|der|ech|o|a|man|if|es t|arse|con|la|acumul|ación|de|t|ránsit|o."", ""44"": ""A|las|11:2|0,|la|policía|sol|icitó|a|los|man|if|es t|an te s|que|ret|rocedieran|a|la|acer|a,|señal|ando|que|era|nec es ar|io|equilib|r|ar|el|der|ech|o|a|man|if|es t|arse|con|la|acumulación|de|t|ránsit|o."", ""45"": ""A|las|11:2|0,|la|policía|sol|icitó|a|los|man|if|es t|an te s|que|ret|rocedier|an|a|la|acer|a,|señal|ando|que|era|nec es ar|io|equilib|r|ar|el|der|ech|o|a|man|if es t|arse|con|la|acumul|ación|de|t|ránsit|o."", ""46"": ""A|las|11:2|0,|la|policía|sol|icit|ó|a|los|man|if|es t|an te s|que|ret|rocedieran|a|la|acer|a,|señal|ando|que|era|nec es ar|io|equilib|r|ar|el|der|echo|a|man|if|es t|arse|con|la|acumulación|de|t|ránsit|o.""}"
es,"A los gerentes de esta categoría le cuesta tomar decisiones de las que caen mal a los empleados, imponer medidas disciplinarias, realizar evaluaciones de desempeño, asignar responsabilidades y exigir rendición de cuentas al personal.",1,1,5,5,True,"A|Ġlos|Ġger|entes|Ġde|Ġesta|ĠcategorÃŃa|Ġle|Ġcuesta|Ġtomar|Ġdecisiones|Ġde|Ġlas|Ġque|Ġca|en|Ġmal|Ġa|Ġlos|Ġempleados|,|Ġim|poner|Ġmedidas|Ġdiscipl|in|arias|,|Ġrealizar|Ġevalu|aciones|Ġde|ĠdesempeÃ±o|,|Ġasign|ar|Ġresponsabilidades|Ġy|Ġexig|ir|Ġrend|iciÃ³n|Ġde|Ġcuentas|Ġal|Ġpersonal|.","A|los|ger|en te s|de|es t|a|ca te goría|le|cu es t|a|t|omar|dec|ision|es|de|las|que|ca en|mal||a|los|emp|leados,|imponer|med|idas|disc|iplin|arias,|realizar||evaluacion|es|de|d es emp|eño,|asign|ar|r es pon|sab|ilidad es|y|exigir|r en dición|de|cu en t|as|al|person|al.","{""42"": ""A|los|ger|en te s|de|es t|a|ca te goría|le|cu es t|a|t|omar|dec|ision|es|de|las|que|ca en|mal||a|los|emp|leados,|imponer|med|idas|disc|iplin|arias,|realizar||evaluacion|es|de|d es emp|eño,|asign|ar|r es pon|sab|ilidad es|y|exigir|r en dición|de|cu en t|as|al|person|al."", ""43"": ""A|los|ger|en te s|de|es t|a|ca te goría|le|cu es t|a|t|omar|dec|ision|es|de|las|que|ca en|mal||a|los|emp|leados,|imponer|med|idas|disc|iplin|arias,|real|izar||evaluacion|es|de|d es emp|eño,|asig|n|ar|r es ponsab|ilidad es|y|exigir||r en dición|de|cu en t|as|al|person|al."", ""44"": ""A|los|ger|en te s|de|es t|a|ca te goría|le|cu es t|a|t|omar|dec|ision|es|de|las|que|ca en|mal||a|los|empleados,|imponer|med|idas|disc|iplin|arias,|real|izar||evaluacion|es|de|d es emp|eño,|asign|ar|r es pon|sab|ilid|ad es|y|exigir|r en dición||de|cu en t|as|al|person|al."", ""45"": ""A|los|ger|en te s|de|es t|a|ca te goría|le|cu es t|a|t|omar|dec|ision|es|de|las|que|ca en|mal||a|los|emp|leados,|impon|er|med|idas|disc|ipl|in|arias,|real|izar||evaluacion|es|de|d es emp|eñ|o,|asign|ar|r es pon|sab|ilidad es|y|exigir|r en dición|de|cu en t|as|al|person|al."", ""46"": ""A|los|ger|en te s|de|es t|a|ca te goría|le|cu es t|a|t|omar|dec|ision|es|de|las|que|ca en|mal||a|los|emp|leados,|impon|er|med|idas|disc|ip|l|in|arias,|realizar||evaluacion|es|de|d es emp|eño,|asig|n|ar|r es pon|sab|ilidad es|y|exigir||r en dición|de|cu en t|as|al|person|al.""}"
es,"A medida que el dominio del idioma griego fue decayendo, Occidente se distanció de sus raíces griegas tanto filosóficas como científicas.",1,1,5,5,True,"A|Ġmedida|Ġque|Ġel|Ġdominio|Ġdel|Ġidioma|Ġgr|iego|Ġfue|Ġdec|ay|endo|,|ĠOc|cidente|Ġse|Ġdist|an|ciÃ³|Ġde|Ġsus|ĠraÃŃces|Ġgr|ie|gas|Ġtanto|Ġfilos|Ã³|ficas|Ġcomo|ĠcientÃŃf|icas|.","A|med|ida|que|el|domin|io|del|idioma|grieg|o|fue|dec|ay en do,|Occid en te|se|dist|anció|de|sus|raíc es|griegas|t|anto|filos|f|icas|como|ci en t|íficas.","{""42"": ""A|med|ida|que|el|domin|io|del|idioma|grieg|o|fue|dec|ay en do,|Occid en te|se|dist|anció|de|sus|raíc es|griegas|t|anto|filos|f|icas|como|ci en t|íficas."", ""43"": ""A|med|ida|que|el|domin|io|del|idiom|a|griego|fue|dec|ay en d|o,|Occid en te|se|dist|anció|de|sus|raíc es|griegas|t|anto|filosóf|icas|como|ci en t|ífic|as."", ""44"": ""A|med|ida|que|el|domin|io|del|idiom|a|griego|fue|decay en d|o,|Occid|en te|se|dist|anció|de|sus|raíc es|griegas|t|anto|filosóf|icas|como|ci en t|ífic|as."", ""45"": ""A|med|ida|que|el|domin|io|del|idioma|griego|fue|decay en do,|Occid en te|se|dist|anció|de|sus|raíc es|griegas|t|anto|filosóf|icas|como|ci en t|ífic|as."", ""46"": ""A|med|ida|que|el|domin|io|del|idioma|griego|fue|decay en do,|Occid en te|se|dist|anció|de|sus|raíc es|grieg|as|t|anto|filosóf|icas|como|ci en t|íficas.""}"
