segment,segment_display,count,example_occurrences
 ,' ',11945,"[{""sentence_id"": 0, ""text"": ""సోమవారం, స్టాన్ఫోర్డ్ యూనివర్శిటీ స్కూల్ ఆఫ్ మెడిసిన్ శాస్త్రవేత్తలు కణాల రకాన్ని క్రమబద్ధీకరించగల కొత్త రోగనిర్ధారణ సాధనం యొక్క ఆవిష్కరణను ప్రకటించారు: ప్రామాణిక ఇంక్జెట్ ప్రింటర్లను ఉపయోగించి 1 యు.ఎస్.""}, {""sentence_id"": 1, ""text"": ""ఇది తక్కువ ఆదాయం ఉన్న దేశాల్లోని రోగులకు క్యాన్సర్, క్షయ, హెచ్ ఐవి మరియు మలేరియాలను ముందస్తుగా గుర్తించవచ్చని లీడ్ పరిశోధకులు చెబుతున్నారు, రొమ్ము క్యాన్సర్ వంటి అస్వస్థతల కొరకు మనుగడ రేట్లు సంపన్న దేశాల్లో నివసిస్తుంది.""}, {""sentence_id"": 2, ""text"": ""సుమారు ఉదయం 9:30 గంటలకు స్థానిక సమయం (0230 UTC) వద్ద JAS 39C గ్రిపెన్ రన్వే పైకి దూసుకెళ్లి పేలిపోయింది, వాణిజ్య విమానాలు రాకుండా విమానాశ్రయాన్ని మూసివేయడం జరిగింది.""}]"
.,'.',1032,"[{""sentence_id"": 3, ""text"": ""పైలట్‌ను స్క్వాడ్రన్ లీడర్ దిలోక్రిత్ పట్టావీగా గుర్తించారు.""}, {""sentence_id"": 5, ""text"": ""28 ఏళ్ల విడాల్ 3 సీజన్‌ల క్రితం Sevilla నుండి Barçaలో చేరాడు.""}, {""sentence_id"": 6, ""text"": ""కాటలాన్-రాజధానికి వచ్చినప్పటి నుండి, విడాల్ క్లబ్ తరఫున 49 ఆటలు ఆడాడు.""}]"
", ","', '",1022,"[{""sentence_id"": 1, ""text"": ""ఇది తక్కువ ఆదాయం ఉన్న దేశాల్లోని రోగులకు క్యాన్సర్, క్షయ, హెచ్ ఐవి మరియు మలేరియాలను ముందస్తుగా గుర్తించవచ్చని లీడ్ పరిశోధకులు చెబుతున్నారు, రొమ్ము క్యాన్సర్ వంటి అస్వస్థతల కొరకు మనుగడ రేట్లు సంపన్న దేశాల్లో నివసిస్తుంది.""}, {""sentence_id"": 9, ""text"": ""11:20 కి, పోలీసులు నిరసనకారులను పేవ్ మెంట్ పై తిరిగి కదలమని కోరారు, వారు ట్రాఫిక్ ను నిర్మించడానికి నిరసన తెలిపే హక్కును సమతుల్యం చేయాల్సిన అవసరం ఉందని పేర్కొన్నారు.""}, {""sentence_id"": 10, ""text"": ""సుమారు 11:29 గంటలకు, నిరసన వైట్‌హాల్ వైపుకు వెళ్ళి, ట్రాఫాల్గర్ స్క్వేర్ దాటి, స్ట్రాండ్ వెంట, ఆల్డ్‌విచ్ మరియు కింగ్స్‌వే మీదుగా కన్జర్వేటివ్ పార్టీ వారు తమ స్ప్రింగ్ ఫోరమ్‌ నిర్వహిస్తోన్న గ్రాండ్ కన్నాట్ రూమ్స్ హోటల్ ఉన్న హోల్బోర్న్ వైపుకు వెళ్ళింది.""}]"
,'',925,"[{""sentence_id"": 0, ""text"": ""సోమవారం, స్టాన్ఫోర్డ్ యూనివర్శిటీ స్కూల్ ఆఫ్ మెడిసిన్ శాస్త్రవేత్తలు కణాల రకాన్ని క్రమబద్ధీకరించగల కొత్త రోగనిర్ధారణ సాధనం యొక్క ఆవిష్కరణను ప్రకటించారు: ప్రామాణిక ఇంక్జెట్ ప్రింటర్లను ఉపయోగించి 1 యు.ఎస్.""}, {""sentence_id"": 1, ""text"": ""ఇది తక్కువ ఆదాయం ఉన్న దేశాల్లోని రోగులకు క్యాన్సర్, క్షయ, హెచ్ ఐవి మరియు మలేరియాలను ముందస్తుగా గుర్తించవచ్చని లీడ్ పరిశోధకులు చెబుతున్నారు, రొమ్ము క్యాన్సర్ వంటి అస్వస్థతల కొరకు మనుగడ రేట్లు సంపన్న దేశాల్లో నివసిస్తుంది.""}, {""sentence_id"": 5, ""text"": ""28 ఏళ్ల విడాల్ 3 సీజన్‌ల క్రితం Sevilla నుండి Barçaలో చేరాడు.""}]"
క,'క',917,"[{""sentence_id"": 3, ""text"": ""పైలట్‌ను స్క్వాడ్రన్ లీడర్ దిలోక్రిత్ పట్టావీగా గుర్తించారు.""}, {""sentence_id"": 8, ""text"": ""11:00 తరువాత, నిరసనకారులు వైట్‌హాల్‌‌‌లోని నార్త్‌బౌండ్ క్యారేజీపై ట్రాఫిక్‌ను అడ్డుకున్నారు.""}, {""sentence_id"": 9, ""text"": ""11:20 కి, పోలీసులు నిరసనకారులను పేవ్ మెంట్ పై తిరిగి కదలమని కోరారు, వారు ట్రాఫిక్ ను నిర్మించడానికి నిరసన తెలిపే హక్కును సమతుల్యం చేయాల్సిన అవసరం ఉందని పేర్కొన్నారు.""}]"
న ,'న ',804,"[{""sentence_id"": 1, ""text"": ""ఇది తక్కువ ఆదాయం ఉన్న దేశాల్లోని రోగులకు క్యాన్సర్, క్షయ, హెచ్ ఐవి మరియు మలేరియాలను ముందస్తుగా గుర్తించవచ్చని లీడ్ పరిశోధకులు చెబుతున్నారు, రొమ్ము క్యాన్సర్ వంటి అస్వస్థతల కొరకు మనుగడ రేట్లు సంపన్న దేశాల్లో నివసిస్తుంది.""}, {""sentence_id"": 6, ""text"": ""కాటలాన్-రాజధానికి వచ్చినప్పటి నుండి, విడాల్ క్లబ్ తరఫున 49 ఆటలు ఆడాడు.""}, {""sentence_id"": 7, ""text"": ""ప్రధాని అధికారిక నివాసమైన డౌనింగ్ స్ట్రీట్ కు పోలీసు కాపలా ఉన్న ప్రవేశ ద్వారానికి ఎదురుగా శ్వేత హాల్ లో 11:00 స్థానిక సమయం (UTC+1) ఈ నిరసన ప్రారంభమైంది.""}]"
ని ,'ని ',778,"[{""sentence_id"": 0, ""text"": ""సోమవారం, స్టాన్ఫోర్డ్ యూనివర్శిటీ స్కూల్ ఆఫ్ మెడిసిన్ శాస్త్రవేత్తలు కణాల రకాన్ని క్రమబద్ధీకరించగల కొత్త రోగనిర్ధారణ సాధనం యొక్క ఆవిష్కరణను ప్రకటించారు: ప్రామాణిక ఇంక్జెట్ ప్రింటర్లను ఉపయోగించి 1 యు.ఎస్.""}, {""sentence_id"": 1, ""text"": ""ఇది తక్కువ ఆదాయం ఉన్న దేశాల్లోని రోగులకు క్యాన్సర్, క్షయ, హెచ్ ఐవి మరియు మలేరియాలను ముందస్తుగా గుర్తించవచ్చని లీడ్ పరిశోధకులు చెబుతున్నారు, రొమ్ము క్యాన్సర్ వంటి అస్వస్థతల కొరకు మనుగడ రేట్లు సంపన్న దేశాల్లో నివసిస్తుంది.""}, {""sentence_id"": 2, ""text"": ""సుమారు ఉదయం 9:30 గంటలకు స్థానిక సమయం (0230 UTC) వద్ద JAS 39C గ్రిపెన్ రన్వే పైకి దూసుకెళ్లి పేలిపోయింది, వాణిజ్య విమానాలు రాకుండా విమానాశ్రయాన్ని మూసివేయడం జరిగింది.""}]"
ల,'ల',731,"[{""sentence_id"": 0, ""text"": ""సోమవారం, స్టాన్ఫోర్డ్ యూనివర్శిటీ స్కూల్ ఆఫ్ మెడిసిన్ శాస్త్రవేత్తలు కణాల రకాన్ని క్రమబద్ధీకరించగల కొత్త రోగనిర్ధారణ సాధనం యొక్క ఆవిష్కరణను ప్రకటించారు: ప్రామాణిక ఇంక్జెట్ ప్రింటర్లను ఉపయోగించి 1 యు.ఎస్.""}, {""sentence_id"": 1, ""text"": ""ఇది తక్కువ ఆదాయం ఉన్న దేశాల్లోని రోగులకు క్యాన్సర్, క్షయ, హెచ్ ఐవి మరియు మలేరియాలను ముందస్తుగా గుర్తించవచ్చని లీడ్ పరిశోధకులు చెబుతున్నారు, రొమ్ము క్యాన్సర్ వంటి అస్వస్థతల కొరకు మనుగడ రేట్లు సంపన్న దేశాల్లో నివసిస్తుంది.""}, {""sentence_id"": 11, ""text"": ""నాదల్ యొక్క హెడ్ టు హెడ్ టు హెడ్ రికార్డ్ కెనడియన్ వ్యతిరేకంగా 7–2.""}]"
త,'త',686,"[{""sentence_id"": 0, ""text"": ""సోమవారం, స్టాన్ఫోర్డ్ యూనివర్శిటీ స్కూల్ ఆఫ్ మెడిసిన్ శాస్త్రవేత్తలు కణాల రకాన్ని క్రమబద్ధీకరించగల కొత్త రోగనిర్ధారణ సాధనం యొక్క ఆవిష్కరణను ప్రకటించారు: ప్రామాణిక ఇంక్జెట్ ప్రింటర్లను ఉపయోగించి 1 యు.ఎస్.""}, {""sentence_id"": 1, ""text"": ""ఇది తక్కువ ఆదాయం ఉన్న దేశాల్లోని రోగులకు క్యాన్సర్, క్షయ, హెచ్ ఐవి మరియు మలేరియాలను ముందస్తుగా గుర్తించవచ్చని లీడ్ పరిశోధకులు చెబుతున్నారు, రొమ్ము క్యాన్సర్ వంటి అస్వస్థతల కొరకు మనుగడ రేట్లు సంపన్న దేశాల్లో నివసిస్తుంది.""}, {""sentence_id"": 3, ""text"": ""పైలట్‌ను స్క్వాడ్రన్ లీడర్ దిలోక్రిత్ పట్టావీగా గుర్తించారు.""}]"
కి ,'కి ',658,"[{""sentence_id"": 6, ""text"": ""కాటలాన్-రాజధానికి వచ్చినప్పటి నుండి, విడాల్ క్లబ్ తరఫున 49 ఆటలు ఆడాడు.""}, {""sentence_id"": 7, ""text"": ""ప్రధాని అధికారిక నివాసమైన డౌనింగ్ స్ట్రీట్ కు పోలీసు కాపలా ఉన్న ప్రవేశ ద్వారానికి ఎదురుగా శ్వేత హాల్ లో 11:00 స్థానిక సమయం (UTC+1) ఈ నిరసన ప్రారంభమైంది.""}, {""sentence_id"": 9, ""text"": ""11:20 కి, పోలీసులు నిరసనకారులను పేవ్ మెంట్ పై తిరిగి కదలమని కోరారు, వారు ట్రాఫిక్ ను నిర్మించడానికి నిరసన తెలిపే హక్కును సమతుల్యం చేయాల్సిన అవసరం ఉందని పేర్కొన్నారు.""}]"
