sentence_id,split,row_index,text,segments,segment_count
0,dev,0,"El lunes, los científicos de la facultad de medicina de la Universidad de Stanford anunciaron el invento de una nueva herramienta de diagnóstico que puede catalogar las células según su tipo: un pequeñísimo chip que se puede imprimir y fabricar con impresoras de inyección de uso corriente, por un posible costo de, aproximadamente, un centavo de dólar por cada uno.","[""E"",""l"","" "",""lun es, "",""los "",""ci en t"",""íficos "",""de "",""la "",""facult"",""ad "",""de "",""med"",""icina "",""de "",""la "",""Univer"",""sidad "",""de "",""St"",""anfor"",""d "",""anunciar"",""on "",""el "",""inv en t"",""o "",""de "",""una "",""nueva "",""her"",""rami en t"",""a "",""de "",""diag"",""n"",""óst"",""ico "",""que "",""pued"",""e "",""cat"",""alogar "",""las "",""células "",""segú"",""n "",""su "",""t"",""ipo: "",""un "",""pequeñ"",""ísim"",""o "",""c hi p "",""que "",""se "",""puede "",""impr"",""imir "",""y "",""fabricar "",""con "",""impr"",""es oras "",""de "",""inyección "",""de "",""uso "",""cor"",""ri en te, "",""por "",""un "",""posib"",""le "",""cost"",""o "",""de, "",""aproximadam"",""en te, "",""un "",""c en t"",""avo "",""de "",""dólar "",""por "",""cada "",""uno.""]",88
1,dev,1,"Los principales investigadores principales sostienen que esto puede permitir la detección precoz del cáncer, la tuberculosis, el VIH y la malaria en pacientes de países de bajos recursos, donde la tasa de supervivencia de enfermedades como el cáncer de mama puede ser la mitad de la de los países más avanzados.","[""L"",""os "",""princip"",""al es  "",""inv es t"",""igador"",""es  "",""princip"",""al es  "",""sost"",""i en en  "",""que "",""es t"",""o "",""pued"",""e "",""permit"",""ir "",""la "",""de te cción "",""precoz "",""del "",""cánc"",""er"","", "",""la "",""t"",""uberculosis, "",""el "",""VIH "",""y "",""la "",""mal"",""aria "",""en  "",""paci en te s "",""de "",""país es  "",""de "",""bajos "",""recur"",""sos, "",""don"",""de "",""la "",""t"",""asa "",""de "",""super"",""viv"",""en cia "",""de "",""en fermed"",""ad es  "",""como "",""el "",""cánc"",""er"","" "",""de "",""mama "",""pued"",""e "",""ser"","" "",""la "",""mit"",""ad "",""de "",""la "",""de "",""los "",""país es  "",""más "",""avanz"",""ados.""]",76
2,dev,2,"El JAS 39C Gripen impactó contra una pista cerca de las 9:30 de la mañana hora local (0230 UTC) y explotó, lo que causó el cierre del aeropuerto para vuelos comerciales.","[""E"",""l"","" "",""JAS "",""39C"","" "",""Grip en  "",""impact"",""ó "",""cont"",""ra "",""una "",""pist"",""a "",""cer"",""ca "",""de "",""las "",""9:3"",""0 "",""de "",""la "",""mañana "",""hor"",""a "",""local "",""(0230 "",""UTC) "",""y "",""explotó, "",""lo que "",""causó "",""el "",""cierre "",""del "",""aeropuert"",""o "",""para "",""vuelos "",""comer"",""cial"",""es.""]",42
3,dev,3,"Se identificó al piloto como Dilokrit Pattavee, líder de escuadrón.","[""S"",""e"","" "",""id en t"",""ificó "",""al "",""piloto "",""como "",""Dilokrit"","" "",""Pat"",""tavee, "",""líder"","" "",""de "",""es cuadr"",""ón.""]",17
4,dev,4,La prensa local informó que una patrulla de bomberos del aeropuerto volcó mientras prestaba servicio.,"[""L"",""a "",""pr en sa "",""local"","" "",""infor"",""mó "",""que "",""una "",""pat"",""ru ll"",""a "",""de "",""bomb"",""er"",""os "",""del "",""aeropuert"",""o "",""vol"",""có "",""mi en t"",""ras "",""pr es t"",""aba "",""ser"",""vicio.""]",27
5,dev,5,"Vidal, de 28 años de edad y procedente del Sevilla, se unió al Barça hace tres temporadas.","[""V"",""id"",""al, "",""de "",""28 "",""años "",""de "",""edad "",""y "",""proc"",""ed en te  "",""del "",""Sevill"",""a, "",""se "",""unió "",""al "",""Bar"",""ça "",""hace "",""t"",""r es  "",""te mporadas.""]",23
6,dev,6,"Desde su mudanza a la capital catalana, Vidal jugó 49 partidos para el club.","[""D"",""es d"",""e "",""su "",""mudanza "",""a "",""la "",""cap"",""it"",""al "",""cat"",""alana, "",""Vidal "",""jugó "",""49 "",""part"",""idos "",""para "",""el "",""club.""]",20
7,dev,7,"La manifestación inició cerca de las 11:00 hora local (UTC +1) en Whitehall, frente a la puerta de acceso a Downing Street, residencia oficial del primer ministro, la cual contaba con vigilancia policial.","[""L"",""a "",""man"",""if"",""es t"",""ación "",""inic"",""ió "",""cer"",""ca "",""de "",""las "",""11:0"",""0 "",""hor"",""a "",""local"","" "",""(U"",""T"",""C "",""+1) "",""en  "",""W hi te hall"","", "",""fr"",""en te  "",""a "",""la "",""puert"",""a "",""de "",""acc es o "",""a "",""Down"",""ing "",""St"",""reet"","", "",""r es id en cia "",""oficial"","" "",""del "",""primer"","" "",""min"",""ist"",""ro, "",""la "",""cual "",""cont"",""aba "",""con "",""vigil"",""an"",""cia "",""pol"",""icial"","".""]",59
8,dev,8,"Apenas pasadas las 11:00 h, los integrantes de la manifestación bloquearon la circulación del carril de Whitehall que va hacia el norte.","[""Ap"",""en as "",""pasadas "",""las "",""11:0"",""0 "",""h, "",""los "",""in te gr"",""an te s "",""de "",""la "",""man"",""if"",""es t"",""ación "",""bloqu"",""ear"",""on "",""la "",""circu"",""l"",""ación "",""del "",""car"",""ril "",""de "",""W hi te hall"","" "",""que "",""va "",""hacia "",""el "",""nor"",""te.""]",35
9,dev,9,"A las 11:20, la policía solicitó a los manifestantes que retrocedieran a la acera, señalando que era necesario equilibrar el derecho a manifestarse con la acumulación de tránsito.","[""A "",""las "",""11:2"",""0, "",""la "",""policía "",""sol"",""icitó "",""a "",""los "",""man"",""if"",""es t"",""an te s "",""que "",""ret"",""rocedieran "",""a "",""la "",""acer"",""a, "",""señal"",""ando "",""que "",""era "",""nec es ar"",""io "",""equilib"",""r"",""ar "",""el "",""der"",""ech"",""o "",""a "",""man"",""if"",""es t"",""arse "",""con "",""la "",""acumulación "",""de "",""t"",""ránsit"",""o.""]",46
10,dev,10,"Cerca de las 11:29, la manifestación se abrió paso por Whitehall, siguió por Trafalgar Square, extendiéndose por Strand, pasando por Aldwych y subió por Kingsway hacia Holborn, lugar en el que se desarrollaba el Foro de Primavera en el hotel Grand Connaught Rooms, por parte del Partido Conservador.","[""C"",""er"",""ca "",""de "",""las "",""11:2"",""9, "",""la "",""man"",""if"",""es t"",""ación "",""se "",""abrió "",""paso "",""por "",""W hi te hall"","", "",""siguió "",""por "",""T"",""rafalgar "",""Square, "",""ex te ndiéndose"","" "",""por "",""St"",""rand, "",""pasando "",""por "",""Aldw"",""ych "",""y "",""sub"",""ió "",""por "",""Kin"",""gsway "",""hacia "",""Hol"",""bor"",""n, "",""lugar "",""en  "",""el "",""que "",""se "",""d es arroll"",""ab"",""a "",""el "",""For"",""o "",""de "",""Primaver"",""a "",""en  "",""el "",""ho te l "",""Gran"",""d"","" "",""Conn"",""aug"",""h"",""t"","" "",""Rooms, "",""por "",""par te  "",""del "",""Part"",""ido "",""Conser"",""vador.""]",75
11,dev,11,El récord mano a mano de Nadal contra el canadiense fue de 7-2.,"[""E"",""l"","" "",""récor"",""d "",""man"",""o "",""a "",""man"",""o "",""de "",""Nadal "",""cont"",""ra "",""el "",""canadi en se "",""fue "",""de "",""7-"",""2.""]",20
12,dev,12,"Fue derrotado, hace poco, por Raonic en el Brisbane Open.","[""F"",""ue "",""der"",""rotado, "",""hace "",""poco, "",""por "",""Raonic "",""en  "",""el "",""Brisb"",""ane "",""Op en.""]",13
13,dev,13,"En el partido, Nadal acumuló un 88% de puntos netos y ganó 76 en el primer servicio.","[""E"",""n"","" "",""el "",""part"",""ido, "",""Nadal"","" "",""acumuló "",""un "",""88% "",""de "",""punt"",""os "",""net"",""os "",""y "",""ganó "",""76 "",""en  "",""el "",""primer"","" "",""ser"",""vicio.""]",25
14,dev,14,"Después del partido, el Rey del Polvo declaró: «Estoy emocionado de estar otra vez en las rondas finales de los torneos más importantes. He venido aquí para tratar de ganar».","[""D"",""es pué"",""s "",""del "",""part"",""ido, "",""el "",""Rey "",""del "",""Pol"",""vo "",""dec"",""laró: "","""","""",""Est"",""oy "",""emocion"",""ado "",""de "",""es t"",""ar "",""ot"",""ra "",""vez "",""en  "",""las "",""rondas "",""fin"",""al es  "",""de "",""los "",""t"",""orneos "",""más "",""import"",""an te s. "",""He "",""v en ido "",""aquí "",""para "",""t"",""ratar "",""de "",""ganar».""]",45
15,dev,15,La expresión genérica «Papeles de Panamá» se refiere a los casi diez millones de documentos del despacho de abogados panameño Mossack Fonseca que se filtraron en los medios en la primavera de 2016.,"[""L"",""a "",""expr"",""es ión "",""g en ér"",""ica "","""","""",""Papel"",""es  "",""de "",""Panamá"","" "",""se "",""refiere "",""a "",""los "",""casi "",""diez "",""mil"",""lon es  "",""de "",""docum en t"",""os "",""del "",""d es pacho "",""de "",""abogados "",""panameñ"",""o "",""Mossack "",""Fonseca "",""que "",""se "",""filt"",""raron "",""en  "",""los "",""med"",""ios "",""en  "",""la "",""primaver"",""a "",""de "",""2016.""]",46
16,dev,16,La documentación reveló que catorce entidades bancarias ayudaron a clientes acaudalados a ocultar riquezas que ascendían a miles de millones de dólares estadounidenses con el fin de evadir obligaciones impositivas y otras regulaciones.,"[""L"",""a "",""docum en t"",""ación "",""rev"",""el"",""ó "",""que "",""cat"",""orce "",""en t"",""idad es  "",""bancarias "",""ayud"",""aron "",""a "",""cli en te s "",""acaudal"",""ados "",""a "",""ocult"",""ar "",""riquez"",""as "",""que "",""asc"",""en dían "",""a "",""mil"",""es  "",""de "",""mil"",""lon es  "",""de "",""dólar es  "",""es t"",""adounid en s"",""es  "",""con "",""el "",""fin"","" "",""de "",""evadir "",""obligacion"",""es  "",""imposit"",""ivas "",""y "",""ot"",""ras "",""regul"",""acion"",""es.""]",54
17,dev,17,El periódico británico The Guardian señaló que Deutsche Bank tenía el control de cerca de la tercera parte de las 1200 compañías fantasma que se usaron para llevar esto a cabo.,"[""E"",""l"","" "",""periód"",""ico "",""brit"",""ánic"",""o "",""T"",""he "",""Guard"",""ian"","" "",""señal"",""ó "",""que "",""Deut"",""sche "",""Bank "",""te nía "",""el "",""cont"",""rol "",""de "",""cer"",""ca "",""de "",""la "",""te rcer"",""a "",""par te  "",""de "",""las "",""1200 "",""comp"",""añ"",""ías "",""fant"",""asm"",""a "",""que "",""se "",""usaron "",""para "",""llevar "",""es t"",""o "",""a "",""cabo.""]",49
18,dev,18,"Se llevaron a cabo manifestaciones a nivel mundial, se condujeron numerosos juicios criminales, y los jefes de estado tanto de Islandia como de Pakistán renunciaron.","[""S"",""e"","" "",""llevaron "",""a "",""cabo "",""man"",""if"",""es t"",""acion"",""es  "",""a "",""nivel"","" "",""mundial, "",""se "",""condujeron "",""numer"",""osos "",""juic"",""ios "",""crimin"",""al es, "",""y "",""los "",""jef es  "",""de "",""es t"",""ado "",""t"",""anto "",""de "",""Isl"",""andia "",""como "",""de "",""Pakist"",""án "",""r en unciar"",""on.""]",40
19,dev,19,"Ma, oriunda de Hong Kong, se formó en la Universidad de Nueva York y en la Escuela de Leyes de Harvard y alguna vez contó con una «tarjeta verde» de residente permanente en los Estados Unidos.","[""M"",""a, "",""or"",""iunda "",""de "",""Hon"",""g "",""Kong, "",""se "",""for"",""mó "",""en  "",""la "",""Univer"",""sidad "",""de "",""Nueva "",""Yor"",""k "",""y "",""en  "",""la "",""Esc"",""uela "",""de "",""Ley es  "",""de "",""Har"",""vard "",""y "",""algun"",""a "",""vez "",""cont"",""ó "",""con "",""una "","""","""",""t"",""arjeta "",""ver"",""de» "",""de "",""r es id en te  "",""perman"",""en te  "",""en  "",""los "",""Est"",""ados "",""Unidos.""]",52
20,dev,20,"Durante las elecciones, Hsieh insinuó que Ma podría escapar del país en tiempos de crisis.","[""D"",""ur"",""an te  "",""las "",""eleccion"",""es, "",""Hsieh "",""insin"",""uó "",""que "",""Ma "",""podría "",""es capar "",""del "",""país "",""en  "",""t"",""iempos "",""de "",""crisis.""]",20
21,dev,21,Hsieh también manifestó que el agraciado Ma era más apariencia que contenido.,"[""H"",""sieh "",""t"",""ambién "",""man"",""if"",""es t"",""ó "",""que "",""el "",""agr"",""aciad"",""o "",""Ma "",""era "",""más "",""apar"",""i en c"",""ia "",""que "",""con te"",""nido.""]",22
22,dev,22,"Ma logró una cómoda victoria, pese a estas acusaciones, en una plataforma partidaria de establecer relaciones más estrechas con la China continental.","[""M"",""a "",""logró "",""una "",""cóm"",""oda "",""victoria, "",""p es e "",""a "",""es t"",""as "",""acusacion"",""es, "",""en  "",""una "",""plat"",""afor"",""ma "",""part"",""idaria "",""de "",""es t"",""ablecer"","" "",""rel"",""acion"",""es  "",""más "",""es t"",""rechas "",""con "",""la "",""C hi na "",""cont"",""in en t"",""al.""]",36
23,dev,23,"Alex Ovechkin, de Washington Capitals, es el deportista estrella del día de la fecha.","[""Al"",""ex"","" "",""Ovechkin, "",""de "",""Was hi ngt"",""on "",""Cap"",""it"",""als, "",""es  el "",""deport"",""ist"",""a "",""es t"",""rella "",""del "",""día "",""de "",""la "",""fecha.""]",21
