text,count,langs,bpe_unique_signatures,fxt_unique_signatures,most_common_bpe,most_common_fxt,fxt_seed_signature_count
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",1,{'en': 1},1,1,"On|ĠMonday|,|Ġscientists|Ġfrom|Ġthe|ĠStan|ford|ĠUniversity|ĠSchool|Ġof|ĠMedicine|Ġannounced|Ġthe|Ġinvention|Ġof|Ġa|Ġnew|Ġdiagnost|ic|Ġtool|Ġthat|Ġcan|Ġsort|Ġcells|Ġby|Ġtype|:|Ġa|Ġtiny|Ġprint|able|Ġchip|Ġthat|Ġcan|Ġbe|Ġmanufact|ured|Ġusing|Ġstandard|Ġin|k|jet|Ġprint|ers|Ġfor|Ġpossibly|Ġabout|Ġone|ĠU|.S|.|Ġcent|Ġeach|.",<ERROR>,1
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",1,{'en': 1},1,1,"L|ead|Ġresearchers|Ġsay|Ġthis|Ġmay|Ġbring|Ġearly|Ġdete|ction|Ġof|Ġcancer|,|Ġtub|er|culos|is|,|ĠHIV|Ġand|Ġmal|aria|Ġto|Ġpatients|Ġin|Ġlow|-in|come|Ġcountries|,|Ġwhere|Ġthe|Ġsurvival|Ġrates|Ġfor|Ġillness|es|Ġsuch|Ġas|Ġbreast|Ġcancer|Ġcan|Ġbe|Ġhalf|Ġthose|Ġof|Ġrich|er|Ġcountries|.",<ERROR>,1
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",1,{'en': 1},1,1,"The|ĠJ|AS|Ġ|39|C|ĠGr|ip|en|Ġcrash|ed|Ġonto|Ġa|Ġrun|way|Ġat|Ġaround|Ġ|9|:|30|Ġam|Ġlocal|Ġtime|Ġ(|0|23|0|ĠU|TC|)|Ġand|Ġexpl|od|ed|,|Ġclosing|Ġthe|Ġairport|Ġto|Ġcommercial|Ġfl|ights|.",<ERROR>,1
The pilot was identified as Squadron Leader Dilokrit Pattavee.,1,{'en': 1},1,1,The|Ġpilot|Ġwas|Ġidentified|Ġas|ĠSqu|ad|ron|ĠLe|ader|ĠD|il|ok|rit|ĠPat|ta|ve|e|.,<ERROR>,1
Local media reports an airport fire vehicle rolled over while responding.,1,{'en': 1},1,1,L|ocal|Ġmedia|Ġreports|Ġan|Ġairport|Ġfire|Ġvehicle|Ġroll|ed|Ġover|Ġwhile|Ġrespon|ding|.,<ERROR>,1
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",1,{'en': 1},1,1,"28|-year|-old|ĠV|idal|Ġhad|Ġjoined|ĠBar|Ã§a|Ġthree|Ġseasons|Ġago|,|Ġfrom|ĠSevilla|.",<ERROR>,1
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",1,{'en': 1},1,1,"Since|Ġmoving|Ġto|Ġthe|ĠCatal|an|-c|ap|ital|,|ĠV|idal|Ġhad|Ġplayed|Ġ|49|Ġgames|Ġfor|Ġthe|Ġclub|.",<ERROR>,1
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",1,{'en': 1},1,1,"The|Ġprotest|Ġstarted|Ġaround|Ġ|11|:|00|Ġlocal|Ġtime|Ġ(|UT|C|+|1|)|Ġon|ĠWhite|h|all|Ġopposite|Ġthe|Ġpolice|-|guard|ed|Ġentrance|Ġto|ĠDown|ing|ĠStreet|,|Ġthe|ĠPrime|ĠMinister|'s|Ġofficial|Ġresid|ence|.",<ERROR>,1
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",1,{'en': 1},1,1,"Just|Ġafter|Ġ|11|:|00|,|Ġprotest|ers|Ġblock|ed|Ġtraffic|Ġon|Ġthe|Ġnorth|bound|Ġcar|riage|Ġin|ĠWhite|h|all|.",<ERROR>,1
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",1,{'en': 1},1,1,"At|Ġ|11|:|20|,|Ġthe|Ġpolice|Ġasked|Ġthe|Ġprotest|ers|Ġto|Ġmove|Ġback|Ġon|Ġto|Ġthe|Ġpav|ement|,|Ġst|ating|Ġthat|Ġthey|Ġneeded|Ġto|Ġbalance|Ġthe|Ġright|Ġto|Ġprotest|Ġwith|Ġthe|Ġtraffic|Ġbuilding|Ġup|.",<ERROR>,1
