sentence_id,split,row_index,text,segments,segment_count
0,dev,0,"В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.","[""В"","" "",""пон"",""едельн"",""ик "",""учен"",""ые "",""из "",""Медицин"",""ск"",""ой "",""шк"",""олы "",""Стэн"",""фордск"",""ого "",""ун"",""ивер"",""итета "",""объявили "",""об изоб"",""ретен"",""ии "",""нов"",""ого "",""диаг"",""н"",""остическ"",""ого "",""ин"",""струмен"",""та, "",""кото"",""ый "",""може"","" "",""со"",""тиров"",""ать "",""клетки "",""по "",""их "",""типу; "",""это "",""мал"",""н"",""ький "",""чип, "",""кото"",""ый "",""можн"",""о "",""нап"",""ечатать, "",""использ"",""я "",""стан"",""дартн"",""ый "",""стр"",""йн"",""ый "",""при"","""",""тер "",""при"",""ерн"",""о "",""за "",""1 "",""цен"",""т "",""США.""]",73
1,dev,1,"Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.","[""В"",""ед"",""щ"",""ие "",""исследов"",""ател"","" "",""утвержд"",""ают, "",""что "",""он"","" "",""може"","" "",""пом"",""очь "",""в "",""ран"",""нем "",""выявлен"",""ии "",""рак"",""а, "",""туб"",""ер"",""улеза, "",""ВИЧ "",""и мал"",""рии "",""у "",""пациен"",""тов"","" "",""в "",""стр"",""н"",""ах "",""с "",""низк"",""им "",""уров"",""н"",""ем "",""до"",""ода, "",""где "",""пок"",""азател"","" "",""выживаем"",""о"",""ти "",""при "",""так"",""их "",""болезн"",""ях, "",""как"","" "",""рак"","" "",""моло"",""н"",""ой "",""желез"","""","", "",""могут "",""быть "",""в "",""два "",""раза "",""ниже, "",""чем"","" "",""в "",""более "",""бога"",""ых "",""стр"",""н"",""ах.""]",82
2,dev,2,Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.,"[""П"",""ри"",""лизител"",""н"",""о "",""в "",""9:30 "",""по "",""местн"",""ому "",""врем"",""ен"",""и "",""(02:30 "",""UTC) "",""JAS "",""39C "",""Grip en  "",""упал "",""на "",""взлетн"",""о-"",""по"",""адочн"",""ую "",""пол"",""су "",""и взо"",""вался. "",""Аэроп"",""о"",""т "",""при"",""ло"",""ь "",""зак"",""рыть "",""для "",""ком"",""мер"",""еск"",""их "",""рейсов"","".""]",44
3,dev,3,Личность пилота была установлена. Им оказался командир эскадрильи Дилокрит Паттави.,"[""Л"",""и"",""н"",""ость "",""пил"","""",""а "",""была "",""устан"",""ов"",""лен"",""а. "",""Им "",""ок"",""азался "",""ком"",""ан"",""дир "",""эск"",""адрильи "",""Дилок"",""рит "",""Паттав"",""и.""]",24
4,dev,4,"Местные СМИ сообщают, что в аэропорту по пути на вызов перевернулась пожарная машина.","[""М"",""естн"",""ые "",""СМИ "",""сообщ"",""ают, "",""что "",""в "",""аэроп"",""о"",""ту "",""по "",""пути "",""на "",""вызов"","" "",""пер"",""в"",""ерн"",""ула"",""ь "",""пож"",""рн"",""ая "",""машин"",""а.""]",26
5,dev,5,"28-летний Алеш Видаль перешел в ""Барсу"" из ""Севильи"" три сезона назад.","[""28-"",""летн"",""ий "",""Алеш "",""Вид"",""ль "",""пер"",""шел "",""в "",""\""Барсу\"" "",""из "",""\""Сев"",""ильи\"" "",""три "",""сезон"",""а "",""назад.""]",17
6,dev,6,После переезда в столицу Каталонии  Видаль провел за клуб 49 матчей.,"[""П"",""о"",""ле "",""пер"",""езд"","" "",""в "",""стол"",""ицу "",""Катал"",""н"",""ии "","" "",""Вид"",""ль "",""пров"",""ел "",""за "",""клуб "",""49 "",""матчей.""]",21
7,dev,7,"Протест начался около 11:00 по местному времени (UTC+1) на улице Уайтхолл напротив охраняемого полицией въезда на Даунинг-стрит, официальную резиденцию премьер-министра.","[""П"",""ро"",""ест "",""начался "",""ок"",""оло "",""11:00 "",""по "",""местн"",""ому "",""врем"",""ен"",""и "",""(UTC+1) "",""на "",""улице "",""Уайтхол"",""л "",""нап"",""ро"",""ив "",""охран"",""яем"",""ого "",""пол"",""цией "",""въезда "",""на "",""Даун"",""ин"",""г-"",""стрит, "",""официальн"",""ую "",""резиден"",""цию "",""прем"",""ьер-"",""мин"",""истра.""]",40
8,dev,8,Сразу после 11:00 протестующие перекрыли движение в северном направлении по Уайтхоллу.,"[""С"",""аз"","" "",""по"",""ле "",""11:00 "",""про"",""ест"",""ющ"",""ие "",""пер"",""к"",""рыли "",""движен"",""ие "",""в "",""сев"",""ерн"",""ом "",""нап"",""рав"",""лен"",""ии "",""по "",""Уайтхол"",""л"","".""]",27
9,dev,9,"В 11:20 полиция попросила митингующих вернуться на тротуар, заявив, что им необходимо соблюдать баланс между правом протестовать и задержкой дорожного движения.","[""В"","" "",""11:20 "",""пол"",""ция "",""поп"",""ро"",""ила "",""митин"",""гующ"",""их "",""вер"","""",""уться "",""на "",""тро"",""уар, "",""за"",""вив, "",""что "",""им "",""необходим"",""о "",""соб"",""людать "",""балан"",""с "",""межд"","" "",""прав"",""ом "",""про"",""естов"",""ать "",""и зад"",""ржк"",""ой "",""до"",""ожн"",""ого "",""движен"",""ия.""]",42
