sentence_id,split,row_index,text,segments,segment_count
0,dev,0,"У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.","[""У "",""пон"",""еділок"","", "",""науков"",""ці "",""зі "",""Шк"",""оли "",""мед"",""цин"",""и "",""Стен"",""фордськ"",""ого "",""ун"",""івер"",""итету "",""оголо"",""или "",""про "",""вин"",""айден"",""ня "",""нов"",""ого "",""діаг"",""н"",""остичн"",""ого "",""ін"",""струмен"",""ту, "",""що "",""може "",""со"",""тува"",""и "",""клі"",""ин"",""и "",""за "",""їх "",""вид"",""ми: "",""це "",""мал"","""",""ен"",""ький "",""друк"",""ов"",""ан"",""ий "",""чіп, "",""як"",""ий "",""можн"",""а "",""виго"",""ов"",""ити "",""за "",""доп"",""ом"",""ого"","" "",""стан"",""дартн"",""их "",""пром"",""ен"",""ев"",""их "",""при"","""",""тер"",""в "",""дес"",""ь "",""по "",""одн"",""ому "",""цен"",""ту "",""США "",""за "",""штук"",""у.""]",89
1,dev,1,"Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.","[""П"",""ров"",""ідн"",""і "",""до"",""лідн"",""ики "",""каж"",""ть, "",""що "",""це "",""може "",""спри"",""ти "",""ран"",""ньому "",""виявлен"",""ню "",""рак"",""у, "",""туб"",""ер"",""ульоз"","""","", "",""ВІЛ "",""і "",""мал"",""рії "",""у "",""пацієн"",""тів "",""з "",""кра"",""н"","" "",""з "",""низ"",""к"",""им "",""рівн"",""ем "",""до"",""оду, "",""де "",""пок"",""азн"",""ики "",""виживан"",""ня "",""людей "",""з "",""так"",""ими "",""за"",""ворюван"",""нями, "",""як"","" "",""рак"","" "",""гр"",""дей, "",""можуть "",""бути "",""вдвічі "",""нижчі, "",""ніж "",""у "",""зам"",""ожн"",""іших "",""кра"",""н"",""ах.""]",75
2,dev,2,"Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.","[""В"",""ин"",""ищува"","" "",""JAS "",""39C "",""Grip en  "",""обр"",""шився "",""на "",""зл"","""",""н"",""о-"",""по"",""адков"",""у "",""смуг"",""у "",""близ"",""к"",""о "",""9:30 "",""ран"",""ку "",""за "",""міс"",""ев"",""им "",""часом"","" "",""(02:3"",""0 "",""UTC) "",""та "",""виб"",""хн"",""ув, "",""вн"",""аслідок"","" "",""чого "",""аер"",""п"",""о"",""т "",""зак"",""рив "",""небо "",""для "",""ком"",""ер"",""ійн"",""их "",""рейсів.""]",55
3,dev,3,Пілота пізніше опізнали як майора авіації Ділокріта Паттаві.,"[""П"",""іло"",""а "",""пізн"",""іше "",""опізн"",""али "",""як"","" "",""майо"",""а "",""авіа"",""ії "",""Ділок"",""ріта "",""Паттав"",""і.""]",17
4,dev,4,"Місцеві ЗМІ повідомляють, що пожежна машина аеропорту перекинулася під час виклику.","[""М"",""іс"",""ев"",""і "",""ЗМІ "",""пов"",""ідом"",""ляють, "",""що "",""пож"",""жн"",""а "",""машин"",""а "",""аер"",""п"",""о"",""ту "",""пер"",""к"",""ин"",""ула"",""я "",""під "",""час "",""вик"",""лик"",""у.""]",28
5,dev,5,28-річний Відаль прийшов у Барселону три сезону тому із Севільї.,"[""28-"",""річн"",""ий "",""Від"",""ль "",""при"",""ш"",""ов"","" "",""у "",""Барселон"",""у "",""три "",""сезон"",""у "",""тому "",""із "",""Сев"",""ільї.""]",19
6,dev,6,Після переїзду до каталонської столиці Відаль зіграв за клуб 49 матчів.,"[""П"",""і"",""ля "",""пер"",""їзд"","" "",""до "",""катал"",""н"",""ськ"",""ої "",""стол"",""иці "",""Від"",""ль "",""зіг"",""ав"","" "",""за "",""клуб "",""49 "",""матчів.""]",22
7,dev,7,"Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.","[""П"",""ро"",""ест"",""ван"",""ня "",""по"",""ало"",""я "",""близ"",""к"",""о "",""11:00 "",""за "",""міс"",""ев"",""им "",""часом"","" "",""(все"","""",""ві"",""н"",""ій "",""коо"",""дин"",""ов"",""ан"",""ий "",""час "",""+ 1) "",""в "",""Уайтхол"","""","", "",""біля "",""входу "",""на "",""Даун"",""ін"",""г-"",""стр"",""т, "",""офіційн"",""ої "",""резиден"",""ції "",""прем"",""'"",""єр-"",""мін"",""істра, "",""що "",""охо"",""он"",""яється "",""пол"",""ціє"","".""]",58
8,dev,8,Відразу після 11:00 протестувальники заблокували рух у північному напрямку вулиці Вайтголл.,"[""В"",""ід"",""аз"","" "",""пі"",""ля "",""11:00 "",""про"",""естувал"",""н"",""ики "",""заб"",""лок"",""ували "",""рух "",""у "",""півн"",""ічн"",""ому "",""нап"",""рям"",""ку "",""вули"",""і "",""Вай"",""гол"",""л.""]",27
9,dev,9,"Об 11:20 поліція попросила протестувальників відступити на тротуар, заявивши, що їм потрібно врівноважити право на протест і пожвавлення дорожнього руху.","[""Об"","" 11:20 "",""пол"",""ція "",""поп"",""ро"",""ила "",""про"",""естувал"",""н"",""иків "",""від"",""тупити "",""на "",""тро"",""уар, "",""за"",""вив"","""",""и, "",""що "",""їм "",""по"",""рібн"",""о "",""вр"",""вн"",""ов"",""ажити "",""прав"",""о "",""на "",""про"",""ест "",""і "",""пож"",""ав"",""лен"",""ня "",""до"",""ожн"",""ього "",""руху.""]",43
