text,count,langs,bpe_unique_signatures,fxt_unique_signatures,most_common_bpe,most_common_fxt,fxt_seed_signature_count
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",1,{'en': 1},1,1,"On|ĠMonday|,|Ġscientists|Ġfrom|Ġthe|ĠStan|ford|ĠUniversity|ĠSchool|Ġof|ĠMedicine|Ġannounced|Ġthe|Ġinvention|Ġof|Ġa|Ġnew|Ġdiagnost|ic|Ġtool|Ġthat|Ġcan|Ġsort|Ġcells|Ġby|Ġtype|:|Ġa|Ġtiny|Ġprint|able|Ġchip|Ġthat|Ġcan|Ġbe|Ġmanufact|ured|Ġusing|Ġstandard|Ġin|k|jet|Ġprint|ers|Ġfor|Ġpossibly|Ġabout|Ġone|ĠU|.S|.|Ġcent|Ġeach|.",<ERROR>,1
Fears of lack of transportation raised the possibility that the game would be forced to play behind closed doors without the team's supporters.,1,{'en': 1},1,1,F|ears|Ġof|Ġlack|Ġof|Ġtransportation|Ġraised|Ġthe|Ġpossibility|Ġthat|Ġthe|Ġgame|Ġwould|Ġbe|Ġforced|Ġto|Ġplay|Ġbehind|Ġclosed|Ġdoors|Ġwithout|Ġthe|Ġteam|'s|Ġsupporters|.,<ERROR>,1
Remains of sewage systems have been found in the houses of the Minoan cities of Crete and Santorini in Greece.,1,{'en': 1},1,1,Rem|ains|Ġof|Ġse|w|age|Ġsystems|Ġhave|Ġbeen|Ġfound|Ġin|Ġthe|Ġhouses|Ġof|Ġthe|ĠM|ino|an|Ġcities|Ġof|ĠCre|te|Ġand|ĠSant|or|ini|Ġin|ĠGree|ce|.,<ERROR>,1
"The cities of Harappa and Mohenjo-daro had a flush toilet in almost every house, attached to a sophisticated sewage system.",1,{'en': 1},1,1,"The|Ġcities|Ġof|ĠHar|ap|pa|Ġand|ĠMoh|en|jo|-d|aro|Ġhad|Ġa|Ġfl|ush|Ġto|ile|t|Ġin|Ġalmost|Ġevery|Ġhouse|,|Ġattached|Ġto|Ġa|Ġsoph|istic|ated|Ġse|w|age|Ġsystem|.",<ERROR>,1
"The moisture on your hands will react with the outer layers, which will feel funny and form a sort of shell.",1,{'en': 1},1,1,"The|Ġmoist|ure|Ġon|Ġyour|Ġhands|Ġwill|Ġreact|Ġwith|Ġthe|Ġout|er|Ġla|yers|,|Ġwhich|Ġwill|Ġfeel|Ġfunny|Ġand|Ġform|Ġa|Ġsort|Ġof|Ġsh|ell|.",<ERROR>,1
"Swirl the two dry powders together and then, with clean wet hands, squeeze them into a ball.",1,{'en': 1},1,1,"S|w|irl|Ġthe|Ġtwo|Ġdry|Ġpow|ders|Ġtogether|Ġand|Ġthen|,|Ġwith|Ġclean|Ġwet|Ġhands|,|Ġsque|ez|e|Ġthem|Ġinto|Ġa|Ġball|.",<ERROR>,1
Hydrogen ions are protons that had their electrons stripped off them (since Hydrogen atoms consist of one proton and one electron).,1,{'en': 1},1,1,H|yd|rogen|Ġ|ions|Ġare|Ġpro|ton|s|Ġthat|Ġhad|Ġtheir|Ġelect|ron|s|Ġstr|ipped|Ġoff|Ġthem|Ġ(|s|ince|ĠH|yd|rogen|Ġat|oms|Ġconsist|Ġof|Ġone|Ġpro|ton|Ġand|Ġone|Ġelect|ron|).,<ERROR>,1
The pH level is indicated by the amount of Hydrogen (the H in pH) ions in the tested chemical.,1,{'en': 1},1,1,The|Ġp|H|Ġlevel|Ġis|Ġindicated|Ġby|Ġthe|Ġamount|Ġof|ĠH|yd|rogen|Ġ(|the|ĠH|Ġin|Ġp|H|)|Ġ|ions|Ġin|Ġthe|Ġtested|Ġchemical|.,<ERROR>,1
The cabbage juice changes color depending on how acidic or basic (alkaline) the chemical is.,1,{'en': 1},1,1,The|Ġcab|b|age|Ġjuice|Ġchanges|Ġcolor|Ġdepending|Ġon|Ġhow|Ġacid|ic|Ġor|Ġbasic|Ġ(|alk|al|ine|)|Ġthe|Ġchemical|Ġis|.,<ERROR>,1
This is called a chemical's pH. You can make an indicator using red cabbage juice.,1,{'en': 1},1,1,This|Ġis|Ġcalled|Ġa|Ġchemical|'s|Ġp|H|.|ĠYou|Ġcan|Ġmake|Ġan|Ġindic|ator|Ġusing|Ġred|Ġcab|b|age|Ġjuice|.,<ERROR>,1
