text,count,langs,bpe_unique_signatures,fxt_unique_signatures,most_common_bpe,most_common_fxt,fxt_seed_signature_count
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",1,{'en': 1},1,1,"On|ĠMonday|,|Ġscientists|Ġfrom|Ġthe|ĠStan|ford|ĠUniversity|ĠSchool|Ġof|ĠMedicine|Ġannounced|Ġthe|Ġinvention|Ġof|Ġa|Ġnew|Ġdiagnost|ic|Ġtool|Ġthat|Ġcan|Ġsort|Ġcells|Ġby|Ġtype|:|Ġa|Ġtiny|Ġprint|able|Ġchip|Ġthat|Ġcan|Ġbe|Ġmanufact|ured|Ġusing|Ġstandard|Ġin|k|jet|Ġprint|ers|Ġfor|Ġpossibly|Ġabout|Ġone|ĠU|.S|.|Ġcent|Ġeach|.",<ERROR>,1
Fish often die because of the high concentrations of the toxin in the waters.,1,{'en': 1},1,1,F|ish|Ġoften|Ġdie|Ġbecause|Ġof|Ġthe|Ġhigh|Ġconcentr|ations|Ġof|Ġthe|Ġtox|in|Ġin|Ġthe|Ġwaters|.,<ERROR>,1
Many of their writers have gone on to wield great influence on Jon Stewart and Stephen Colbert's news parody shows.,1,{'en': 1},1,1,Many|Ġof|Ġtheir|Ġwriters|Ġhave|Ġgone|Ġon|Ġto|Ġw|ield|Ġgreat|Ġinfluence|Ġon|ĠJon|ĠStewart|Ġand|ĠStephen|ĠCol|bert|'s|Ġnews|Ġpar|ody|Ġshows|.,<ERROR>,1
The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis.,1,{'en': 1},1,1,The|Ġart|istic|Ġevent|Ġis|Ġalso|Ġpart|Ġof|Ġa|Ġcampaign|Ġby|Ġthe|ĠB|uch|ar|est|ĠCity|ĠHall|Ġthat|Ġsee|ks|Ġto|Ġrela|unch|Ġthe|Ġimage|Ġof|Ġthe|ĠRoman|ian|Ġcapital|Ġas|Ġa|Ġcreative|Ġand|Ġcolour|ful|Ġmet|ropol|is|.,<ERROR>,1
"The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year.",1,{'en': 1},1,1,"The|Ġcity|Ġwill|Ġbe|Ġthe|Ġfirst|Ġin|Ġsout|he|as|tern|ĠEurope|Ġto|Ġhost|ĠCow|Par|ade|,|Ġthe|Ġworld|'s|Ġlargest|Ġpublic|Ġart|Ġevent|,|Ġbetween|ĠJune|Ġand|ĠAugust|Ġthis|Ġyear|.",<ERROR>,1
Today's announcement also extended the government's commitment made in March of this year to fund extra carriages.,1,{'en': 1},1,1,Today|'s|Ġannouncement|Ġalso|Ġextended|Ġthe|Ġgovernment|'s|Ġcommitment|Ġmade|Ġin|ĠMarch|Ġof|Ġthis|Ġyear|Ġto|Ġfund|Ġextra|Ġcar|ri|ages|.,<ERROR>,1
"An additional 300 brings the total to 1,300 carriages to be acquired to relieve overcrowding.",1,{'en': 1},1,1,"An|Ġadditional|Ġ|300|Ġbrings|Ġthe|Ġtotal|Ġto|Ġ|1|,|300|Ġcar|ri|ages|Ġto|Ġbe|Ġacquired|Ġto|Ġrel|ieve|Ġover|c|row|ding|.",<ERROR>,1
"Christopher Garcia, a spokesperson of the Los Angeles Police Department, said the suspected male offender is being investigated for trespassing rather than vandalism.",1,{'en': 1},1,1,"Christ|opher|ĠGar|cia|,|Ġa|Ġspokes|person|Ġof|Ġthe|ĠLos|ĠAngeles|ĠPolice|ĠDepartment|,|Ġsaid|Ġthe|Ġsuspect|ed|Ġmale|Ġoff|ender|Ġis|Ġbeing|Ġinvestig|ated|Ġfor|Ġtres|pass|ing|Ġrather|Ġthan|Ġv|andal|ism|.",<ERROR>,1
"The sign was not physically damaged; the modification was done using black tarpaulins decorated with signs of peace and heart to alter the ""O"" to read lowercase ""e"".",1,{'en': 1},1,1,"The|Ġsign|Ġwas|Ġnot|Ġphys|ically|Ġdam|aged|;|Ġthe|Ġmod|ification|Ġwas|Ġdone|Ġusing|Ġblack|Ġtar|pa|ul|ins|Ġdecor|ated|Ġwith|Ġsigns|Ġof|Ġpeace|Ġand|Ġheart|Ġto|Ġalter|Ġthe|Ġ""|O|""|Ġto|Ġread|Ġlower|case|Ġ""|e|"".",<ERROR>,1
"Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism.",1,{'en': 1},1,1,"Red|Ġt|ide|Ġis|Ġcaused|Ġby|Ġa|Ġhigher|Ġthan|Ġnormal|Ġconcentr|ation|Ġof|ĠK|aren|ia|Ġbre|vis|,|Ġa|Ġnaturally|-|oc|curr|ing|Ġsingle|-|cell|ed|Ġmar|ine|Ġorgan|ism|.",<ERROR>,1
"Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically.",1,{'en': 1},1,1,"N|atural|Ġfactors|Ġcan|Ġinters|ect|Ġto|Ġproduce|Ġideal|Ġconditions|,|Ġallowing|Ġthis|Ġal|ga|e|Ġto|Ġincrease|Ġin|Ġnumber|Ġdram|atically|.",<ERROR>,1
The algae produces a neurotoxin that can disable nerves in both humans and fish.,1,{'en': 1},1,1,The|Ġal|ga|e|Ġprodu|ces|Ġa|Ġneuro|to|x|in|Ġthat|Ġcan|Ġdis|able|Ġnerv|es|Ġin|Ġboth|Ġhumans|Ġand|Ġfish|.,<ERROR>,1
Humans can be affected by breathing affected water taken into the air by wind and waves.,1,{'en': 1},1,1,H|um|ans|Ġcan|Ġbe|Ġaffected|Ġby|Ġbreat|hing|Ġaffected|Ġwater|Ġtaken|Ġinto|Ġthe|Ġair|Ġby|Ġwind|Ġand|Ġw|aves|.,<ERROR>,1
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",1,{'en': 1},1,1,"L|ead|Ġresearchers|Ġsay|Ġthis|Ġmay|Ġbring|Ġearly|Ġdete|ction|Ġof|Ġcancer|,|Ġtub|er|culos|is|,|ĠHIV|Ġand|Ġmal|aria|Ġto|Ġpatients|Ġin|Ġlow|-in|come|Ġcountries|,|Ġwhere|Ġthe|Ġsurvival|Ġrates|Ġfor|Ġillness|es|Ġsuch|Ġas|Ġbreast|Ġcancer|Ġcan|Ġbe|Ġhalf|Ġthose|Ġof|Ġrich|er|Ġcountries|.",<ERROR>,1
"At its peak, Tropical Cyclone Gonu, named for a bag of palm leaves in the language of the Maldives, reached sustained winds of 240 kilometers an hour (149 miles per hour) .",1,{'en': 1},1,1,"At|Ġits|Ġpeak|,|ĠT|rop|ical|ĠCy|cl|one|ĠG|on|u|,|Ġnamed|Ġfor|Ġa|Ġbag|Ġof|Ġpal|m|Ġleaves|Ġin|Ġthe|Ġlanguage|Ġof|Ġthe|ĠMal|d|ives|,|Ġreached|Ġsus|tained|Ġwind|s|Ġof|Ġ|240|Ġkil|omet|ers|Ġan|Ġhour|Ġ(|149|Ġmiles|Ġper|Ġhour|)|Ġ.",<ERROR>,1
"By early today, winds were around 83 km/h, and it was expect to keep weakening.",1,{'en': 1},1,1,"By|Ġearly|Ġtoday|,|Ġwind|s|Ġwere|Ġaround|Ġ|83|Ġkm|/h|,|Ġand|Ġit|Ġwas|Ġexpect|Ġto|Ġkeep|Ġwe|aken|ing|.",<ERROR>,1
"On Wednesday, the United States' National Basketball Association (NBA) suspended its professional basketball season due to concerns regarding COVID-19.",1,{'en': 1},1,1,"On|ĠWednesday|,|Ġthe|ĠUnited|ĠStates|'|ĠNational|ĠBas|ket|ball|ĠAssociation|Ġ(|N|BA|)|Ġsuspend|ed|Ġits|Ġprofessional|Ġbasketball|Ġseason|Ġdue|Ġto|Ġconcerns|Ġregarding|ĠCOVID|-|19|.",<ERROR>,1
The NBA's decision followed a Utah Jazz player testing positive for the COVID-19 virus.,1,{'en': 1},1,1,The|ĠNBA|'s|Ġdecision|Ġfollowed|Ġa|ĠUtah|ĠJazz|Ġplayer|Ġtesting|Ġpositive|Ġfor|Ġthe|ĠCOVID|-|19|Ġvirus|.,<ERROR>,1
"""Based on this fossil, that means the split is much earlier than has been anticipated by the molecular evidence.",1,{'en': 1},1,1,"""|B|ased|Ġon|Ġthis|Ġf|oss|il|,|Ġthat|Ġmeans|Ġthe|Ġsplit|Ġis|Ġmuch|Ġearlier|Ġthan|Ġhas|Ġbeen|Ġanticip|ated|Ġby|Ġthe|Ġmole|cular|Ġevidence|.",<ERROR>,1
"That means everything has to be put back,"" said researcher at the Rift Valley Research Service in Ethiopia and a co-author of the study, Berhane Asfaw.",1,{'en': 1},1,1,"That|Ġmeans|Ġeverything|Ġhas|Ġto|Ġbe|Ġput|Ġback|,""|Ġsaid|Ġresearch|er|Ġat|Ġthe|ĠR|ift|ĠValley|ĠResearch|ĠService|Ġin|ĠEth|io|p|ia|Ġand|Ġa|Ġco|-|aut|hor|Ġof|Ġthe|Ġstudy|,|ĠBer|h|ane|ĠAs|f|aw|.",<ERROR>,1
"Until now, AOL has been able to move and develop the IM market at its own pace, due to its widespread use within the United States.",1,{'en': 1},1,1,"Un|til|Ġnow|,|ĠA|OL|Ġhas|Ġbeen|Ġable|Ġto|Ġmove|Ġand|Ġdevelop|Ġthe|ĠIM|Ġmarket|Ġat|Ġits|Ġown|Ġpace|,|Ġdue|Ġto|Ġits|Ġw|ides|p|read|Ġuse|Ġwithin|Ġthe|ĠUnited|ĠStates|.",<ERROR>,1
"With this arrangement in place, this freedom might end.",1,{'en': 1},1,1,"With|Ġthis|Ġarrang|ement|Ġin|Ġplace|,|Ġthis|Ġfreedom|Ġmight|Ġend|.",<ERROR>,1
The number of users of the Yahoo! and Microsoft services combined will rival the number of AOL's customers.,1,{'en': 1},1,1,The|Ġnumber|Ġof|Ġusers|Ġof|Ġthe|ĠYahoo|!|Ġand|ĠMicrosoft|Ġservices|Ġcombined|Ġwill|Ġrival|Ġthe|Ġnumber|Ġof|ĠA|OL|'s|Ġcustomers|.,<ERROR>,1
The Northern Rock bank had been nationalised in 2008 following the revelation that the company had received emergency support from the UK Government.,1,{'en': 1},1,1,The|ĠNorthern|ĠRock|Ġbank|Ġhad|Ġbeen|Ġnational|ised|Ġin|Ġ|200|8|Ġfollowing|Ġthe|Ġrevel|ation|Ġthat|Ġthe|Ġcompany|Ġhad|Ġreceived|Ġemergency|Ġsupport|Ġfrom|Ġthe|ĠUK|ĠGovernment|.,<ERROR>,1
Al Gore and General Tommy Franks casually rattle off their favorite headlines (Gore's was when The Onion reported he and Tipper were having the best sex of their lives after his 2000 Electoral College defeat).,1,{'en': 1},1,1,Al|ĠG|ore|Ġand|ĠGeneral|ĠTom|my|ĠFran|ks|Ġcas|ually|Ġrat|tle|Ġoff|Ġtheir|Ġfavorite|Ġhead|lines|Ġ(|G|ore|'s|Ġwas|Ġwhen|ĠThe|ĠOn|ion|Ġreported|Ġhe|Ġand|ĠT|ipper|Ġwere|Ġhaving|Ġthe|Ġbest|Ġsex|Ġof|Ġtheir|Ġlives|Ġafter|Ġhis|Ġ|200|0|ĠElect|oral|ĠCollege|Ġdefeat|).,<ERROR>,1
"Since its inception, The Onion has become a veritable news parody empire, with a print edition, a website that drew 5,000,000 unique visitors in the month of October, personal ads, a 24 hour news network, podcasts, and a recently launched world atlas called Our Dumb World.",1,{'en': 1},1,1,"Since|Ġits|Ġin|ception|,|ĠThe|ĠOn|ion|Ġhas|Ġbecome|Ġa|Ġver|itable|Ġnews|Ġpar|ody|Ġemp|ire|,|Ġwith|Ġa|Ġprint|Ġedition|,|Ġa|Ġwebsite|Ġthat|Ġd|rew|Ġ|5|,|000|,|000|Ġunique|Ġvisitors|Ġin|Ġthe|Ġmonth|Ġof|ĠOctober|,|Ġpersonal|Ġads|,|Ġa|Ġ|24|Ġhour|Ġnews|Ġnetwork|,|Ġpodcast|s|,|Ġand|Ġa|Ġrecently|Ġlaunched|Ġworld|Ġat|las|Ġcalled|ĠOur|ĠD|umb|ĠWorld|.",<ERROR>,1
"Long before The Daily Show and The Colbert Report, Heck and Johnson envisioned a publication that would parody the news—and news reporting—when they were students at UW in 1988.",1,{'en': 1},1,1,"L|ong|Ġbefore|ĠThe|ĠDaily|ĠShow|Ġand|ĠThe|ĠCol|bert|ĠReport|,|ĠH|eck|Ġand|ĠJohnson|Ġen|vision|ed|Ġa|Ġpublication|Ġthat|Ġwould|Ġpar|ody|Ġthe|Ġnews|âĢĶand|Ġnews|Ġreporting|âĢĶ|wh|en|Ġthey|Ġwere|Ġstudents|Ġat|ĠU|W|Ġin|Ġ|198|8|.",<ERROR>,1
"The U.S. says it has received information from an undisclosed source that specifically mentions the use of suicide bombers to will blow up ""prominent landmarks"" in Ethiopia and Kenya.",1,{'en': 1},1,1,"The|ĠU|.S|.|Ġsays|Ġit|Ġhas|Ġreceived|Ġinformation|Ġfrom|Ġan|Ġun|dis|closed|Ġsource|Ġthat|Ġspecifically|Ġment|ions|Ġthe|Ġuse|Ġof|Ġsuici|de|Ġbomb|ers|Ġto|Ġwill|Ġblow|Ġup|Ġ""|p|rom|in|ent|Ġland|mar|ks|""|Ġin|ĠEth|io|p|ia|Ġand|ĠKen|ya|.",<ERROR>,1
"Another secondary containment area below the tanks capable of holding 104,500 barrels was not yet filled to capacity.",1,{'en': 1},1,1,"Another|Ġsecondary|Ġcontain|ment|Ġarea|Ġbelow|Ġthe|Ġtan|ks|Ġcapable|Ġof|Ġholding|Ġ|104|,|500|Ġbar|rel|s|Ġwas|Ġnot|Ġyet|Ġfilled|Ġto|Ġcapacity|.",<ERROR>,1
"The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect.",1,{'en': 1},1,1,"The|Ġcomments|,|Ġlive|Ġon|Ġtelevision|,|Ġwere|Ġthe|Ġfirst|Ġtime|Ġthat|Ġsenior|ĠIran|ian|Ġsources|Ġhave|Ġadmitted|Ġthat|Ġthe|Ġsan|ctions|Ġare|Ġhaving|Ġany|Ġeffect|.",<ERROR>,1
"They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income.",1,{'en': 1},1,1,"They|Ġinclude|Ġfinancial|Ġrestrictions|Ġand|Ġa|Ġban|Ġby|Ġthe|ĠEuropean|ĠUnion|Ġon|Ġthe|Ġexport|Ġof|Ġcr|ude|Ġoil|,|Ġfrom|Ġwhich|Ġthe|ĠIran|ian|Ġeconomy|Ġrece|ives|Ġ|80|%|Ġof|Ġits|Ġforeign|Ġincome|.",<ERROR>,1
