language,analysis_unit,text,count,bpe_unique_signatures,fxt_unique_signatures,fxt_seed_signature_count,has_fxt_seed_variation,most_common_bpe,most_common_fxt,seed_signatures
es,whitespace_word,de,3605,1,1,1,False,de,d|e,"{""42"": ""d|e"", ""43"": ""d|e"", ""44"": ""d|e"", ""45"": ""d|e"", ""46"": ""d|e""}"
es,whitespace_word,la,1634,1,1,1,False,la,l|a,"{""42"": ""l|a"", ""43"": ""l|a"", ""44"": ""l|a"", ""45"": ""l|a"", ""46"": ""l|a""}"
es,whitespace_word,que,1405,1,1,1,False,que,qu|e,"{""42"": ""qu|e"", ""43"": ""qu|e"", ""44"": ""qu|e"", ""45"": ""qu|e"", ""46"": ""qu|e""}"
es,whitespace_word,en,1386,1,1,1,False,en,en,"{""42"": ""en"", ""43"": ""en"", ""44"": ""en"", ""45"": ""en"", ""46"": ""en""}"
es,whitespace_word,el,1337,1,1,1,False,el,e|l,"{""42"": ""e|l"", ""43"": ""e|l"", ""44"": ""e|l"", ""45"": ""e|l"", ""46"": ""e|l""}"
es,whitespace_word,y,1127,1,1,1,False,y,y,"{""42"": ""y"", ""43"": ""y"", ""44"": ""y"", ""45"": ""y"", ""46"": ""y""}"
es,whitespace_word,los,954,1,1,1,False,los,l|os,"{""42"": ""l|os"", ""43"": ""l|os"", ""44"": ""l|os"", ""45"": ""l|os"", ""46"": ""l|os""}"
es,whitespace_word,a,926,1,1,1,False,a,a,"{""42"": ""a"", ""43"": ""a"", ""44"": ""a"", ""45"": ""a"", ""46"": ""a""}"
es,whitespace_word,se,751,1,1,1,False,se,s|e,"{""42"": ""s|e"", ""43"": ""s|e"", ""44"": ""s|e"", ""45"": ""s|e"", ""46"": ""s|e""}"
es,whitespace_word,del,626,1,1,1,False,del,d|el,"{""42"": ""d|el"", ""43"": ""d|el"", ""44"": ""d|el"", ""45"": ""d|el"", ""46"": ""d|el""}"
es,whitespace_word,un,609,1,1,1,False,un,u|n,"{""42"": ""u|n"", ""43"": ""u|n"", ""44"": ""u|n"", ""45"": ""u|n"", ""46"": ""u|n""}"
es,whitespace_word,las,565,1,1,1,False,las,l|as,"{""42"": ""l|as"", ""43"": ""l|as"", ""44"": ""l|as"", ""45"": ""l|as"", ""46"": ""l|as""}"
es,whitespace_word,una,495,1,1,1,False,una,u|n|a,"{""42"": ""u|n|a"", ""43"": ""u|n|a"", ""44"": ""u|n|a"", ""45"": ""u|n|a"", ""46"": ""u|n|a""}"
es,whitespace_word,con,485,1,1,1,False,con,c|on,"{""42"": ""c|on"", ""43"": ""c|on"", ""44"": ""c|on"", ""45"": ""c|on"", ""46"": ""c|on""}"
es,whitespace_word,por,419,1,1,1,False,por,p|or,"{""42"": ""p|or"", ""43"": ""p|or"", ""44"": ""p|or"", ""45"": ""p|or"", ""46"": ""p|or""}"
es,whitespace_word,para,375,1,1,1,False,para,p|ar|a,"{""42"": ""p|ar|a"", ""43"": ""p|ar|a"", ""44"": ""p|ar|a"", ""45"": ""p|ar|a"", ""46"": ""p|ar|a""}"
es,whitespace_word,es,366,1,1,1,False,es,es,"{""42"": ""es"", ""43"": ""es"", ""44"": ""es"", ""45"": ""es"", ""46"": ""es""}"
es,whitespace_word,su,361,1,1,1,False,su,s|u,"{""42"": ""s|u"", ""43"": ""s|u"", ""44"": ""s|u"", ""45"": ""s|u"", ""46"": ""s|u""}"
es,whitespace_word,más,290,1,1,1,False,mÃ¡s,m|ás,"{""42"": ""m|ás"", ""43"": ""m|ás"", ""44"": ""m|ás"", ""45"": ""m|ás"", ""46"": ""m|ás""}"
es,whitespace_word,no,288,1,1,1,False,no,n|o,"{""42"": ""n|o"", ""43"": ""n|o"", ""44"": ""n|o"", ""45"": ""n|o"", ""46"": ""n|o""}"
es,whitespace_word,El,272,1,1,1,False,El,E|l,"{""42"": ""E|l"", ""43"": ""E|l"", ""44"": ""E|l"", ""45"": ""E|l"", ""46"": ""E|l""}"
es,whitespace_word,al,268,1,1,1,False,al,al,"{""42"": ""al"", ""43"": ""al"", ""44"": ""al"", ""45"": ""al"", ""46"": ""al""}"
es,whitespace_word,como,233,1,1,1,False,como,c|om|o,"{""42"": ""c|om|o"", ""43"": ""c|om|o"", ""44"": ""c|om|o"", ""45"": ""c|om|o"", ""46"": ""c|om|o""}"
es,whitespace_word,o,225,1,1,1,False,o,o,"{""42"": ""o"", ""43"": ""o"", ""44"": ""o"", ""45"": ""o"", ""46"": ""o""}"
es,whitespace_word,lo,204,1,1,1,False,lo,l|o,"{""42"": ""l|o"", ""43"": ""l|o"", ""44"": ""l|o"", ""45"": ""l|o"", ""46"": ""l|o""}"
es,whitespace_word,La,202,1,1,1,False,La,L|a,"{""42"": ""L|a"", ""43"": ""L|a"", ""44"": ""L|a"", ""45"": ""L|a"", ""46"": ""L|a""}"
es,whitespace_word,En,163,1,1,1,False,En,E|n,"{""42"": ""E|n"", ""43"": ""E|n"", ""44"": ""E|n"", ""45"": ""E|n"", ""46"": ""E|n""}"
es,whitespace_word,sus,139,1,1,1,False,s|us,s|u|s,"{""42"": ""s|u|s"", ""43"": ""s|u|s"", ""44"": ""s|u|s"", ""45"": ""s|u|s"", ""46"": ""s|u|s""}"
es,whitespace_word,Los,131,1,1,1,False,Los,L|os,"{""42"": ""L|os"", ""43"": ""L|os"", ""44"": ""L|os"", ""45"": ""L|os"", ""46"": ""L|os""}"
es,whitespace_word,son,125,1,2,2,True,son,s|on,"{""42"": ""s|on"", ""43"": ""s|on"", ""44"": ""s|on"", ""45"": ""s|o|n"", ""46"": ""s|on""}"
es,whitespace_word,fue,107,1,1,1,False,f|ue,f|ue,"{""42"": ""f|ue"", ""43"": ""f|ue"", ""44"": ""f|ue"", ""45"": ""f|ue"", ""46"": ""f|ue""}"
es,whitespace_word,entre,104,1,2,2,True,entre,en|t|re,"{""42"": ""en|t|re"", ""43"": ""en|t|r|e"", ""44"": ""en|t|re"", ""45"": ""en|t|re"", ""46"": ""en|t|re""}"
es,whitespace_word,puede,93,1,2,2,True,p|ue|de,p|u|ed|e,"{""42"": ""p|u|ed|e"", ""43"": ""p|u|ed|e"", ""44"": ""p|ued|e"", ""45"": ""p|u|ed|e"", ""46"": ""p|u|ed|e""}"
es,whitespace_word,ser,93,1,1,1,False,ser,s|e|r,"{""42"": ""s|e|r"", ""43"": ""s|e|r"", ""44"": ""s|e|r"", ""45"": ""s|e|r"", ""46"": ""s|e|r""}"
es,whitespace_word,sobre,81,1,2,2,True,so|bre,s|ob|re,"{""42"": ""s|ob|re"", ""43"": ""s|ob|re"", ""44"": ""s|ob|r|e"", ""45"": ""s|ob|re"", ""46"": ""s|ob|re""}"
es,whitespace_word,Las,80,1,2,2,True,Las,L|as,"{""42"": ""L|as"", ""43"": ""Las"", ""44"": ""L|as"", ""45"": ""L|as"", ""46"": ""L|as""}"
es,whitespace_word,Se,80,1,1,1,False,Se,S|e,"{""42"": ""S|e"", ""43"": ""S|e"", ""44"": ""S|e"", ""45"": ""S|e"", ""46"": ""S|e""}"
es,whitespace_word,forma,80,1,2,2,True,forma,f|or|m|a,"{""42"": ""f|or|m|a"", ""43"": ""f|or|m|a"", ""44"": ""f|or|m|a"", ""45"": ""f|or|ma"", ""46"": ""f|or|ma""}"
es,whitespace_word,lugar,74,1,2,2,True,l|ugar,l|ugar,"{""42"": ""l|ugar"", ""43"": ""l|ugar"", ""44"": ""l|ugar"", ""45"": ""l|u|gar"", ""46"": ""l|ugar""}"
es,whitespace_word,pueden,74,1,1,1,False,p|ue|den,p|u|ed|en,"{""42"": ""p|u|ed|en"", ""43"": ""p|u|ed|en"", ""44"": ""p|u|ed|en"", ""45"": ""p|u|ed|en"", ""46"": ""p|u|ed|en""}"
es,whitespace_word,Si,70,1,1,1,False,Si,S|i,"{""42"": ""S|i"", ""43"": ""S|i"", ""44"": ""S|i"", ""45"": ""S|i"", ""46"": ""S|i""}"
es,whitespace_word,ha,69,1,1,1,False,ha,h|a,"{""42"": ""h|a"", ""43"": ""h|a"", ""44"": ""h|a"", ""45"": ""h|a"", ""46"": ""h|a""}"
es,whitespace_word,también,69,1,2,2,True,t|ambiÃ©n,t|ambién,"{""42"": ""t|ambién"", ""43"": ""t|amb|ién"", ""44"": ""t|amb|ién"", ""45"": ""t|amb|ién"", ""46"": ""t|amb|ién""}"
es,whitespace_word,durante,68,1,2,2,True,d|urante,d|u|r|an te,"{""42"": ""d|u|r|an te"", ""43"": ""d|u|r|an|te"", ""44"": ""d|u|r|an te"", ""45"": ""d|u|r|an te"", ""46"": ""d|u|r|an|te""}"
es,whitespace_word,hasta,68,1,1,1,False,h|asta,h|ast|a,"{""42"": ""h|ast|a"", ""43"": ""h|ast|a"", ""44"": ""h|ast|a"", ""45"": ""h|ast|a"", ""46"": ""h|ast|a""}"
es,whitespace_word,si,68,1,1,1,False,si,s|i,"{""42"": ""s|i"", ""43"": ""s|i"", ""44"": ""s|i"", ""45"": ""s|i"", ""46"": ""s|i""}"
es,whitespace_word,parte,67,1,2,2,True,parte,p|ar|te,"{""42"": ""p|ar|te"", ""43"": ""p|ar|te"", ""44"": ""par|te"", ""45"": ""p|ar|te"", ""46"": ""p|ar|te""}"
es,whitespace_word,desde,66,1,1,1,False,des|de,d|es d|e,"{""42"": ""d|es d|e"", ""43"": ""d|es d|e"", ""44"": ""d|es d|e"", ""45"": ""d|es d|e"", ""46"": ""d|es d|e""}"
es,whitespace_word,han,65,1,1,1,False,han,h|an,"{""42"": ""h|an"", ""43"": ""h|an"", ""44"": ""h|an"", ""45"": ""h|an"", ""46"": ""h|an""}"
es,whitespace_word,pero,65,1,1,1,False,pero,p|er|o,"{""42"": ""p|er|o"", ""43"": ""p|er|o"", ""44"": ""p|er|o"", ""45"": ""p|er|o"", ""46"": ""p|er|o""}"
es,whitespace_word,dos,63,1,1,1,False,dos,d|os,"{""42"": ""d|os"", ""43"": ""d|os"", ""44"": ""d|os"", ""45"": ""d|os"", ""46"": ""d|os""}"
es,whitespace_word,cuando,62,1,1,1,False,cu|ando,c|u|an|d|o,"{""42"": ""c|u|an|d|o"", ""43"": ""c|u|an|d|o"", ""44"": ""c|u|an|d|o"", ""45"": ""c|u|an|d|o"", ""46"": ""c|u|an|d|o""}"
es,whitespace_word,mayor,60,1,1,1,False,may|or,m|ayor,"{""42"": ""m|ayor"", ""43"": ""m|ayor"", ""44"": ""m|ayor"", ""45"": ""m|ayor"", ""46"": ""m|ayor""}"
es,whitespace_word,No,59,1,1,1,False,No,N|o,"{""42"": ""N|o"", ""43"": ""N|o"", ""44"": ""N|o"", ""45"": ""N|o"", ""46"": ""N|o""}"
es,whitespace_word,este,59,1,1,1,False,este,es|te,"{""42"": ""es|te"", ""43"": ""es|te"", ""44"": ""es|te"", ""45"": ""es|te"", ""46"": ""es|te""}"
es,whitespace_word,tiene,59,1,1,1,False,t|iene,t|i en e,"{""42"": ""t|i en e"", ""43"": ""t|i en e"", ""44"": ""t|i en e"", ""45"": ""t|i en e"", ""46"": ""t|i en e""}"
es,whitespace_word,solo,57,1,2,2,True,s|olo,s|ol|o,"{""42"": ""s|ol|o"", ""43"": ""s|ol|o"", ""44"": ""s|ol|o"", ""45"": ""s|o|l|o"", ""46"": ""s|ol|o""}"
es,whitespace_word,ya,57,1,1,1,False,ya,y|a,"{""42"": ""y|a"", ""43"": ""y|a"", ""44"": ""y|a"", ""45"": ""y|a"", ""46"": ""y|a""}"
es,whitespace_word,bien,56,1,1,1,False,b|ien,b|i en,"{""42"": ""b|i en"", ""43"": ""b|i en"", ""44"": ""b|i en"", ""45"": ""b|i en"", ""46"": ""b|i en""}"
es,whitespace_word,muy,55,1,2,2,True,m|uy,m|uy,"{""42"": ""m|uy"", ""43"": ""m|uy"", ""44"": ""m|uy"", ""45"": ""m|uy"", ""46"": ""m|u|y""}"
es,whitespace_word,personas,55,1,1,1,False,person|as,p|er|son|as,"{""42"": ""p|er|son|as"", ""43"": ""p|er|son|as"", ""44"": ""p|er|son|as"", ""45"": ""p|er|son|as"", ""46"": ""p|er|son|as""}"
es,whitespace_word,otros,54,1,2,2,True,otros,ot|ros,"{""42"": ""ot|ros"", ""43"": ""ot|ros"", ""44"": ""ot|ros"", ""45"": ""o|t|ros"", ""46"": ""ot|ros""}"
es,whitespace_word,gran,53,1,1,1,False,gran,g|r|an,"{""42"": ""g|r|an"", ""43"": ""g|r|an"", ""44"": ""g|r|an"", ""45"": ""g|r|an"", ""46"": ""g|r|an""}"
es,whitespace_word,"que,",53,1,1,1,False,"que|,","qu|e,","{""42"": ""qu|e,"", ""43"": ""qu|e,"", ""44"": ""qu|e,"", ""45"": ""qu|e,"", ""46"": ""qu|e,""}"
es,whitespace_word,había,52,1,1,1,False,hab|ÃŃa,h|ab|ía,"{""42"": ""h|ab|ía"", ""43"": ""h|ab|ía"", ""44"": ""h|ab|ía"", ""45"": ""h|ab|ía"", ""46"": ""h|ab|ía""}"
es,whitespace_word,"y,",52,1,1,1,False,"y|,","y|,","{""42"": ""y|,"", ""43"": ""y|,"", ""44"": ""y|,"", ""45"": ""y|,"", ""46"": ""y|,""}"
es,whitespace_word,hacia,51,1,2,2,True,h|acia,h|acia,"{""42"": ""h|acia"", ""43"": ""h|acia"", ""44"": ""h|ac|ia"", ""45"": ""h|acia"", ""46"": ""h|ac|ia""}"
es,whitespace_word,Por,50,1,1,1,False,Por,P|or,"{""42"": ""P|or"", ""43"": ""P|or"", ""44"": ""P|or"", ""45"": ""P|or"", ""46"": ""P|or""}"
es,whitespace_word,sin,50,1,1,1,False,sin,s|in,"{""42"": ""s|in"", ""43"": ""s|in"", ""44"": ""s|in"", ""45"": ""s|in"", ""46"": ""s|in""}"
es,whitespace_word,donde,47,1,2,2,True,don|de,d|on|d|e,"{""42"": ""d|on|d|e"", ""43"": ""d|on|d|e"", ""44"": ""d|on|d|e"", ""45"": ""d|on|d|e"", ""46"": ""d|on|de""}"
es,whitespace_word,está,47,1,1,1,False,est|Ã¡,es|t|á,"{""42"": ""es|t|á"", ""43"": ""es|t|á"", ""44"": ""es|t|á"", ""45"": ""es|t|á"", ""46"": ""es|t|á""}"
es,whitespace_word,esta,45,1,2,2,True,esta,es|t|a,"{""42"": ""es|t|a"", ""43"": ""es t|a"", ""44"": ""es|t|a"", ""45"": ""es|t|a"", ""46"": ""es|t|a""}"
es,whitespace_word,otras,45,1,2,2,True,otras,o|t|ras,"{""42"": ""o|t|ras"", ""43"": ""o|t|ras"", ""44"": ""ot|ras"", ""45"": ""ot|ras"", ""46"": ""ot|ras""}"
es,whitespace_word,le,44,1,1,1,False,le,l|e,"{""42"": ""l|e"", ""43"": ""l|e"", ""44"": ""l|e"", ""45"": ""l|e"", ""46"": ""l|e""}"
es,whitespace_word,cerca,40,1,2,2,True,cer|ca,c|er|c|a,"{""42"": ""c|er|c|a"", ""43"": ""c|er|ca"", ""44"": ""c|er|c|a"", ""45"": ""c|er|ca"", ""46"": ""c|er|c|a""}"
es,whitespace_word,era,40,1,1,1,False,era,e|r|a,"{""42"": ""e|r|a"", ""43"": ""e|r|a"", ""44"": ""e|r|a"", ""45"": ""e|r|a"", ""46"": ""e|r|a""}"
es,whitespace_word,todo,40,1,2,2,True,todo,t|odo,"{""42"": ""t|odo"", ""43"": ""t|odo"", ""44"": ""t|odo"", ""45"": ""t|odo"", ""46"": ""t|od|o""}"
es,whitespace_word,Es,39,1,1,1,False,Es,E|s,"{""42"": ""E|s"", ""43"": ""E|s"", ""44"": ""E|s"", ""45"": ""E|s"", ""46"": ""E|s""}"
es,whitespace_word,muchos,39,1,3,3,True,mu|chos,m|u|c|h|os,"{""42"": ""m|u|c|h|os"", ""43"": ""m|uch|os"", ""44"": ""m|uc|h|os"", ""45"": ""m|uc|h|os"", ""46"": ""m|uc|h|os""}"
es,whitespace_word,posible,39,1,2,2,True,pos|ible,p|osib|le,"{""42"": ""p|osib|le"", ""43"": ""p|os|ib|le"", ""44"": ""p|osib|le"", ""45"": ""p|osib|le"", ""46"": ""p|osib|le""}"
es,whitespace_word,todos,39,1,1,1,False,t|odos,t|odos,"{""42"": ""t|odos"", ""43"": ""t|odos"", ""44"": ""t|odos"", ""45"": ""t|odos"", ""46"": ""t|odos""}"
es,whitespace_word,país,38,1,1,1,False,pa|ÃŃs,p|aís,"{""42"": ""p|aís"", ""43"": ""p|aís"", ""44"": ""p|aís"", ""45"": ""p|aís"", ""46"": ""p|aís""}"
es,whitespace_word,través,38,1,3,3,True,tra|v|Ã©s,t|r|avés,"{""42"": ""t|r|avés"", ""43"": ""t|rav|és"", ""44"": ""t|r|avés"", ""45"": ""t|rav|és"", ""46"": ""t|ravés""}"
es,whitespace_word,A,37,1,1,1,False,A,A,"{""42"": ""A"", ""43"": ""A"", ""44"": ""A"", ""45"": ""A"", ""46"": ""A""}"
es,whitespace_word,antes,37,1,1,1,False,antes,an|te s,"{""42"": ""an|te s"", ""43"": ""an|te s"", ""44"": ""an|te s"", ""45"": ""an|te s"", ""46"": ""an|te s""}"
es,whitespace_word,contra,37,1,1,1,False,con|tra,c|on|t|ra,"{""42"": ""c|on|t|ra"", ""43"": ""c|on|t|ra"", ""44"": ""c|on|t|ra"", ""45"": ""c|on|t|ra"", ""46"": ""c|on|t|ra""}"
es,whitespace_word,fin,37,1,1,1,False,fin,f|in,"{""42"": ""f|in"", ""43"": ""f|in"", ""44"": ""f|in"", ""45"": ""f|in"", ""46"": ""f|in""}"
es,whitespace_word,"obstante,",37,1,2,2,True,"ob|st|ante|,","ob|st|an te,","{""42"": ""ob|st|an te,"", ""43"": ""o|b|st|an te,"", ""44"": ""o|b|st|an te,"", ""45"": ""o|b|st|an te,"", ""46"": ""ob|st|an te,""}"
es,whitespace_word,países,37,1,2,2,True,pa|ÃŃs|es,p|aís es,"{""42"": ""p|aís es"", ""43"": ""p|aís|es"", ""44"": ""p|aís es"", ""45"": ""p|aís es"", ""46"": ""p|aís|es""}"
