language,text,count,bpe_unique_signatures,fxt_unique_signatures,fxt_seed_signature_count,has_fxt_seed_variation,most_common_bpe,most_common_fxt,seed_signatures
en,"""Apart from the fever and a sore throat, I feel well and in good shape to carry out my work by telecommuting.",1,1,5,5,True,"""|Ap|art|Ġfrom|Ġthe|Ġfe|ver|Ġand|Ġa|Ġs|ore|Ġthro|at|,|ĠI|Ġfeel|Ġwell|Ġand|Ġin|Ġgood|Ġshape|Ġto|Ġcarry|Ġout|Ġmy|Ġwork|Ġby|Ġtele|comm|uting|.","""|Apar|t||from|t|he|fever||and|a|sor|e|t|hroat,|I|feel|well||and|in|good|shape|t|o|car|ry|out||my|wor|k|by|te lecomm|u|t|ing.","{""42"": ""\""|Apar|t||from|t|he|fever||and|a|sor|e|t|hroat,|I|feel|well||and|in|good|shape|t|o|car|ry|out||my|wor|k|by|te lecomm|u|t|ing."", ""43"": ""\""|Apar|t||from|t|he|fever||and|a|sor|e|t|hroat,|I|feel|well||and|in|good||shape|t|o|car|ry|out||my|wor|k|by|te lecomm|uting."", ""44"": ""\""|A|par|t||from|t|he|fever||and|a|sor|e|t|hroat,|I|feel||well||and|in|good|shape|t|o|car|ry|out||my|wor|k|by|te lecomm|ut|ing."", ""45"": ""\""|Apar|t||from|t|he|fever||and|a|sor|e|t|hroat,|I|feel||well||and|in|good||shape|t|o|car|ry|out||my|wor|k|by|te lecomm|ut|ing."", ""46"": ""\""|Apar|t||from|t|he|fever||and|a|sor|e|t|hroat,|I|feel||well||and|in|good|shape|t|o|car|ry|out||my|wor|k|by|te lecomm|uting.""}"
en,"""Based on this fossil, that means the split is much earlier than has been anticipated by the molecular evidence.",1,1,5,5,True,"""|B|ased|Ġon|Ġthis|Ġf|oss|il|,|Ġthat|Ġmeans|Ġthe|Ġsplit|Ġis|Ġmuch|Ġearlier|Ġthan|Ġhas|Ġbeen|Ġanticip|ated|Ġby|Ġthe|Ġmole|cular|Ġevidence|.","""|B|ase|d|on|t|hi s|fossil,|t|hat|means|t|he|split||is|much||earl|ier|t|han|has|be en|ant|icipa te d|by|t|he|mol|ecular|evid en ce.","{""42"": ""\""|B|ase|d|on|t|hi s|fossil,|t|hat|means|t|he|split||is|much||earl|ier|t|han|has|be en|ant|icipa te d|by|t|he|mol|ecular|evid en ce."", ""43"": ""\""|B|ase|d|on|t|hi s|fossil|,|t|hat|means|t|he|split||is|much||earl|ier|t|han|has|be en|ant|icipa te d|by|t|he|mol|ecular|evid|en ce."", ""44"": ""\""|Base|d|on|t|hi s|fossil,|t|hat|means|t|he|split||is|much||earl|ier|t|han|has|be en|ant|icipa te d|by|t|he|mol|ecular|evid en ce."", ""45"": ""\""|B|ase|d|on|t|hi s|fossil,|t|hat|means|t|he|split||is|much||earl|ier|t|han|has|be en|ant|icipa te|d|by|t|he|mol|ecular|evid en ce."", ""46"": ""\""|B|ase|d|on|t|hi s|fossil|,|t|hat|means|t|he|split||is|much||earl|ier|t|han|has|be en|ant|icipa te d|by|t|he|mol|ecular|evid en ce.""}"
en,"""He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion.""",1,1,5,5,True,"""|He|Ġ[|W|ales|]|Ġbasically|Ġl|ied|Ġto|Ġus|Ġfrom|Ġthe|Ġstart|.|ĠFirst|,|Ġby|Ġacting|Ġas|Ġif|Ġthis|Ġwas|Ġfor|Ġlegal|Ġreasons|.|ĠSecond|,|Ġby|Ġpret|ending|Ġhe|Ġwas|Ġlistening|Ġto|Ġus|,|Ġright|Ġup|Ġto|Ġhis|Ġart|Ġde|let|ion|.""","""|H|e|[Wal es ]||basicall|y|lied|t|o|us|from|t|he|st|art.|Fir|st|,|by|act|ing|as|if t|hi s|was|for||legal|reason|s.|Second|,|by|pre te ndin|g|he|was|lis te ning|t|o|us,|right||up|t|o|hi s|art||deletion.""","{""42"": ""\""|H|e|[Wal es ]||basicall|y|lied|t|o|us|from|t|he|st|art.|Fir|st|,|by|act|ing|as|if t|hi s|was|for||legal|reason|s.|Second|,|by|pre te ndin|g|he|was|lis te ning|t|o|us,|right||up|t|o|hi s|art||deletion.\"""", ""43"": ""\""|H|e|[Wal es ]||basicall|y|lied|t|o|us|from|t|he|st|art.|First|,|by|act|ing|as|if t|hi s|was|for||legal|reason|s.|Second|,|by|pre te nding|he|was|lis te nin|g|t|o|us,|right||up|t|o|hi s|art||deletion.\"""", ""44"": ""\""|H|e [Wal es ]||basic|all|y|lied|t|o|us|from|t|he|st|art.|First|,|by|act|ing|as|if t|hi s|was|for||legal||reason|s.|S|econd|,|by|pre te ndin|g|he|was|lis te ning|t|o|us,|right||up|t|o|hi s|art||deletion.\"""", ""45"": ""\""|H|e|[Wal|es ]||basicall|y|lied|t|o|us|from|t|he|st|art.|First|,|by|act|ing|as|if t|hi s|was|for||legal|reason|s.|Second|,|by|pre te ndin|g|he|was|lis te nin|g|t|o|us,|right||up|t|o|hi s|art||deletion.\"""", ""46"": ""\""|H|e|[Wal|es ]||basicall|y|lied|t|o|us|from|t|he|st|art.|First|,|by|act|ing|as|if t|hi s|was|for||legal|reason|s.|Second|,|by|pre te n|din|g|he|was|lis te nin|g|t|o|us,|right||up|t|o|hi s|art||deletion.\""""}"
en,"""I was moved every time we did a rehearsal on this, from the bottom of my heart.""",1,1,5,5,True,"""I|Ġwas|Ġmoved|Ġevery|Ġtime|Ġwe|Ġdid|Ġa|Ġre|he|ars|al|Ġon|Ġthis|,|Ġfrom|Ġthe|Ġbottom|Ġof|Ġmy|Ġheart|.""","""|I|was|moved|ever|y|t|ime|we|did|a|reh|ear|sal|on|t|hi s,|from|t|he|bot|tom|of|my|hear|t|.""","{""42"": ""\""|I|was|moved|ever|y|t|ime|we|did|a|reh|ear|sal|on|t|hi s,|from|t|he|bot|tom|of|my|hear|t|.\"""", ""43"": ""\""|I|was|moved|ever|y|t|ime|we|did|a|reh|ear|sal|on|t|hi s,|fr|om|t|he|bot|tom|of|my|heart|.\"""", ""44"": ""\""|I|was|moved||ever|y|t|ime|we|did|a|reh|earsal|on|t|hi s,|fr|om|t|he|bot|tom|of|my|heart|.\"""", ""45"": ""\""|I|was|moved|ever|y|t|ime|we did|a|reh|ear|sal|on|t|hi s,|fr|om|t|he|bot|tom|of|my|hear|t|.\"""", ""46"": ""\""|I|was|moved|ever|y|t|ime|we|did|a|reh|earsal|on|t|hi s,|fr|om|t|he|bot|tom|of|my|heart|.\""""}"
en,"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.",1,1,5,5,True,"""|If|Ġit|Ġbecomes|Ġcommercial|,|Ġwe|Ġshould|Ġhave|Ġit|.|ĠThat|Ġis|,|Ġthere|'s|Ġno|Ġin|-pr|inci|ple|Ġobject|ion|Ġto|Ġnuclear|Ġenergy|""|ĠMr|ĠCost|ello|Ġsaid|.","""|If it|becom es|comm|er|cial|,|we|should||have|it.|T|hat|is,|t|here'|s|no|in-|princip|l|e|object|ion|t|o|nucl|ear|en er|gy""||Mr|Cos te|ll|o|said.","{""42"": ""\""|If it|becom es|comm|er|cial|,|we|should||have|it.|T|hat|is,|t|here'|s|no|in-|princip|l|e|object|ion|t|o|nucl|ear|en er|gy\""||Mr|Cos te|ll|o|said."", ""43"": ""\""|If it|becom es|comm|er|cial|,|w|e|should||have|it.|T|hat|is,|t|here'|s|no|in-|princip|l|e|object|ion|t|o|nucl|ear|en er|gy\""|Mr|Cos te ll|o|said."", ""44"": ""\""|If it|becom es|comm|er|cial|,|w|e|should||have|it.|T|hat|is,|t|here'|s|no|in-|princip|l|e|object|ion|t|o|nucl|ear||en er|gy\""||Mr|Cos te|ll|o|said."", ""45"": ""\""|If it|becom es|comm|er|cial|,|we|should||have|it.|T|hat|is,|t|here'|s|no|in-|prin|cip|l|e|object|ion|t|o|nucl|ear||en er|gy\""|Mr|Cos te|ll|o|said."", ""46"": ""\""|If it|becom es|comm|er|cial|,|we|should||have|it.|T|hat|is,|t|here'|s|no|in-|princip|le|object|ion|t|o|nucl|ear||en ergy\""||Mr|Cos te|ll|o|said.""}"
en,"""It is now important from both a public health and criminal justice perspective that the legislation be enacted as soon as possible"", said a government spokesperson.",1,1,5,5,True,"""It|Ġis|Ġnow|Ġimportant|Ġfrom|Ġboth|Ġa|Ġpublic|Ġhealth|Ġand|Ġcriminal|Ġjustice|Ġperspective|Ġthat|Ġthe|Ġlegislation|Ġbe|Ġen|act|ed|Ġas|Ġsoon|Ġas|Ġpossible|"",|Ġsaid|Ġa|Ġgovernment|Ġspokes|person|.","""|It||is|now|import|ant|from|bot|h|a|public||healt|h|and|crimin|al|just|ice|perspect|ive|t|hat|t|he|legisl|at|ion|be|en ac te d|as|soon||as|possib|le""|,|said|a|governm en t||spok es per|son|.","{""42"": ""\""|It||is|now|import|ant|from|bot|h|a|public||healt|h|and|crimin|al|just|ice|perspect|ive|t|hat|t|he|legisl|at|ion|be|en ac te d|as|soon||as|possib|le\""|,|said|a|governm en t||spok es per|son|."", ""43"": ""\""|It is|now|import|ant|from|bot|h|a|public||healt|h|and|criminal|just|ice|perspect|ive|t|hat|t|he|legisl|at|ion|be|en ac te d|as|soon||as|possib|le\"",|said|a|governm en t||spok es per|son|."", ""44"": ""\""|It||is|now|import|ant|from|bot|h|a|public||healt|h|and|crimin|al|just|ice|perspect|ive|t|hat|t|he|legisl|at|ion|be|en ac te d|as|soon||as|possib|le\""|,|said|a|governm en t||spok es p|er|son|."", ""45"": ""\""|It|is|now|import|ant|from|bot|h|a|public||healt|h|and|crimin|al|just|ice|perspect|ive|t|hat|t|he|legisl|at|ion|be|en ac te d|as|soon||as|possib|le\""|,|said|a|governm en t||spok es per|son|."", ""46"": ""\""|It||is|now|import|ant|from|bot|h|a|public||healt|h|and|crimin|al|just|ice|perspect|ive|t|hat|t|he|legisl|at|ion||be|en ac te d|as|soon||as|possib|le\"",|said|a|governm en t||spok es per|son|.""}"
en,"""Luckily nothing happened to me, but I saw a macabre scene, as people tried to break windows in order to get out.",1,1,5,5,True,"""|L|uck|ily|Ġnothing|Ġhappened|Ġto|Ġme|,|Ġbut|ĠI|Ġsaw|Ġa|Ġmac|ab|re|Ġscene|,|Ġas|Ġpeople|Ġtried|Ġto|Ġbreak|Ġwindows|Ġin|Ġorder|Ġto|Ġget|Ġout|.","""|L|uck|il|y|not|hi ng|happ en ed|t|o|me,|but||I|saw|a|macabre|sc en e,|as|peopl|e|t|ried|t|o|break|windows|in|order|t|o|get|out|.","{""42"": ""\""|L|uck|il|y|not|hi ng|happ en ed|t|o|me,|but||I|saw|a|macabre|sc en e,|as|peopl|e|t|ried|t|o|break|windows|in|order|t|o|get|out|."", ""43"": ""\""|Luckily|not|hi ng|happ en ed|t|o|me,|but||I|saw|a|macabre|sc en e,|as|people|t|ried|t|o|break|win|dows|in|order||t|o|get|out|."", ""44"": ""\""|Luck|il|y|not|hi ng|happ en ed||t|o|me,|but||I|saw|a|macabre|sc en e,|as|peopl|e|t|ried|t|o|break|win|dow|s|in|order||t|o|get|out|."", ""45"": ""\""|L|uck|il|y|not|hi ng|happ en ed|t|o|me,|but||I|saw|a|macabr|e|sc en e,|as|people|t|ried|t|o|break|win|dow|s|in|order|t|o|get|out|."", ""46"": ""\""|L|uck|il|y|not|hi ng|happ en ed|t|o|me,|but||I|saw|a|macabre|sc en e,|as|peop|le|t|ried|t|o|break|win|dow|s|in|order||t|o|get|out|.""}"
en,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.",1,1,5,5,True,"""|P|an|ama|ĠPap|ers|""|Ġis|Ġan|Ġ|umbre|l|la|Ġterm|Ġfor|Ġroughly|Ġten|Ġmillion|Ġdocuments|Ġfrom|ĠPan|aman|ian|Ġlaw|Ġfirm|ĠM|oss|ack|ĠF|onse|ca|,|Ġle|aked|Ġto|Ġthe|Ġpress|Ġin|Ġspring|Ġ|201|6|.","""|P|anama|Paper|s""|is|an|umbr|el|l|a|te rm|for||rough|l|y|te n|mil|lion||docum en t|s|from|Panaman|ian||law|firm|Mossack||Fonseca,|leaked|t|o|t|he|pr es s|in|sprin|g|2016.","{""42"": ""\""|P|anama|Paper|s\""|is|an|umbr|el|l|a|te rm|for||rough|l|y|te n|mil|lion||docum en t|s|from|Panaman|ian||law|firm|Mossack||Fonseca,|leaked|t|o|t|he|pr es s|in|sprin|g|2016."", ""43"": ""\""|P|anama|Paper|s\""||is|an|umbr|el|l|a|te rm|for||rough|l|y|te n|mil|lion||docum en t|s|from|Panaman|ian||law|firm|Mossack|Fon|seca,|leaked|t|o|t|he|pr es s|in|sprin|g|2016."", ""44"": ""\""|Pan|ama|Paper|s\""||is|an|umbr|el|l|a|te rm|for||rough|l|y|te n|million||docum en t|s|from|Panaman|ian||law|firm|Mossack|Fonseca,|leaked|t|o|t|he|pr es s|in|sprin|g|2016."", ""45"": ""\""|P|an|am|a|Papers\""|is|an|umbr|ell|a|te rm|for||rough|l|y|te n|mil|lion||docum en t|s|from|Panamanian||law|firm|Mossack||Fonseca,|leaked|t|o|t|he|pr es s|in|sprin|g|2016."", ""46"": ""\""|P|an|ama|Paper|s\""||is|an|umbr|el|l|a|te rm|for||rough|l|y|te n|million||docum en t|s|from|Panaman|ian||law|firm|Mossack|Fonseca,|leaked|t|o|t|he|pr es s|in|spring|2016.""}"
en,"""This is not going to be goodbye. This is the closing of one chapter and the opening of a new one.""",1,1,5,5,True,"""|This|Ġis|Ġnot|Ġgoing|Ġto|Ġbe|Ġgood|b|ye|.|ĠThis|Ġis|Ġthe|Ġclosing|Ġof|Ġone|Ġchapter|Ġand|Ġthe|Ġopening|Ġof|Ġa|Ġnew|Ġone|.""","""|T|hi s|is|not||going|t|o|be|goodb|ye.|T|hi s|is|t|he|closing|of|one|chap te r||and|t|he|op en ing|of|a|new|one.""","{""42"": ""\""|T|hi s|is|not||going|t|o|be|goodb|ye.|T|hi s|is|t|he|closing|of|one|chap te r||and|t|he|op en ing|of|a|new|one.\"""", ""43"": ""\""|T|hi s|is|not||going|t|o|be|good|b|ye.|T|hi s|is|t|he|closing|of|one|chap te r||and|t|he|op en in|g|of|a|new|one.\"""", ""44"": ""\""|T|hi s|is|not||going|t|o|be|goodb|ye.|T|hi s|is|t|he|closing|of|one|chap te r||and|t|he|op en in|g|of|a|new|one.\"""", ""45"": ""\""|T|hi s|is|not||going|t|o|be|goodb|ye.|T|hi s|is|t|he|closin|g|of|one|chap te r||and|t|he|op en in|g|of|a|new|one.\"""", ""46"": ""\""|T|hi s|is|not||going|t|o|be|good|b|ye.|T|hi s|is|t|he|closing|of|one|chap|te r||and|t|he|op en ing|of|a|new|one.\""""}"
en,"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.",1,1,5,5,True,"""We|Ġwill|Ġende|av|our|Ġto|Ġcut|Ġcarbon|Ġdio|x|ide|Ġemissions|Ġper|Ġunit|Ġof|ĠG|DP|Ġby|Ġa|Ġnotable|Ġmargin|Ġby|Ġ|202|0|Ġfrom|Ġthe|Ġ|200|5|Ġlevel|,""|ĠHu|Ġsaid|.","""|W|e will|en deavou|r||t|o cut||car|bon|dioxide|emission|s|per|unit||of|GDP|by|a|not|able|mar|gin||by|2020|from|t|he|200|5|level|,""||Hu|said.","{""42"": ""\""|W|e will|en deavou|r||t|o cut||car|bon|dioxide|emission|s|per|unit||of|GDP|by|a|not|able|mar|gin||by|2020|from|t|he|200|5|level|,\""||Hu|said."", ""43"": ""\""|W|e|will||en deavou|r||t|o|cut||car|bon|dioxide|emiss|ion|s|per|unit||of|GDP|by|a|not|able|mar|gin||by|2020|from|t|he|2005|level|,\""||Hu|said."", ""44"": ""\""|W|e|will||en deavou|r||t|o|cut||car|bon|dioxide|emission|s|per|unit||of|GDP|by|a|not|able|mar|gin||by|2020|from|t|he|2005|level|,\""||Hu|said."", ""45"": ""\""|W|e|will||en deavou|r|t|o|cut||car|bon|dioxide|emiss|ion|s|per|unit||of|GDP|by|a|not|able|mar|gin||by|2020|from|t|he|200|5|level|,\""||Hu|said."", ""46"": ""\""|W|e will||en deavour||t|o|cut||car|bon|dioxide|emiss|ion|s|per|unit||of|GDP|by|a|not|able|margin||by|2020|from|t|he|2005|level|,\""||Hu|said.""}"
