language,analysis_unit,text,count,bpe_unique_signatures,fxt_unique_signatures,fxt_seed_signature_count,has_fxt_seed_variation,most_common_bpe,most_common_fxt,seed_signatures
en,whitespace_word,walking,6,1,5,5,True,wal|king,w|alk|ing,"{""42"": ""w|alk|ing"", ""43"": ""w|al|kin|g"", ""44"": ""w|alk|in|g"", ""45"": ""w|alkin|g"", ""46"": ""w|al|k|ing""}"
en,whitespace_word,accused,4,1,5,5,True,ac|cus|ed,ac|c|use|d,"{""42"": ""ac|c|use|d"", ""43"": ""ac|c|us|e|d"", ""44"": ""ac|c|used"", ""45"": ""ac|c|u|se|d"", ""46"": ""ac|cu|se|d""}"
en,whitespace_word,connected,4,1,5,5,True,connect|ed,c|onn|e|c te d,"{""42"": ""c|onn|e|c te d"", ""43"": ""c|on|n|ec|te d"", ""44"": ""c|on|n|ec|te|d"", ""45"": ""c|on|n|ec te d"", ""46"": ""c|onn|ec te d""}"
en,whitespace_word,nucleus,4,1,5,5,True,n|ucle|us,n|uc|leu|s,"{""42"": ""n|uc|leu|s"", ""43"": ""n|u|c|l|eu|s"", ""44"": ""n|uc|l|eu|s"", ""45"": ""n|u|c|l|eus"", ""46"": ""n|uc|l|eus""}"
en,whitespace_word,observed,4,1,5,5,True,ob|serv|ed,o|b|s|er|ved,"{""42"": ""o|b|s|er|ved"", ""43"": ""o|b|se|r|ved"", ""44"": ""o|b|ser|ved"", ""45"": ""ob|se|r|ved"", ""46"": ""ob|ser|ved""}"
en,whitespace_word,2008,3,1,5,5,True,200|8,2008,"{""42"": ""2008"", ""43"": ""2|0|08"", ""44"": ""200|8"", ""45"": ""2|008"", ""46"": ""20|08""}"
en,whitespace_word,Australia's,3,1,5,5,True,A|ustr|alia|'s,Au|s|t|ralia'|s,"{""42"": ""Au|s|t|ralia'|s"", ""43"": ""Au|st|ralia'|s"", ""44"": ""Aust|ralia'|s"", ""45"": ""Aus|t|ralia'|s"", ""46"": ""A|u|s|t|ralia'|s""}"
en,whitespace_word,Swedish,3,1,5,5,True,S|wed|ish,S|we|dish,"{""42"": ""S|we|dish"", ""43"": ""S|wedish"", ""44"": ""S|w|ed|ish"", ""45"": ""S|wed|ish"", ""46"": ""S|w|e|dish""}"
en,whitespace_word,"Zealand,",3,1,5,5,True,"Z|e|aland|,","Zealan|d,","{""42"": ""Zealan|d,"", ""43"": ""Z|ealan|d,"", ""44"": ""Zeal|an|d,"", ""45"": ""Zealan|d|,"", ""46"": ""Z|eal|an|d,""}"
en,whitespace_word,"environment,",3,1,5,5,True,"en|v|ironment|,","en|v|iron|m en t|,","{""42"": ""en|v|iron|m en t|,"", ""43"": ""en|v|ironm en t|,"", ""44"": ""en|v|ir|on|m en t|,"", ""45"": ""en|v|ir|onm|en t|,"", ""46"": ""en|v|i|ron|m|en t|,""}"
en,whitespace_word,indicating,3,1,5,5,True,indic|ating,in|d|ic|ating,"{""42"": ""in|d|ic|ating"", ""43"": ""in|dicat|in|g"", ""44"": ""in|d|icat|ing"", ""45"": ""in|dic|ating"", ""46"": ""in|dicat|ing""}"
en,whitespace_word,launching,3,1,5,5,True,la|unch|ing,l|aun|c hi n|g,"{""42"": ""l|aun|c hi n|g"", ""43"": ""l|aun|c hi|ng"", ""44"": ""l|aun|c hi|n|g"", ""45"": ""l|au|nc|hi n|g"", ""46"": ""l|aun|c|hi n|g""}"
en,whitespace_word,occurred,3,1,5,5,True,oc|cur|red,o|c|c|ur|r|ed,"{""42"": ""o|c|c|ur|r|ed"", ""43"": ""o|c|c|u|r|red"", ""44"": ""o|c|c|u|r|r|ed"", ""45"": ""oc|c|u|r|r|ed"", ""46"": ""o|c|cu|r|r|ed""}"
en,whitespace_word,organizational,3,1,5,5,True,organ|iz|ational,o|r|gan|iz|at|ion|al,"{""42"": ""o|r|gan|iz|at|ion|al"", ""43"": ""or|ganizat|ion|al"", ""44"": ""o|r|gan|izat|ion|al"", ""45"": ""or|gan|iz|at|ion|al"", ""46"": ""or|gan|izat|ion|al""}"
en,whitespace_word,reaching,3,1,5,5,True,re|aching,r|eac|hi|n|g,"{""42"": ""r|eac|hi|n|g"", ""43"": ""r|eac|hi|ng"", ""44"": ""r|eac hi ng"", ""45"": ""r|eac hi|n|g"", ""46"": ""r|eac hi n|g""}"
en,whitespace_word,supposed,3,1,5,5,True,sup|posed,s|u|p|p|os|e|d,"{""42"": ""s|u|p|p|os|e|d"", ""43"": ""s|u|pp|osed"", ""44"": ""s|u|pp|ose|d"", ""45"": ""s|u|p|pose|d"", ""46"": ""s|u|p|p|ose|d""}"
en,whitespace_word,1959.,2,1,5,5,True,195|9|.,195|9.,"{""42"": ""195|9."", ""43"": ""1|959."", ""44"": ""19|59."", ""45"": ""1959."", ""46"": ""1959|.""}"
en,whitespace_word,"1981,",2,1,5,5,True,"198|1|,","198|1|,","{""42"": ""198|1|,"", ""43"": ""1981|,"", ""44"": ""1|981,"", ""45"": ""1981,"", ""46"": ""198|1,""}"
en,whitespace_word,Alexander,2,1,5,5,True,A|lex|ander,Al|e|xan|der,"{""42"": ""Al|e|xan|der"", ""43"": ""A|l|ex|ander"", ""44"": ""A|l|e|x|ander"", ""45"": ""Al|exander"", ""46"": ""Al|e|x|an|d|er""}"
en,whitespace_word,Australopithecus,2,1,5,5,True,A|ustr|al|op|it|he|cus,Au|s|t|ralop|it|hec|us,"{""42"": ""Au|s|t|ralop|it|hec|us"", ""43"": ""Au|st|ralopit|hecus"", ""44"": ""Au|s|t|ralopit|hecus"", ""45"": ""Au|st|ralop|it|hecus"", ""46"": ""Au|s|t|ralopit|hecu|s""}"
en,whitespace_word,French-speaking,2,1,5,5,True,F|rench|-s|pe|aking,F|r|en c|h|-|speaking,"{""42"": ""F|r|en c|h|-|speaking"", ""43"": ""F|r|en c|h-|speaking"", ""44"": ""Fr|en c|h-|speaking"", ""45"": ""F|r|en|ch-|speaking"", ""46"": ""F|r|en ch|-|speaking""}"
en,whitespace_word,Geospiza,2,1,5,5,True,Ge|osp|iza,G|eos|p|i|za,"{""42"": ""G|eos|p|i|za"", ""43"": ""G|eos|p|iz|a"", ""44"": ""G|eospi|za"", ""45"": ""G|eosp|i|z|a"", ""46"": ""G|eos|pi|z|a""}"
en,whitespace_word,"Islands,",2,1,5,5,True,"Is|lands|,","I|sl|an|ds|,","{""42"": ""I|sl|an|ds|,"", ""43"": ""Is|l|an|d|s|,"", ""44"": ""Is|l|an|d|s,"", ""45"": ""Is|l|an|ds,"", ""46"": ""Is|l|an|ds|,""}"
en,whitespace_word,Maroochydore,2,1,5,5,True,Mar|oo|ch|yd|ore,M|ar|ooc|h|ydore,"{""42"": ""M|ar|ooc|h|ydore"", ""43"": ""M|ar|ooc|hydor|e"", ""44"": ""M|ar|ooc|h|yd|or|e"", ""45"": ""M|ar|ooc|h|yd|ore"", ""46"": ""M|ar|ooc|h|ydor|e""}"
en,whitespace_word,Montevideo,2,1,5,5,True,M|onte|video,M|o|n|te|vid|eo,"{""42"": ""M|o|n|te|vid|eo"", ""43"": ""M|on|te|vid|eo"", ""44"": ""M|on|te vid|eo"", ""45"": ""M|on|te|v|ideo"", ""46"": ""M|on|te video""}"
en,whitespace_word,"Sweden,",2,1,5,5,True,"S|wed|en|,","S|we|d|en,","{""42"": ""S|we|d|en,"", ""43"": ""S|w|ed en,"", ""44"": ""S|wed en,"", ""45"": ""S|w|ed|en,"", ""46"": ""S|wed|en,""}"
en,whitespace_word,Zhabdrung,2,1,5,5,True,Z|hab|dr|ung,Z|hab|d ru ng,"{""42"": ""Z|hab|d ru ng"", ""43"": ""Zhab|d ru ng"", ""44"": ""Z|hab|d|ru n|g"", ""45"": ""Z|hab|d ru|ng"", ""46"": ""Z|habd|ru|ng""}"
en,whitespace_word,backdrop,2,1,5,5,True,back|d|rop,b|ack|dr|op,"{""42"": ""b|ack|dr|op"", ""43"": ""b|ack|drop"", ""44"": ""b|ackdr|op"", ""45"": ""b|ac|k|d|r|op"", ""46"": ""b|ack|d|r|op""}"
en,whitespace_word,coconut,2,1,5,5,True,c|ocon|ut,c|oc|on|u|t,"{""42"": ""c|oc|on|u|t"", ""43"": ""c|oc|on|ut"", ""44"": ""c|oc|onut"", ""45"": ""c|o|c|on|u|t"", ""46"": ""c|oc|onu|t""}"
en,whitespace_word,easiest,2,1,5,5,True,e|as|iest,e|as|i|es t,"{""42"": ""e|as|i|es t"", ""43"": ""e|asi es t"", ""44"": ""e|as|i es t"", ""45"": ""e|asi es|t"", ""46"": ""e|a|s|i es t""}"
en,whitespace_word,enlightenment.,2,1,5,5,True,en|light|en|ment|.,en|l|ig|h te nm|en t|.,"{""42"": ""en|l|ig|h te nm|en t|."", ""43"": ""en|l|ig|h te|n|m en t|."", ""44"": ""en|l|i|gh te|nm en t|."", ""45"": ""en|l|i|g|h te nm|en t|."", ""46"": ""en|l|igh te n|m|en t|.""}"
en,whitespace_word,example).,2,1,5,5,True,example|).,e|x|amp|l|e).,"{""42"": ""e|x|amp|l|e)."", ""43"": ""e|x|am|p|l|e)."", ""44"": ""e|x|amp|l|e)|."", ""45"": ""e|x|am|pl|e)|."", ""46"": ""e|x|am|p|l|e)|.""}"
en,whitespace_word,kilometers,2,1,5,5,True,k|il|omet|ers,kilome te r|s,"{""42"": ""kilome te r|s"", ""43"": ""k|ilom|e te|r|s"", ""44"": ""k|ilome te rs"", ""45"": ""kilom|e te r|s"", ""46"": ""k|il|ome te|r|s""}"
en,whitespace_word,knowledge.,2,1,5,5,True,know|ledge|.,kn|ow|l|edg|e.,"{""42"": ""kn|ow|l|edg|e."", ""43"": ""kn|ow|ledg|e."", ""44"": ""kn|owl|edg|e."", ""45"": ""k|n|ow|ledg|e."", ""46"": ""k|n|ow|l|edg|e.""}"
en,whitespace_word,launched,2,1,5,5,True,la|unched,l|aun|c|h|ed,"{""42"": ""l|aun|c|h|ed"", ""43"": ""l|aunched"", ""44"": ""l|aun|ched"", ""45"": ""l|aun|c|hed"", ""46"": ""l|aun|ch|ed""}"
en,whitespace_word,newspaper,2,1,5,5,True,news|paper,n|ew|spap|er,"{""42"": ""n|ew|spap|er"", ""43"": ""n|ew|spap|e|r"", ""44"": ""n|ew|sp|aper"", ""45"": ""n|ew|s|p|ap|er"", ""46"": ""n|ew|sp|ap|er""}"
en,whitespace_word,occasionally,2,1,5,5,True,oc|cas|ionally,oc|c|asi|on|all|y,"{""42"": ""oc|c|asi|on|all|y"", ""43"": ""o|c|c|asion|all|y"", ""44"": ""o|c|c|as|ion|all|y"", ""45"": ""oc|c|asion|all|y"", ""46"": ""oc|c|as|ion|all|y""}"
en,whitespace_word,"organization,",2,1,5,5,True,"organ|ization|,","o|r|ganizat|ion|,","{""42"": ""o|r|ganizat|ion|,"", ""43"": ""or|gan|iz|at|ion|,"", ""44"": ""o|r|gan|izat|ion|,"", ""45"": ""o|r|g|an|iz|at|ion|,"", ""46"": ""or|gan|izat|ion|,""}"
en,whitespace_word,organizations,2,1,5,5,True,organ|iz|ations,or|g|an|iz|at|ion|s,"{""42"": ""or|g|an|iz|at|ion|s"", ""43"": ""or|gan|iz|at|ion|s"", ""44"": ""o|r|g|aniz|at|ion|s"", ""45"": ""or|gan|izat|ion|s"", ""46"": ""o|r|gan|iz|at|ion|s""}"
en,whitespace_word,speculate,2,1,5,5,True,s|pe|cul|ate,s|p|ec|u|l|a te,"{""42"": ""s|p|ec|u|l|a te"", ""43"": ""s|p|ec|ul|a te"", ""44"": ""s|p|ecula te"", ""45"": ""s|p|ecu|l|a te"", ""46"": ""s|p|ec|u|la te""}"
en,whitespace_word,spending,2,1,5,5,True,s|pend|ing,s|p|en d|ing,"{""42"": ""s|p|en d|ing"", ""43"": ""s|p|en ding"", ""44"": ""s|p|en|d|ing"", ""45"": ""s|p|en|din|g"", ""46"": ""s|p|en|d|in|g""}"
en,whitespace_word,technologies,2,1,5,5,True,te|chn|ologies,te|chn|olog|i es,"{""42"": ""te|chn|olog|i es"", ""43"": ""te|ch|n|ol|og|i es"", ""44"": ""te|ch|n|olog|i es"", ""45"": ""te|c|h|n|olog|i es"", ""46"": ""te|c|hn|ol|og|i es""}"
en,whitespace_word,walked,2,1,5,5,True,wal|ked,w|alked,"{""42"": ""w|alked"", ""43"": ""w|al|ked"", ""44"": ""w|al|k|ed"", ""45"": ""w|alk|ed"", ""46"": ""wal|ked""}"
en,whitespace_word,well-known,2,1,5,5,True,well|-|known,w|el|l|-|known,"{""42"": ""w|el|l|-|known"", ""43"": ""wel|l|-|known"", ""44"": ""w|el|l|-|kn|own"", ""45"": ""w|ell|-|kn|ow|n"", ""46"": ""w|el|l|-|know|n""}"
en,whitespace_word,(1644-1912),1,1,5,5,True,(|164|4|-|191|2|),(|1|644-|1912),"{""42"": ""(|1|644-|1912)"", ""43"": ""(|1|64|4-|1912)"", ""44"": ""(|1|64|4|-|1912)"", ""45"": ""(|164|4|-|1912)"", ""46"": ""(|164|4-|1912)""}"
en,whitespace_word,(especially,1,1,5,5,True,(|es|pecial|ly,(|es pec|i|al|l|y,"{""42"": ""(|es pec|i|al|l|y"", ""43"": ""(|es|peci|al|l|y"", ""44"": ""( es|pec|i|al|l|y"", ""45"": ""(|es|pec|ial|l|y"", ""46"": ""(|es|pecial|l|y""}"
en,whitespace_word,1450).,1,1,5,5,True,145|0|).,1450)|.,"{""42"": ""1450)|."", ""43"": ""1450|)."", ""44"": ""1450)."", ""45"": ""145|0)."", ""46"": ""1|45|0)|.""}"
en,whitespace_word,"1480s,",1,1,5,5,True,"148|0|s|,","1480s,","{""42"": ""1480s,"", ""43"": ""148|0|s,"", ""44"": ""14|80s|,"", ""45"": ""1|4|80s,"", ""46"": ""1|480|s,""}"
en,whitespace_word,"1610,",1,1,5,5,True,"161|0|,","1610,","{""42"": ""1610,"", ""43"": ""1610|,"", ""44"": ""1|610,"", ""45"": ""16|1|0|,"", ""46"": ""161|0,""}"
en,whitespace_word,1945.,1,1,5,5,True,194|5|.,1945|.,"{""42"": ""1945|."", ""43"": ""1|94|5."", ""44"": ""194|5."", ""45"": ""1945."", ""46"": ""19|45.""}"
en,whitespace_word,"1951,",1,1,5,5,True,"195|1|,","1951,","{""42"": ""1951,"", ""43"": ""19|51|,"", ""44"": ""195|1|,"", ""45"": ""1|95|1,"", ""46"": ""195|1,""}"
en,whitespace_word,"1963,",1,1,5,5,True,"196|3|,","1|9|63|,","{""42"": ""1|9|63|,"", ""43"": ""1963|,"", ""44"": ""1|963|,"", ""45"": ""1963,"", ""46"": ""1|96|3,""}"
en,whitespace_word,"1965,",1,1,5,5,True,"196|5|,","196|5,","{""42"": ""196|5,"", ""43"": ""19|6|5|,"", ""44"": ""1965|,"", ""45"": ""1965,"", ""46"": ""1|965|,""}"
en,whitespace_word,1988.,1,1,5,5,True,198|8|.,198|8.,"{""42"": ""198|8."", ""43"": ""198|8|."", ""44"": ""19|8|8."", ""45"": ""1988|."", ""46"": ""1988.""}"
en,whitespace_word,1995).,1,1,5,5,True,199|5|).,1995).,"{""42"": ""1995)."", ""43"": ""1995|)|."", ""44"": ""199|5|)|."", ""45"": ""1995)|."", ""46"": ""1|995|).""}"
en,whitespace_word,2003,1,1,5,5,True,200|3,20|03,"{""42"": ""20|03"", ""43"": ""2|0|03"", ""44"": ""200|3"", ""45"": ""20|0|3"", ""46"": ""2|003""}"
en,whitespace_word,2005.,1,1,5,5,True,200|5|.,2005.,"{""42"": ""2005."", ""43"": ""200|5|."", ""44"": ""2|00|5."", ""45"": ""20|05."", ""46"": ""20|0|5.""}"
en,whitespace_word,2008.,1,1,5,5,True,200|8|.,2|008.,"{""42"": ""2|008."", ""43"": ""200|8."", ""44"": ""2|0|08."", ""45"": ""20|08."", ""46"": ""2008.""}"
en,whitespace_word,"802.11g,",1,1,5,5,True,"80|2|.|11|g|,","802.1|1g|,","{""42"": ""802.1|1g|,"", ""43"": ""80|2.1|1g|,"", ""44"": ""8|02|.1|1g,"", ""45"": ""8|02.1|1g,"", ""46"": ""8|02.1|1g|,""}"
en,whitespace_word,Accepted,1,1,5,5,True,Ac|cept|ed,Acc|ep te|d,"{""42"": ""Acc|ep te|d"", ""43"": ""A|ccep|te|d"", ""44"": ""Ac|c|ep te|d"", ""45"": ""Ac|c|e|p|te|d"", ""46"": ""Ac|c|ep|te|d""}"
en,whitespace_word,Accompanied,1,1,5,5,True,Ac|com|pan|ied,Ac|comp|an|ied,"{""42"": ""Ac|comp|an|ied"", ""43"": ""Ac|c|om|p|an|ied"", ""44"": ""Acc|omp|an|ied"", ""45"": ""Acc|om|p|an|ied"", ""46"": ""A|c|c|om|p|an|ied""}"
en,whitespace_word,Alessandro,1,1,5,5,True,Al|ess|andro,Al|es s|an|d|r|o,"{""42"": ""Al|es s|an|d|r|o"", ""43"": ""Al|es san|d|r|o"", ""44"": ""Al|es s|an|d|ro"", ""45"": ""Al|es san|dr|o"", ""46"": ""Al|es s|andr|o""}"
en,whitespace_word,Amsterdam.,1,1,5,5,True,Am|ster|dam|.,Am|s te r|d|am.,"{""42"": ""Am|s te r|d|am."", ""43"": ""Am|s|te r|dam|."", ""44"": ""Ams te r|dam."", ""45"": ""Am|s te r|dam."", ""46"": ""Ams te r|d|am.""}"
en,whitespace_word,Assunpink,1,1,5,5,True,Ass|un|p|ink,Ass|u|n|pin|k,"{""42"": ""Ass|u|n|pin|k"", ""43"": ""A|s|s|u|n|p|in|k"", ""44"": ""As|s|u|n|pin|k"", ""45"": ""As|s|un|p|in|k"", ""46"": ""As|s|u|n|p|in|k""}"
en,whitespace_word,Asunción,1,1,5,5,True,As|unciÃ³n,Asun|ción,"{""42"": ""Asun|ción"", ""43"": ""Asun|c|ión"", ""44"": ""As|un|c|ión"", ""45"": ""As|u|n|c|ión"", ""46"": ""Asu|n|c|ión""}"
en,whitespace_word,Azerbaijan.,1,1,5,5,True,A|zer|ba|ij|an|.,Azer|baij|an|.,"{""42"": ""Azer|baij|an|."", ""43"": ""Az|er|baijan|."", ""44"": ""Azerbaij|an|."", ""45"": ""Azer|b|aij|an|."", ""46"": ""Azerbaijan|.""}"
en,whitespace_word,"Bachmann,",1,1,5,5,True,"B|ach|mann|,","B|achm|ann|,","{""42"": ""B|achm|ann|,"", ""43"": ""B|ach|m|ann|,"", ""44"": ""B|achmann|,"", ""45"": ""B|achman|n|,"", ""46"": ""B|achm|an|n|,""}"
en,whitespace_word,Cambridge,1,1,5,5,True,C|amb|ridge,C|ambr|id|g|e,"{""42"": ""C|ambr|id|g|e"", ""43"": ""C|am|b|r|id|g|e"", ""44"": ""Cam|b|r|idge"", ""45"": ""C|amb|r|idg|e"", ""46"": ""C|am|b|r|idg|e""}"
en,whitespace_word,Choudhary.,1,1,5,5,True,Ch|oud|h|ary|.,C|houdh|ar|y.,"{""42"": ""C|houdh|ar|y."", ""43"": ""C|h|ou|dh|ary."", ""44"": ""C|hou|dh|ary."", ""45"": ""C|houdhar|y."", ""46"": ""C|h|oudh|ary.""}"
en,whitespace_word,Congresswoman,1,1,5,5,True,C|ong|ress|woman,C|ong|r|es swom|an,"{""42"": ""C|ong|r|es swom|an"", ""43"": ""C|on|g|r|es sw|om|an"", ""44"": ""C|ong|r es sw|om|an"", ""45"": ""C|on|g|r|es s|wom|an"", ""46"": ""C|ong|r|es s|wom|an""}"
en,whitespace_word,Couchsurfing,1,1,5,5,True,C|ouch|s|ur|f|ing,C|ou|c|h|s|u|r|fin|g,"{""42"": ""C|ou|c|h|s|u|r|fin|g"", ""43"": ""C|ou|c|h|sur|fin|g"", ""44"": ""C|ou|c|h|su|r|fin|g"", ""45"": ""C|ou|c|h|s|u|r|f|in|g"", ""46"": ""C|o|u|c|h|s|ur|f|in|g""}"
en,whitespace_word,"Fairbanks,",1,1,5,5,True,"F|air|ban|ks|,","F|airb|anks,","{""42"": ""F|airb|anks,"", ""43"": ""F|air|b|anks,"", ""44"": ""F|air|ban|ks,"", ""45"": ""F|air|banks,"", ""46"": ""Fairbanks,""}"
en,whitespace_word,Fernandez,1,1,5,5,True,F|ern|an|dez,F|e|r|nan|dez,"{""42"": ""F|e|r|nan|dez"", ""43"": ""F|er|nan|d|ez"", ""44"": ""F|er|nan|dez"", ""45"": ""Fe|r|nan|d|ez"", ""46"": ""F|er|n|an|dez""}"
en,whitespace_word,Flying,1,1,5,5,True,F|lying,Fl|yi|n|g,"{""42"": ""Fl|yi|n|g"", ""43"": ""F|l|yin|g"", ""44"": ""F|lyin|g"", ""45"": ""F|l|ying"", ""46"": ""F|l|yi|n|g""}"
en,whitespace_word,Guaycurú,1,1,5,5,True,Gu|ay|cur|Ãº,G|uayc|ur|ú,"{""42"": ""G|uayc|ur|ú"", ""43"": ""G|uayc|ur||"", ""44"": ""G|uaycur|ú"", ""45"": ""G|uay|c|ur|ú"", ""46"": ""G|uaycurú""}"
en,whitespace_word,Hifikepunye,1,1,5,5,True,H|if|ike|p|un|ye,H|ifik|epun|y|e,"{""42"": ""H|ifik|epun|y|e"", ""43"": ""H|if|ik|epu|n|ye"", ""44"": ""H|ifikepu|n|y|e"", ""45"": ""H|ifikepunye"", ""46"": ""H|if|ik|epun|ye""}"
en,whitespace_word,Income,1,1,5,5,True,In|come,In|c|om|e,"{""42"": ""In|c|om|e"", ""43"": ""I|ncome"", ""44"": ""In|come"", ""45"": ""Inc|om|e"", ""46"": ""Income""}"
en,whitespace_word,Indus-Sarasvati,1,1,5,5,True,Ind|us|-S|ar|as|v|ati,Ind|us-|Sarasv|at|i,"{""42"": ""Ind|us-|Sarasv|at|i"", ""43"": ""Ind|u|s|-|Sar|asv|ati"", ""44"": ""I|ndu|s-|Sar|asv|at|i"", ""45"": ""In|d|u|s-|Sarasv|ati"", ""46"": ""Ind|u|s-|Sarasv|at|i""}"
en,whitespace_word,Island's,1,1,5,5,True,Is|land|'s,Is|l|an|d'|s,"{""42"": ""Is|l|an|d'|s"", ""43"": ""Isl|an|d'|s"", ""44"": ""Is|l|and'|s"", ""45"": ""Is|l|an|d|'|s"", ""46"": ""Is|l|and's""}"
