segment,segment_display,count,example_occurrences
t,'t',6334,"[{""sentence_id"": 0, ""text"": ""On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.""}, {""sentence_id"": 1, ""text"": ""Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.""}, {""sentence_id"": 2, ""text"": ""The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.""}]"
 ,' ',5988,"[{""sentence_id"": 0, ""text"": ""On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.""}, {""sentence_id"": 1, ""text"": ""Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.""}, {""sentence_id"": 2, ""text"": ""The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.""}]"
he ,'he ',3045,"[{""sentence_id"": 0, ""text"": ""On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.""}, {""sentence_id"": 1, ""text"": ""Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.""}, {""sentence_id"": 2, ""text"": ""The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.""}]"
of ,'of ',1279,"[{""sentence_id"": 0, ""text"": ""On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.""}, {""sentence_id"": 1, ""text"": ""Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.""}, {""sentence_id"": 14, ""text"": ""After the match, King of Clay said, \""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.\""""}]"
o ,'o ',1254,"[{""sentence_id"": 1, ""text"": ""Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.""}, {""sentence_id"": 2, ""text"": ""The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.""}, {""sentence_id"": 6, ""text"": ""Since moving to the Catalan-capital, Vidal had played 49 games for the club.""}]"
and ,'and ',1193,"[{""sentence_id"": 1, ""text"": ""Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.""}, {""sentence_id"": 2, ""text"": ""The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.""}, {""sentence_id"": 10, ""text"": ""Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.""}]"
s ,'s ',1100,"[{""sentence_id"": 0, ""text"": ""On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.""}, {""sentence_id"": 1, ""text"": ""Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.""}, {""sentence_id"": 4, ""text"": ""Local media reports an airport fire vehicle rolled over while responding.""}]"
a ,'a ',952,"[{""sentence_id"": 0, ""text"": ""On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.""}, {""sentence_id"": 2, ""text"": ""The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.""}, {""sentence_id"": 15, ""text"": ""\""Panama Papers\"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.""}]"
e ,'e ',908,"[{""sentence_id"": 0, ""text"": ""On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.""}, {""sentence_id"": 1, ""text"": ""Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.""}, {""sentence_id"": 8, ""text"": ""Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.""}]"
in ,'in ',897,"[{""sentence_id"": 1, ""text"": ""Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.""}, {""sentence_id"": 8, ""text"": ""Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.""}, {""sentence_id"": 10, ""text"": ""Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.""}]"
