language,analysis_unit,text,count,bpe_unique_signatures,fxt_unique_signatures,fxt_seed_signature_count,has_fxt_seed_variation,most_common_bpe,most_common_fxt,seed_signatures
hi,whitespace_word,के,2268,1,1,1,False,à¤ķ|à¥ĩ,क|,"{""42"": ""क|"", ""43"": ""क|"", ""44"": ""क|"", ""45"": ""क|"", ""46"": ""क|""}"
hi,whitespace_word,में,1529,1,1,1,False,à¤®|à¥ĩà¤Ĥ,म|ं,"{""42"": ""म|ं"", ""43"": ""म|ं"", ""44"": ""म|ं"", ""45"": ""म|ं"", ""46"": ""म|ं""}"
hi,whitespace_word,की,1124,1,1,1,False,à¤ķ|à¥Ģ,क|,"{""42"": ""क|"", ""43"": ""क|"", ""44"": ""क|"", ""45"": ""क|"", ""46"": ""क|""}"
hi,whitespace_word,और,1123,1,2,2,True,à¤Ķà¤°,औ|र,"{""42"": ""औ|र"", ""43"": ""और"", ""44"": ""और"", ""45"": ""औ|र"", ""46"": ""औ|र""}"
hi,whitespace_word,से,1048,1,1,1,False,à¤¸|à¥ĩ,स|,"{""42"": ""स|"", ""43"": ""स|"", ""44"": ""स|"", ""45"": ""स|"", ""46"": ""स|""}"
hi,whitespace_word,को,860,1,1,1,False,à¤ķ|à¥ĭ,क|,"{""42"": ""क|"", ""43"": ""क|"", ""44"": ""क|"", ""45"": ""क|"", ""46"": ""क|""}"
hi,whitespace_word,का,624,1,2,2,True,à¤ķ|à¤¾,क|,"{""42"": ""क|"", ""43"": ""क|"", ""44"": ""का"", ""45"": ""क|"", ""46"": ""का""}"
hi,whitespace_word,एक,588,1,2,2,True,à¤ıà¤ķ,ए|,"{""42"": ""ए|"", ""43"": ""एक"", ""44"": ""ए|"", ""45"": ""एक"", ""46"": ""ए|""}"
hi,whitespace_word,है.,528,1,1,1,False,à¤¹|à¥Ī.,ह|.,"{""42"": ""ह|."", ""43"": ""ह|."", ""44"": ""ह|."", ""45"": ""ह|."", ""46"": ""ह|.""}"
hi,whitespace_word,पर,520,1,2,2,True,à¤ªà¤°,प|,"{""42"": ""प|"", ""43"": ""पर"", ""44"": ""पर"", ""45"": ""पर"", ""46"": ""पर""}"
