language,analysis_unit,text,count,bpe_unique_signatures,fxt_unique_signatures,fxt_seed_signature_count,has_fxt_seed_variation,most_common_bpe,most_common_fxt,seed_signatures
en,whitespace_word,the,2554,1,1,1,False,the,t|he,"{""42"": ""t|he"", ""43"": ""t|he"", ""44"": ""t|he"", ""45"": ""t|he"", ""46"": ""t|he""}"
en,whitespace_word,of,1281,1,2,2,True,of,of,"{""42"": ""of"", ""43"": ""of"", ""44"": ""o|f"", ""45"": ""of"", ""46"": ""of""}"
en,whitespace_word,and,1148,1,1,1,False,and,an|d,"{""42"": ""an|d"", ""43"": ""an|d"", ""44"": ""an|d"", ""45"": ""an|d"", ""46"": ""an|d""}"
en,whitespace_word,to,1135,1,1,1,False,to,t|o,"{""42"": ""t|o"", ""43"": ""t|o"", ""44"": ""t|o"", ""45"": ""t|o"", ""46"": ""t|o""}"
en,whitespace_word,a,903,1,1,1,False,a,a,"{""42"": ""a"", ""43"": ""a"", ""44"": ""a"", ""45"": ""a"", ""46"": ""a""}"
en,whitespace_word,in,886,1,1,1,False,in,in,"{""42"": ""in"", ""43"": ""in"", ""44"": ""in"", ""45"": ""in"", ""46"": ""in""}"
en,whitespace_word,is,575,1,1,1,False,is,is,"{""42"": ""is"", ""43"": ""is"", ""44"": ""is"", ""45"": ""is"", ""46"": ""is""}"
en,whitespace_word,The,410,1,1,1,False,The,T|he,"{""42"": ""T|he"", ""43"": ""T|he"", ""44"": ""T|he"", ""45"": ""T|he"", ""46"": ""T|he""}"
en,whitespace_word,that,365,1,1,1,False,that,t|hat,"{""42"": ""t|hat"", ""43"": ""t|hat"", ""44"": ""t|hat"", ""45"": ""t|hat"", ""46"": ""t|hat""}"
en,whitespace_word,are,349,1,1,1,False,are,ar|e,"{""42"": ""ar|e"", ""43"": ""ar|e"", ""44"": ""ar|e"", ""45"": ""ar|e"", ""46"": ""ar|e""}"
en,whitespace_word,for,318,1,1,1,False,for,f|or,"{""42"": ""f|or"", ""43"": ""f|or"", ""44"": ""f|or"", ""45"": ""f|or"", ""46"": ""f|or""}"
en,whitespace_word,on,289,1,2,2,True,on,on,"{""42"": ""on"", ""43"": ""on"", ""44"": ""o|n"", ""45"": ""on"", ""46"": ""on""}"
en,whitespace_word,was,287,1,1,1,False,was,w|as,"{""42"": ""w|as"", ""43"": ""w|as"", ""44"": ""w|as"", ""45"": ""w|as"", ""46"": ""w|as""}"
en,whitespace_word,as,276,1,1,1,False,as,as,"{""42"": ""as"", ""43"": ""as"", ""44"": ""as"", ""45"": ""as"", ""46"": ""as""}"
en,whitespace_word,with,263,1,1,1,False,with,w|it|h,"{""42"": ""w|it|h"", ""43"": ""w|it|h"", ""44"": ""w|it|h"", ""45"": ""w|it|h"", ""46"": ""w|it|h""}"
en,whitespace_word,be,259,1,1,1,False,be,b|e,"{""42"": ""b|e"", ""43"": ""b|e"", ""44"": ""b|e"", ""45"": ""b|e"", ""46"": ""b|e""}"
en,whitespace_word,or,247,1,2,2,True,or,o|r,"{""42"": ""o|r"", ""43"": ""or"", ""44"": ""or"", ""45"": ""or"", ""46"": ""or""}"
en,whitespace_word,by,236,1,1,1,False,by,b|y,"{""42"": ""b|y"", ""43"": ""b|y"", ""44"": ""b|y"", ""45"": ""b|y"", ""46"": ""b|y""}"
en,whitespace_word,from,215,1,1,1,False,from,f|r|om,"{""42"": ""f|r|om"", ""43"": ""f|r|om"", ""44"": ""f|r|om"", ""45"": ""f|r|om"", ""46"": ""f|r|om""}"
en,whitespace_word,have,196,1,1,1,False,h|ave,h|ave,"{""42"": ""h|ave"", ""43"": ""h|ave"", ""44"": ""h|ave"", ""45"": ""h|ave"", ""46"": ""h|ave""}"
en,whitespace_word,at,169,1,1,1,False,at,at,"{""42"": ""at"", ""43"": ""at"", ""44"": ""at"", ""45"": ""at"", ""46"": ""at""}"
en,whitespace_word,you,164,1,1,1,False,you,y|ou,"{""42"": ""y|ou"", ""43"": ""y|ou"", ""44"": ""y|ou"", ""45"": ""y|ou"", ""46"": ""y|ou""}"
en,whitespace_word,can,160,1,1,1,False,can,c|an,"{""42"": ""c|an"", ""43"": ""c|an"", ""44"": ""c|an"", ""45"": ""c|an"", ""46"": ""c|an""}"
en,whitespace_word,it,157,1,1,1,False,it,it,"{""42"": ""it"", ""43"": ""it"", ""44"": ""it"", ""45"": ""it"", ""46"": ""it""}"
en,whitespace_word,were,154,1,1,1,False,w|ere,w|er|e,"{""42"": ""w|er|e"", ""43"": ""w|er|e"", ""44"": ""w|er|e"", ""45"": ""w|er|e"", ""46"": ""w|er|e""}"
en,whitespace_word,not,147,1,1,1,False,not,n|ot,"{""42"": ""n|ot"", ""43"": ""n|ot"", ""44"": ""n|ot"", ""45"": ""n|ot"", ""46"": ""n|ot""}"
en,whitespace_word,their,144,1,1,1,False,the|ir,t|heir,"{""42"": ""t|heir"", ""43"": ""t|heir"", ""44"": ""t|heir"", ""45"": ""t|heir"", ""46"": ""t|heir""}"
en,whitespace_word,an,143,1,1,1,False,an,an,"{""42"": ""an"", ""43"": ""an"", ""44"": ""an"", ""45"": ""an"", ""46"": ""an""}"
en,whitespace_word,they,139,1,1,1,False,they,t|hey,"{""42"": ""t|hey"", ""43"": ""t|hey"", ""44"": ""t|hey"", ""45"": ""t|hey"", ""46"": ""t|hey""}"
en,whitespace_word,which,135,1,2,2,True,which,w|hi ch,"{""42"": ""w|hi ch"", ""43"": ""w|hi ch"", ""44"": ""w|hi|ch"", ""45"": ""w|hi|ch"", ""46"": ""w|hi ch""}"
en,whitespace_word,has,131,1,1,1,False,has,h|as,"{""42"": ""h|as"", ""43"": ""h|as"", ""44"": ""h|as"", ""45"": ""h|as"", ""46"": ""h|as""}"
en,whitespace_word,but,110,1,2,2,True,but,b|u|t,"{""42"": ""b|u|t"", ""43"": ""b|ut"", ""44"": ""b|u|t"", ""45"": ""b|u|t"", ""46"": ""b|u|t""}"
en,whitespace_word,will,110,1,2,2,True,will,will,"{""42"": ""will"", ""43"": ""w|ill"", ""44"": ""w|ill"", ""45"": ""w|ill"", ""46"": ""w|ill""}"
en,whitespace_word,more,99,1,1,1,False,more,m|or|e,"{""42"": ""m|or|e"", ""43"": ""m|or|e"", ""44"": ""m|or|e"", ""45"": ""m|or|e"", ""46"": ""m|or|e""}"
en,whitespace_word,been,97,1,1,1,False,be|en,b|e en,"{""42"": ""b|e en"", ""43"": ""b|e en"", ""44"": ""b|e en"", ""45"": ""b|e en"", ""46"": ""b|e en""}"
en,whitespace_word,had,97,1,1,1,False,h|ad,h|ad,"{""42"": ""h|ad"", ""43"": ""h|ad"", ""44"": ""h|ad"", ""45"": ""h|ad"", ""46"": ""h|ad""}"
en,whitespace_word,this,97,1,1,1,False,this,t|hi s,"{""42"": ""t|hi s"", ""43"": ""t|hi s"", ""44"": ""t|hi s"", ""45"": ""t|hi s"", ""46"": ""t|hi s""}"
en,whitespace_word,also,94,1,2,2,True,al|so,al|so,"{""42"": ""al|so"", ""43"": ""al|so"", ""44"": ""al|so"", ""45"": ""al|so"", ""46"": ""al|s|o""}"
en,whitespace_word,one,94,1,2,2,True,one,on|e,"{""42"": ""on|e"", ""43"": ""on|e"", ""44"": ""o|n|e"", ""45"": ""on|e"", ""46"": ""o|n|e""}"
en,whitespace_word,other,94,1,2,2,True,other,o|t|her,"{""42"": ""o|t|her"", ""43"": ""o|t|her"", ""44"": ""o|t|her"", ""45"": ""ot|her"", ""46"": ""o|t|her""}"
en,whitespace_word,In,93,1,2,2,True,In,I|n,"{""42"": ""I|n"", ""43"": ""In"", ""44"": ""In"", ""45"": ""In"", ""46"": ""In""}"
en,whitespace_word,its,85,1,1,1,False,its,it|s,"{""42"": ""it|s"", ""43"": ""it|s"", ""44"": ""it|s"", ""45"": ""it|s"", ""46"": ""it|s""}"
en,whitespace_word,most,84,1,1,1,False,most,m|ost,"{""42"": ""m|ost"", ""43"": ""m|ost"", ""44"": ""m|ost"", ""45"": ""m|ost"", ""46"": ""m|ost""}"
en,whitespace_word,people,82,1,1,1,False,pe|ople,p|eop|l|e,"{""42"": ""p|eop|l|e"", ""43"": ""p|eop|l|e"", ""44"": ""p|eop|l|e"", ""45"": ""p|eop|l|e"", ""46"": ""p|eop|l|e""}"
en,whitespace_word,many,77,1,1,1,False,man|y,m|an|y,"{""42"": ""m|an|y"", ""43"": ""m|an|y"", ""44"": ""m|an|y"", ""45"": ""m|an|y"", ""46"": ""m|an|y""}"
en,whitespace_word,may,77,1,1,1,False,may,m|ay,"{""42"": ""m|ay"", ""43"": ""m|ay"", ""44"": ""m|ay"", ""45"": ""m|ay"", ""46"": ""m|ay""}"
en,whitespace_word,than,74,1,1,1,False,than,t|han,"{""42"": ""t|han"", ""43"": ""t|han"", ""44"": ""t|han"", ""45"": ""t|han"", ""46"": ""t|han""}"
en,whitespace_word,all,72,1,1,1,False,all,al|l,"{""42"": ""al|l"", ""43"": ""al|l"", ""44"": ""al|l"", ""45"": ""al|l"", ""46"": ""al|l""}"
en,whitespace_word,some,72,1,1,1,False,s|ome,s|om|e,"{""42"": ""s|om|e"", ""43"": ""s|om|e"", ""44"": ""s|om|e"", ""45"": ""s|om|e"", ""46"": ""s|om|e""}"
en,whitespace_word,It,69,1,1,1,False,It,It,"{""42"": ""It"", ""43"": ""It"", ""44"": ""It"", ""45"": ""It"", ""46"": ""It""}"
en,whitespace_word,your,69,1,2,2,True,y|our,y|ou|r,"{""42"": ""y|ou|r"", ""43"": ""y|ou|r"", ""44"": ""y|our"", ""45"": ""y|our"", ""46"": ""y|our""}"
en,whitespace_word,about,66,1,1,1,False,about,ab|out,"{""42"": ""ab|out"", ""43"": ""ab|out"", ""44"": ""ab|out"", ""45"": ""ab|out"", ""46"": ""ab|out""}"
en,whitespace_word,his,65,1,2,2,True,his,hi s,"{""42"": ""hi s"", ""43"": ""hi s"", ""44"": ""hi s"", ""45"": ""hi|s"", ""46"": ""hi s""}"
en,whitespace_word,he,63,1,1,1,False,he,h|e,"{""42"": ""h|e"", ""43"": ""h|e"", ""44"": ""h|e"", ""45"": ""h|e"", ""46"": ""h|e""}"
en,whitespace_word,who,63,1,2,2,True,who,w|h|o,"{""42"": ""w|h|o"", ""43"": ""w|ho"", ""44"": ""w|ho"", ""45"": ""w|ho"", ""46"": ""w|h|o""}"
en,whitespace_word,into,62,1,1,1,False,into,in|t|o,"{""42"": ""in|t|o"", ""43"": ""in|t|o"", ""44"": ""in|t|o"", ""45"": ""in|t|o"", ""46"": ""in|t|o""}"
en,whitespace_word,only,62,1,3,3,True,on|ly,on|l|y,"{""42"": ""on|l|y"", ""43"": ""on|l|y"", ""44"": ""o|nl|y"", ""45"": ""on|l|y"", ""46"": ""o|n|l|y""}"
en,whitespace_word,This,61,1,1,1,False,This,T|hi s,"{""42"": ""T|hi s"", ""43"": ""T|hi s"", ""44"": ""T|hi s"", ""45"": ""T|hi s"", ""46"": ""T|hi s""}"
en,whitespace_word,first,61,1,1,1,False,first,f|ir|st,"{""42"": ""f|ir|st"", ""43"": ""f|ir|st"", ""44"": ""f|ir|st"", ""45"": ""f|ir|st"", ""46"": ""f|ir|st""}"
en,whitespace_word,often,60,1,2,2,True,o|ft|en,o|f|te|n,"{""42"": ""o|f|te|n"", ""43"": ""of|te|n"", ""44"": ""of|te|n"", ""45"": ""o|f|te|n"", ""46"": ""o|f|te|n""}"
