text,count,langs,bpe_unique_signatures,fxt_unique_signatures,most_common_bpe,most_common_fxt,fxt_seed_signature_count
"El registro es una exigencia adicional para el proceso del visado. En algunos países, tendrá que registrar su presencia y la dirección de su alojamiento con las autoridades locales.",2,{'es': 2},1,1,"El|Ġregistro|Ġes|Ġuna|Ġexig|encia|Ġadicional|Ġpara|Ġel|Ġproceso|Ġdel|Ġvis|ado|.|ĠEn|Ġalgunos|ĠpaÃŃses|,|ĠtendrÃ¡|Ġque|Ġregistr|ar|Ġsu|Ġpresencia|Ġy|Ġla|ĠdirecciÃ³n|Ġde|Ġsu|Ġalojamiento|Ġcon|Ġlas|Ġautoridades|Ġlocales|.",<ERROR>,1
"El lunes, los científicos de la facultad de medicina de la Universidad de Stanford anunciaron el invento de una nueva herramienta de diagnóstico que puede catalogar las células según su tipo: un pequeñísimo chip que se puede imprimir y fabricar con impresoras de inyección de uso corriente, por un posible costo de, aproximadamente, un centavo de dólar por cada uno.",1,{'es': 1},1,1,"El|Ġlunes|,|Ġlos|ĠcientÃŃficos|Ġde|Ġla|Ġfacult|ad|Ġde|Ġmedicina|Ġde|Ġla|ĠUniversidad|Ġde|ĠStan|ford|Ġanunci|aron|Ġel|Ġinv|ento|Ġde|Ġuna|Ġnueva|Ġherramienta|Ġde|ĠdiagnÃ³stico|Ġque|Ġpuede|Ġcatalog|ar|Ġlas|ĠcÃ©lulas|ĠsegÃºn|Ġsu|Ġtipo|:|Ġun|Ġpeque|Ã±|ÃŃsimo|Ġchip|Ġque|Ġse|Ġpuede|Ġim|primir|Ġy|Ġfabric|ar|Ġcon|Ġimpres|oras|Ġde|Ġin|yecciÃ³n|Ġde|Ġuso|Ġcorriente|,|Ġpor|Ġun|Ġposible|Ġcosto|Ġde|,|Ġaproximadamente|,|Ġun|Ġcent|av|o|Ġde|ĠdÃ³|lar|Ġpor|Ġcada|Ġuno|.",<ERROR>,1
"Las ciudades de Harappa y Mohenjo-daro tenían inodoros con descarga en casi todas las casas, los que se conectaban con un sistema de desagüe sofisticado.",1,{'es': 1},1,1,"Las|Ġciudades|Ġde|ĠHar|ap|pa|Ġy|ĠMoh|en|jo|-d|aro|ĠtenÃŃan|Ġin|od|oros|Ġcon|Ġdescarga|Ġen|Ġcasi|Ġtodas|Ġlas|Ġcasas|,|Ġlos|Ġque|Ġse|Ġconect|aban|Ġcon|Ġun|Ġsistema|Ġde|Ġdes|ag|Ã¼|e|Ġsof|istic|ado|.",<ERROR>,1
"Se producirá una reacción entre la humedad en sus manos y sus capas externas, las que se sentirán extrañas al tacto y formarán una especie de caparazón.",1,{'es': 1},1,1,"Se|Ġproducir|Ã¡|Ġuna|ĠreacciÃ³n|Ġentre|Ġla|Ġhumedad|Ġen|Ġsus|Ġmanos|Ġy|Ġsus|Ġcap|as|Ġextern|as|,|Ġlas|Ġque|Ġse|Ġsentir|Ã¡n|Ġextra|Ã±as|Ġal|Ġt|acto|Ġy|Ġform|arÃ¡n|Ġuna|Ġespecie|Ġde|Ġcap|ara|zÃ³n|.",<ERROR>,1
"Agite ambos polvos secos juntos y, después de hacerlo, con las manos higienizadas y húmedas, exprímalos para formar una bola.",1,{'es': 1},1,1,"Ag|ite|Ġambos|Ġpol|vos|Ġse|cos|Ġjuntos|Ġy|,|ĠdespuÃ©s|Ġde|Ġhacerlo|,|Ġcon|Ġlas|Ġmanos|Ġhig|ien|izadas|Ġy|Ġh|Ãº|med|as|,|Ġex|pr|ÃŃm|al|os|Ġpara|Ġformar|Ġuna|Ġb|ola|.",<ERROR>,1
"Los átomos de hidrógeno están formados por un protón y un electrón. Por ello, un ion de hidrógeno es el resultado de despojar a un protón de su electrón.",1,{'es': 1},1,1,"Los|Ġ|Ã¡t|omos|Ġde|Ġhid|rÃ³|geno|ĠestÃ¡n|Ġform|ados|Ġpor|Ġun|Ġprot|Ã³n|Ġy|Ġun|ĠelectrÃ³n|.|ĠPor|Ġello|,|Ġun|Ġ|ion|Ġde|Ġhid|rÃ³|geno|Ġes|Ġel|Ġresultado|Ġde|Ġdes|po|jar|Ġa|Ġun|Ġprot|Ã³n|Ġde|Ġsu|ĠelectrÃ³n|.",<ERROR>,1
El número de iones de hidrógeno (la H en pH) presentes en el producto químico analizado determina su nivel de pH.,1,{'es': 1},1,1,El|ĠnÃºmero|Ġde|Ġ|iones|Ġde|Ġhid|rÃ³|geno|Ġ(|la|ĠH|Ġen|Ġp|H|)|Ġpresentes|Ġen|Ġel|Ġproducto|ĠquÃŃm|ico|Ġanal|izado|Ġdeter|mina|Ġsu|Ġnivel|Ġde|Ġp|H|.,<ERROR>,1
El color del jugo de repollo se verá alterado en función de cuán ácida o básica (alcalina) sea la sustancia química.,1,{'es': 1},1,1,El|Ġcolor|Ġdel|Ġjug|o|Ġde|Ġrep|ol|lo|Ġse|Ġver|Ã¡|Ġalter|ado|Ġen|ĠfunciÃ³n|Ġde|ĠcuÃ¡n|ĠÃ¡|cida|Ġo|ĠbÃ¡sica|Ġ(|al|cal|ina|)|Ġsea|Ġla|Ġsust|ancia|ĠquÃŃm|ica|.,<ERROR>,1
Esto se denomina pH de una sustancia química. Usted puede elaborar un indicador de pH utilizando jugo de col roja.,1,{'es': 1},1,1,Esto|Ġse|Ġden|omina|Ġp|H|Ġde|Ġuna|Ġsust|ancia|ĠquÃŃm|ica|.|ĠUsted|Ġpuede|Ġelaborar|Ġun|Ġindic|ador|Ġde|Ġp|H|Ġutilizando|Ġjug|o|Ġde|Ġcol|Ġroja|.,<ERROR>,1
Puede hacerse muy delgado y adherirse a otro metal. Es tal la delgadez que puede lograrse que se solía usar para decorar las ilustraciones hechas a mano en libros llamados «manuscritos iluminados».,1,{'es': 1},1,1,Puede|Ġhacerse|Ġmuy|Ġdel|gado|Ġy|Ġadher|irse|Ġa|Ġotro|Ġmetal|.|ĠEs|Ġtal|Ġla|Ġdel|g|ade|z|Ġque|Ġpuede|Ġlogr|arse|Ġque|Ġse|Ġsol|ÃŃa|Ġusar|Ġpara|Ġdecor|ar|Ġlas|Ġilust|raciones|Ġhe|chas|Ġa|Ġmano|Ġen|Ġlibros|Ġllamados|ĠÂ«|man|us|c|ritos|Ġilumin|ados|Â».,<ERROR>,1
