language,analysis_unit,text,count,bpe_unique_signatures,fxt_unique_signatures,fxt_seed_signature_count,has_fxt_seed_variation,most_common_bpe,most_common_fxt,seed_signatures
te,whitespace_word,మరియు,705,1,2,2,True,à°®à°°|à°¿à°¯|à±ģ,మరి|య|,"{""42"": ""మరి|య|"", ""43"": ""మరి|య|"", ""44"": ""మరి|య|"", ""45"": ""మరి|య|"", ""46"": ""మ|ి|య|""}"
te,whitespace_word,ఒక,337,1,2,2,True,à°Ĵà°ķ,ఒ|క,"{""42"": ""ఒ|క"", ""43"": ""ఒక"", ""44"": ""ఒక"", ""45"": ""ఒక"", ""46"": ""ఒక""}"
te,whitespace_word,ఈ,267,1,1,1,False,à°Ī,ఈ,"{""42"": ""ఈ"", ""43"": ""ఈ"", ""44"": ""ఈ"", ""45"": ""ఈ"", ""46"": ""ఈ""}"
te,whitespace_word,యొక్క,257,1,2,2,True,à°¯|à±Ĭà°ķ|à±įà°ķ,యొక|క,"{""42"": ""యొక|క"", ""43"": ""య|క|క"", ""44"": ""య|క|క"", ""45"": ""య|క|క"", ""46"": ""య|క|క""}"
te,whitespace_word,లేదా,234,1,2,2,True,à°²|à±ĩà°¦|à°¾,||దా,"{""42"": ""||దా"", ""43"": ""ల|దా"", ""44"": ""ల|దా"", ""45"": ""ల|దా"", ""46"": ""ల|దా""}"
te,whitespace_word,చాలా,210,1,2,2,True,à°ļ|à°¾à°²|à°¾,చాలా,"{""42"": ""చాలా"", ""43"": ""చా|ా"", ""44"": ""చా|ా"", ""45"": ""చా|ా"", ""46"": ""చా|ా""}"
te,whitespace_word,ఇది,184,1,1,1,False,à°ĩà°¦|à°¿,ఇది,"{""42"": ""ఇది"", ""43"": ""ఇది"", ""44"": ""ఇది"", ""45"": ""ఇది"", ""46"": ""ఇది""}"
te,whitespace_word,నుండి,175,1,2,2,True,à°¨|à±ģà°Ĥ|à°¡|à°¿,న||డి,"{""42"": ""న||డి"", ""43"": ""న|ండి"", ""44"": ""న|ండి"", ""45"": ""న|ండి"", ""46"": ""న|ండి""}"
te,whitespace_word,ఉన్న,149,1,3,3,True,à°ī|à°¨|à±įà°¨,ఉన్న,"{""42"": ""ఉన్న"", ""43"": ""ఉన|న"", ""44"": ""ఉన|న"", ""45"": ""ఉ|న్న"", ""46"": ""ఉన్న""}"
te,whitespace_word,మీరు,145,1,1,1,False,à°®|à±Ģà°°|à±ģ,మ|ర|,"{""42"": ""మ|ర|"", ""43"": ""మ|ర|"", ""44"": ""మ|ర|"", ""45"": ""మ|ర|"", ""46"": ""మ|ర|""}"
te,whitespace_word,కూడా,133,1,1,1,False,à°ķ|à±Ĥà°¡|à°¾,క|డా,"{""42"": ""క|డా"", ""43"": ""క|డా"", ""44"": ""క|డా"", ""45"": ""క|డా"", ""46"": ""క|డా""}"
te,whitespace_word,ఇంకా,128,1,1,1,False,à°ĩ|à°Ĥà°ķ|à°¾,ఇంకా,"{""42"": ""ఇంకా"", ""43"": ""ఇంకా"", ""44"": ""ఇంకా"", ""45"": ""ఇంకా"", ""46"": ""ఇంకా""}"
te,whitespace_word,అని,126,1,1,1,False,à°ħà°¨|à°¿,అని,"{""42"": ""అని"", ""43"": ""అని"", ""44"": ""అని"", ""45"": ""అని"", ""46"": ""అని""}"
te,whitespace_word,లో,113,1,1,1,False,à°²|à±ĭ,ల|,"{""42"": ""ల|"", ""43"": ""ల|"", ""44"": ""ల|"", ""45"": ""ల|"", ""46"": ""ల|""}"
te,whitespace_word,కలిగి,101,1,1,1,False,à°ķà°²|à°¿à°Ĺ|à°¿,కలి|గి,"{""42"": ""కలి|గి"", ""43"": ""కలి|గి"", ""44"": ""కలి|గి"", ""45"": ""కలి|గి"", ""46"": ""కలి|గి""}"
te,whitespace_word,ద్వారా,93,1,1,1,False,à°¦|à±įà°µ|à°¾à°°|à°¾,ద|వా|ా,"{""42"": ""ద|వా|ా"", ""43"": ""ద|వా|ా"", ""44"": ""ద|వా|ా"", ""45"": ""ద|వా|ా"", ""46"": ""ద|వా|ా""}"
te,whitespace_word,ఉంటుంది.,92,1,2,2,True,à°ī|à°Ĥà°Ł|à±ģà°Ĥ|à°¦|à°¿.,ఉంట|ంది|.,"{""42"": ""ఉంట|ంది|."", ""43"": ""ఉంట|ంది."", ""44"": ""ఉంట|ంది."", ""45"": ""ఉంట|ంది."", ""46"": ""ఉంట|ంది.""}"
te,whitespace_word,కొన్ని,91,1,1,1,False,à°ķ|à±Ĭà°¨|à±įà°¨|à°¿,క|న|ని,"{""42"": ""క|న|ని"", ""43"": ""క|న|ని"", ""44"": ""క|న|ని"", ""45"": ""క|న|ని"", ""46"": ""క|న|ని""}"
te,whitespace_word,అనేక,80,1,2,2,True,à°ħà°¨|à±ĩà°ķ,అ||క,"{""42"": ""అ||క"", ""43"": ""అన|క"", ""44"": ""అన|క"", ""45"": ""అన|క"", ""46"": ""అన|క""}"
te,whitespace_word,మీ,79,1,1,1,False,à°®|à±Ģ,మ|,"{""42"": ""మ|"", ""43"": ""మ|"", ""44"": ""మ|"", ""45"": ""మ|"", ""46"": ""మ|""}"
te,whitespace_word,ఇతర,78,1,1,1,False,à°ĩà°¤à°°,ఇతర,"{""42"": ""ఇతర"", ""43"": ""ఇతర"", ""44"": ""ఇతర"", ""45"": ""ఇతర"", ""46"": ""ఇతర""}"
te,whitespace_word,వారు,75,1,3,3,True,à°µ|à°¾à°°|à±ģ,వా||,"{""42"": ""వా||"", ""43"": ""వ|ర|"", ""44"": ""వ|||"", ""45"": ""వ|ర|"", ""46"": ""వా||""}"
te,whitespace_word,వారి,74,1,2,2,True,à°µ|à°¾à°°|à°¿,వ||ి,"{""42"": ""వ||ి"", ""43"": ""వా|ి"", ""44"": ""వా|ి"", ""45"": ""వా|ి"", ""46"": ""వా|ి""}"
te,whitespace_word,కానీ,72,1,2,2,True,à°ķ|à°¾à°¨|à±Ģ,కా||,"{""42"": ""కా||"", ""43"": ""కాన|"", ""44"": ""కా||"", ""45"": ""కా||"", ""46"": ""కా||""}"
te,whitespace_word,అనేది,70,1,1,1,False,à°ħà°¨|à±ĩà°¦|à°¿,అన|ది,"{""42"": ""అన|ది"", ""43"": ""అన|ది"", ""44"": ""అన|ది"", ""45"": ""అన|ది"", ""46"": ""అన|ది""}"
